"Count","Category","Owner","Files","FirstLogLine"
"2092","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_valyrian.txt","6907"
"1457","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_north.txt","2964"
"953","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_reach.txt","4421"
"762","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_stormlands.txt","5830"
"720","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_westerlands.txt","9033"
"636","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_crownlands.txt","1458"
"488","Script / database error","AGOT+","common/scripted_effects/asoiaf_canon_children_effects.txt","10610"
"456","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_riverlands.txt","5374"
"423","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_dornish.txt","2094"
"392","Localization / dynamic text error","","","9766"
"315","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_vale.txt","6592"
"243","Script / database error","","","9757"
"230","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_essos.txt","2567"
"177","Graphics / portrait source error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt","9768"
"167","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_iron_isles.txt","2797"
"144","Script / database error","AGOT+ | Исправления совместимости","common/scripted_effects/asoiaf_setup_effects.txt","10474"
"130","Graphics / portrait source error","","","1192"
"96","Script / database error","AGOT+","history/characters/asoiaf_char_vanity.txt","13120"
"95","History / title / faith reference error","","","13329"
"50","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_easter_eggs.txt","2517"
"48","Script / database error","AGOT+","common/scripted_effects/asoiaf_scripted_effects_artifacts.txt","10468"
"34","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_vanity.txt","8999"
"30","Script / database error","AGOT+ | Исправления совместимости","common/on_action/asoiaf_yearly_on_actions.txt","10051"
"26","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/05_clothes_situational.txt","12657"
"21","Graphics / portrait source error","AGOT+","gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh","1372"
"20","Script / database error","Legacy Of The Dragon","common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt","10918"
"20","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_beyond_the_wall.txt","1438"
"17","Script / database error","AGOT Submod Core","common/scripted_triggers/tgc_loaded_trigger.txt","10647"
"17","Script / database error","Divine Intervention Cheat Menu","common/scripted_effects/DI_char_spawner_effects.txt","10817"
"16","Script / database error","Divine Intervention AGOT Cheat Menu","common/scripted_effects/DI_court_position_spawner_overrides.txt","11428"
"16","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/05_headgear_situational.txt","12722"
"12","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/seagaurd/building_seagard_01.mesh","1317"
"12","Script / database error","Divine Intervention Cheat Menu","common/character_interactions/DI_character_interaction.txt","11393"
"12","Script / database error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_hairs_custom_flags.txt","12787"
"12","Script / database error","AGOT+","common/scripted_effects/asoiaf_clear_traits_effects.txt","12558"
"11","Script / database error","AGOT+","events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt","10022"
"11","Graphics / portrait source error","AGOT+","common/bookmark_portraits/bookmark_284_cressen.txt","10011"
"10","Script / database error","Divine Intervention AGOT Cheat Menu","common/scripted_effects/DI_present_effects.txt","11468"
"10","Script / database error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt","9903"
"10","Script / database error","AGOT+","common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt","11026"
"10","Script / database error","COW-AGOT: 3D Models & Bigger Castles","common/on_action/cowagot_province_on_actions.txt","11403"
"10","Graphics / portrait source error","AGOT+","common/bookmark_portraits/bookmark_209_egg.txt","9995"
"9","Graphics / portrait source error","AGOT+","common/bookmark_portraits/bookmark_82_osmund_strong.txt","10042"
"9","Graphics / portrait source error","AGOT+","common/bookmark_portraits/bookmark_106_viserys_targaryen.txt","9986"
"9","Graphics / portrait source error","AGOT+","common/bookmark_portraits/bookmark_106_alicent_hightower.txt","9977"
"8","Script / database error","A Game of Thrones","common/scripted_effects/00_agot_artifact_crowns_effects.txt","10460"
"8","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/01_cloaks_base.txt","12617"
"7","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/crag/crag_level_1.mesh","1347"
"7","Other error","Unresolved file","gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds","1257"
"7","Other error","Unresolved file","gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds","1255"
"6","Script / database error","COW-AGOT: 3D Models & Bigger Castles","common/buildings/yy_agotcities_special_buildings_westeros.txt","10452"
"6","Script / database error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt","9962"
"6","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/crag/crag_level_2.mesh","1281"
"6","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/01_legwear_base.txt","12637"
"5","Graphics / portrait source error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_headgear_armor.txt","9957"
"5","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/whitegrove/whitegrove.mesh","1366"
"5","History / title / faith reference error","AGOT+ | Исправления совместимости","common/scripted_effects/asoiaf_setup_effects.txt","10818"
"5","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh","1312"
"5","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/dunstonbury/dunstonbury.mesh","1375"
"4","History / title / faith reference error","Divine Intervention Cheat Menu","common/character_interactions/DI_character_interaction.txt","10810"
"4","Script / database error","AGOT+","common/decisions/asoiaf_house_branch_decisions.txt","9753"
"4","Script / database error","AGOT+","common/on_action/asoiaf_marriage_concubinage_on_actions.txt","12842"
"4","Graphics / portrait source error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt","9972"
"4","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/duskendale/building_special_duskendale.mesh","1357"
"4","Script / database error","AGOT+","history/characters/asoiaf_char_dummies.txt","13114"
"4","Script / database error","AGOT+","events/asoiaf_young_griff_landing_events.txt","11383"
"4","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/crag/crag.mesh","1218"
"4","Script / database error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_clothes.txt","9949"
"4","Script / database error","AGOT+","common/on_action/agot_on_actions/test_title_on_actions.txt","10063"
"3","Graphics / portrait source error","Unresolved file","gfx/interface/icons/building_types/icon_riverrun.dds","13105"
"3","Graphics / portrait source error","AGOT+","gfx/models/portraits/m_cloaks/asoiaf/asoiaf_nights_watch/asoiaf_nights_watch_cloak_1/asoiaf_nights_watch_cloak_1.mesh","1300"
"3","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/castamere/castamere_restored.mesh","1329"
"3","Script / database error","AGOT+","history/characters/asoiaf_char_stormlands.txt","13119"
"3","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh","1220"
"3","Other error","","","13111"
"3","Script / database error","AGOT - Crowns of Westeros","common/modifiers/ntc_artifact_modifiers.txt","10457"
"3","Graphics / portrait source error","AGOT+","gfx/models/portraits/f_cloaks/asoiaf/asoiaf_nights_watch/f_asoiaf_nights_watch_cloak_1/f_asoiaf_nights_watch_cloak_1.mesh","1238"
"2","Graphics / portrait source error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_dragon_appearance_flags.txt","9954"
"2","Graphics / portrait source error","AGOT Submod Core","gfx/portraits/accessories/smc_clothing.txt","1436"
"2","Script / database error","AGOT+","common/on_action/asoiaf_army_on_actions.txt","10036"
"2","Script / database error","AGOT+","common/on_action/asoiaf_pregnancy_childbirth_on_actions.txt","10038"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/Ten Towers/cow_building_special_ten_towers.mesh","1373"
"2","Graphics / portrait source error","AGOT+ | Unresolved file","common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt | gfx/coat_of_arms/colored_emblems/re_block_02.dds","10795"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/griffins roost/building_special_griffins_roost.mesh","1294"
"2","Script / database error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_headgear_situational.txt","12817"
"2","Script / database error","Divine Intervention AGOT Cheat Menu","common/scripted_guis/DI_cultural_editor_pillars_sgui.txt","11378"
"2","Script / database error","COW-AGOT: 3D Models & Bigger Castles","common/scripted_triggers/cowagot_building_requirement_triggers.txt","12897"
"2","Script / database error","AGOT - Crowns of Westeros","common/on_action/ntc_artifacts_startdate.txt","12852"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/rooksrest/rooksrest2.mesh","1296"
"2","Script / database error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_clothes_situational.txt","12782"
"2","Script / database error","AGOT+ | Исправления совместимости","common/scripted_effects/asoiaf_agot_overwrite_effects.txt","12578"
"2","Script / database error","AGOT+","gfx/interface/illustrations/scripted_illustrations/ingame.txt","12652"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/castamere/24castamere_3.mesh","1253"
"2","Graphics / portrait source error","AGOT+","gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_ironborn_armour_dynast_coa/asoiaf_ironborn_armour_dynast_coa.mesh","1289"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/castamere/24castamere_2.mesh","1270"
"2","Script / database error","AGOT+ | Исправления совместимости","common/scripted_effects/asoiaf_targaryen_invasion_claimants_effects.txt","11518"
"2","Graphics / portrait source error","AGOT+","gfx/models/portraits/f_clothes/asoiaf/asoiaf_north/asoiaf_manderly_armours/f_asoiaf_manderly_armour_low/f_asoiaf_manderly_armour_low.mesh","1235"
"2","History / title / faith reference error","COW-AGOT: 3D Models & Bigger Castles","common/on_action/cowagot_province_on_actions.txt","10814"
"2","Graphics / portrait source error","AGOT+","gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_armour_dynast/asoiaf_greyjoy_armour_dynast.mesh","1230"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/lordsport/lordsport.mesh","1303"
"2","Graphics / portrait source error","A Game of Thrones | Unresolved file","common/coat_of_arms/coat_of_arms/reach_dynasties.txt | gfx/coat_of_arms/colored_emblems/re_block_02.dds","10800"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/starpike/starpike.mesh","1236"
"1","Graphics / portrait source error","AGOT+","gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_breast_size_max.mesh","1193"
