"BeforeLogLine","Component","Message","PresentAfter"
"9753","pdx_persistent_reader.cpp:216","Error: ""Unknown trigger: limit, near line: 32"" in file: ""gfx/court_scene/character_roles/asoiaf_default_roles.txt"" near line: 50","False"
"9754","pdx_persistent_reader.cpp:216","Error: ""Unknown trigger: limit, near line: 164"" in file: ""gfx/court_scene/character_roles/asoiaf_default_roles.txt"" near line: 182","False"
"9755","pdx_persistent_reader.cpp:216","Error: ""Unknown trigger: limit, near line: 296"" in file: ""gfx/court_scene/character_roles/asoiaf_default_roles.txt"" near line: 309","False"
"9763","jomini_eventtarget.cpp:692","Failed to find a valid event target link 'house_BaratheonKL' at file: common/artifacts/templates/asoiaf_artifacts_templates.txt line: 57 (asoiaf_krakenfall_template:ai_score)","False"
"10038","jomini_trigger.cpp:454","Expected ""NOT = {"", but got ""NOT = scope:actor"". file: common/character_interactions/asoiaf_character_interactions.txt line: 328 (asoiaf_dismiss_kingsguard_interaction:on_accept)","False"
"10480","jomini_script_system.cpp:303","Script system error!
  Error: has_title trigger [ Trigger is simple assign, but used a symbol other than '=' in the middle ]
  Script location: file: common/scripted_effects/asoiaf_setup_effects.txt line: 758 (asoiaf_setup_houses_effect)","False"
"10828","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 77 (agot_spawn_vermax_effect)","False"
"10829","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 310 (agot_spawn_drogon_effect)","False"
"10830","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 772 (agot_spawn_rhaegal_effect)","False"
"10831","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 1226 (agot_spawn_viserion_effect)","False"
"10837","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 545 (agot_spawn_adult_drogon_effect)","False"
"10838","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 999 (agot_spawn_adult_rhaegal_effect)","False"
"10839","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 1453 (agot_spawn_adult_viserion_effect)","False"
"10840","jomini_script_system.cpp:303","Script system error!
  Error: give_nickname effect [ Cannot find nick_young_griff in nickname database ]
  Script location: file: common/scripted_character_templates/asoiaf_invader_templates.txt line: 96 (faegon_template:after_creation)","False"
"10844","jomini_script_system.cpp:303","Script system error!
  Error: spawn_army effect [ Cannot find men_at_arms type giant ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 138 (asoiaf_mance_rayder_desertion)","False"
"11051","jomini_script_system.cpp:303","Script system error!
  Error: give_nickname effect [ Cannot find nick_young_griff in nickname database ]
  Script location: file: common/scripted_effects/asoiaf_targaryen_invasion_claimants_effects.txt line: 75 (asoiaf_targaryen_invasion_claimants_spawn_aegon_effect:after_creation)","False"
