"Count","Category","Owner","FirstLogLine","Component","Message"
"10","Graphics / portrait source error","AGOT+","1515","pdxassetutil.cpp:556","UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"7","Graphics / portrait source error","","1385","pdxassetutil.cpp:1053","Failed to find texture 'building_backup_atlas_normal.dds'"
"7","Graphics / portrait source error","","1383","pdxassetutil.cpp:1053","Failed to find texture 'building_backup_atlas_properties.dds'"
"7","Other error","Unresolved file","1384","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found'"
"7","Other error","Unresolved file","1386","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found'"
"7","Graphics / portrait source error","AGOT+","1500","pdxassetutil.cpp:556","UV-Set: 2 in mesh 'asoiaf_storms_end_chapletsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"6","Localization / dynamic text error","","1581","pdx_locstring.cpp:93","Key is missing localization: test_crush_desc"
"4","Graphics / portrait source error","AGOT+","1525","pdxassetutil.cpp:556","UV-Set: 2 in mesh 'asoiaf_storms_end_decorationsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"4","History / title / faith reference error","","2354","history.cpp:644","Referencing non-existent character in script link character:Dormund_1"
"4","History / title / faith reference error","","2363","history.cpp:644","Referencing non-existent character in script link character:Targaryen_61_1"
"3","Script / database error","","1757","jomini_eventmanager.cpp:119","'agot_cities.5000' does not have a valid namespace"
