Before,After,Difference,Component,Message
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aemond_1_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aemond_1_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aemond_2_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aemond_2_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aemond_3_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aemond_3_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aenys_1_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aenys_1_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aenys_2_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aenys_2_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aerea_1_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aerea_1_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aerea_2_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
0,1,1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aerea_2_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
