LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message,PriorLogLine,EvidenceBasis
2354,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1,2233,Unchanged diagnostic; attribution retained from the reviewed prior run
2355,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1,2234,Unchanged diagnostic; attribution retained from the reviewed prior run
2356,character_links,Symbol only in AGOT+ effective text,Broome_rs_54,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:5766,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Broome_rs_54,2235,Unchanged diagnostic; attribution retained from the reviewed prior run
2357,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1,2236,Unchanged diagnostic; attribution retained from the reviewed prior run
2358,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1,2237,Unchanged diagnostic; attribution retained from the reviewed prior run
2359,character_links,Symbol only in AGOT+ effective text,Hotah_rs_2,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:12175,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Hotah_rs_2,2238,Unchanged diagnostic; attribution retained from the reviewed prior run
2360,character_links,Symbol only in AGOT+ effective text,Hotah_rs_2,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:12175,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Hotah_rs_2,2239,Unchanged diagnostic; attribution retained from the reviewed prior run
2361,character_links,Symbol only in AGOT+ effective text,asoiaf_Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:519,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:asoiaf_Targaryen_61_1,2240,Unchanged diagnostic; attribution retained from the reviewed prior run
2362,character_links,Symbol only in AGOT+ effective text,asoiaf_Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:519,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:asoiaf_Targaryen_61_1,2241,Unchanged diagnostic; attribution retained from the reviewed prior run
2363,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1,2242,Unchanged diagnostic; attribution retained from the reviewed prior run
2364,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1,2243,Unchanged diagnostic; attribution retained from the reviewed prior run
2365,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1,2244,Unchanged diagnostic; attribution retained from the reviewed prior run
2366,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1,2245,Unchanged diagnostic; attribution retained from the reviewed prior run
