BeforeCount,AfterCount,Difference,Component,Message,Signature
0,1,1,jomini_eventmanager.cpp:428,"Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_activity_events_crown_commission.txt line: 3 (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_activity_events_crown_commission.txt line: 3 (agot_activity_commission_crown.0001)'","jomini_eventmanager.cpp:428 Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_activity_events_crown_commission.txt line: * (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_activity_events_crown_commission.txt line: * (agot_activity_commission_crown.0001)'"
1,0,-1,jomini_eventmanager.cpp:428,"Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)'","jomini_eventmanager.cpp:428 Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: * (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: * (agot_activity_commission_crown.0001)'"
1,0,-1,portraitcontext.cpp:151,Unknown legwear gene accessory group agot_trousers at file: common/bookmark_portraits/challenge_character_282_walder_frey.txt line: 190 (challenge_character_282_walder_frey),portraitcontext.cpp:151 Unknown legwear gene accessory group agot_trousers at file: common/bookmark_portraits/challenge_character_282_walder_frey.txt line: * (challenge_character_282_walder_frey)
1,0,-1,portraitcontext.cpp:151,Unknown legwear gene accessory group asoiaf_lannister_war_legs at file: common/bookmark_portraits/bookmark_236_tion_lannister.txt line: 185 (bookmark_236_tion_lannister),portraitcontext.cpp:151 Unknown legwear gene accessory group asoiaf_lannister_war_legs at file: common/bookmark_portraits/bookmark_236_tion_lannister.txt line: * (bookmark_236_tion_lannister)
1,0,-1,portraitcontext.cpp:151,Unknown legwear gene accessory group kingsguard_war_01_legwear at file: common/bookmark_portraits/bookmark_277_barristan_selmy.txt line: 193 (bookmark_277_barristan_selmy),portraitcontext.cpp:151 Unknown legwear gene accessory group kingsguard_war_01_legwear at file: common/bookmark_portraits/bookmark_277_barristan_selmy.txt line: * (bookmark_277_barristan_selmy)
1,0,-1,portraitcontext.cpp:151,Unknown legwear gene accessory group maester_legwear at file: common/bookmark_portraits/bookmark_284_cressen.txt line: 182 (bookmark_284_cressen),portraitcontext.cpp:151 Unknown legwear gene accessory group maester_legwear at file: common/bookmark_portraits/bookmark_284_cressen.txt line: * (bookmark_284_cressen)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_crownlands.txt line: 3588 (Cressen_asoiaf_1),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_crownlands.txt line: * (Cressen_asoiaf_1)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_crownlands.txt line: 4000 (Pycelle_asoiaf_1),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_crownlands.txt line: * (Pycelle_asoiaf_1)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_crownlands.txt line: 160 (Slynt_asoiaf_1),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_crownlands.txt line: * (Slynt_asoiaf_1)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_dornish.txt line: 1992 (Dayne_asoiaf_4),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_dornish.txt line: * (Dayne_asoiaf_4)
