Category,Gene,DNA,File,LogLine,Component,Message
dna_unknown_gene,gene_eye_size,Slynt_asoiaf_1,common/dna_data/test_dna_crownlands.txt,1438,portraitcontext.cpp:184,No gene with key: gene_eye_size in group human at file: common/dna_data/test_dna_crownlands.txt line: 148 (Slynt_asoiaf_1)
dna_unknown_gene,gene_eye_shut_top,Slynt_asoiaf_1,common/dna_data/test_dna_crownlands.txt,1439,portraitcontext.cpp:184,No gene with key: gene_eye_shut_top in group human at file: common/dna_data/test_dna_crownlands.txt line: 149 (Slynt_asoiaf_1)
dna_unknown_gene,gene_eye_shut_bottom,Slynt_asoiaf_1,common/dna_data/test_dna_crownlands.txt,1440,portraitcontext.cpp:184,No gene with key: gene_eye_shut_bottom in group human at file: common/dna_data/test_dna_crownlands.txt line: 150 (Slynt_asoiaf_1)
dna_unknown_gene,gene_forehead_inner_brow_width,Slynt_asoiaf_1,common/dna_data/test_dna_crownlands.txt,1441,portraitcontext.cpp:184,No gene with key: gene_forehead_inner_brow_width in group human at file: common/dna_data/test_dna_crownlands.txt line: 156 (Slynt_asoiaf_1)
dna_unknown_gene,gene_bs_eye_fold_2,Slynt_asoiaf_1,common/dna_data/test_dna_crownlands.txt,1442,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_crownlands.txt line: 160 (Slynt_asoiaf_1)
dna_unknown_gene,gene_bs_eye_fold_2,Cressen_asoiaf_1,common/dna_data/test_dna_crownlands.txt,1443,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_crownlands.txt line: 3588 (Cressen_asoiaf_1)
dna_unknown_gene,gene_eye_size,Pycelle_asoiaf_1,common/dna_data/test_dna_crownlands.txt,1444,portraitcontext.cpp:184,No gene with key: gene_eye_size in group human at file: common/dna_data/test_dna_crownlands.txt line: 3988 (Pycelle_asoiaf_1)
dna_unknown_gene,gene_eye_shut_top,Pycelle_asoiaf_1,common/dna_data/test_dna_crownlands.txt,1445,portraitcontext.cpp:184,No gene with key: gene_eye_shut_top in group human at file: common/dna_data/test_dna_crownlands.txt line: 3989 (Pycelle_asoiaf_1)
dna_unknown_gene,gene_eye_shut_bottom,Pycelle_asoiaf_1,common/dna_data/test_dna_crownlands.txt,1446,portraitcontext.cpp:184,No gene with key: gene_eye_shut_bottom in group human at file: common/dna_data/test_dna_crownlands.txt line: 3990 (Pycelle_asoiaf_1)
dna_unknown_gene,gene_bs_eye_fold_2,Pycelle_asoiaf_1,common/dna_data/test_dna_crownlands.txt,1447,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_crownlands.txt line: 4000 (Pycelle_asoiaf_1)
dna_unknown_gene,gene_bs_eye_fold_2,Martell_asoiaf_10,common/dna_data/test_dna_dornish.txt,1448,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_dornish.txt line: 978 (Martell_asoiaf_10)
dna_unknown_gene,gene_eye_size,Dayne_asoiaf_5,common/dna_data/test_dna_dornish.txt,1449,portraitcontext.cpp:184,No gene with key: gene_eye_size in group human at file: common/dna_data/test_dna_dornish.txt line: 1771 (Dayne_asoiaf_5)
dna_unknown_gene,gene_eye_shut_top,Dayne_asoiaf_5,common/dna_data/test_dna_dornish.txt,1450,portraitcontext.cpp:184,No gene with key: gene_eye_shut_top in group human at file: common/dna_data/test_dna_dornish.txt line: 1772 (Dayne_asoiaf_5)
dna_unknown_gene,gene_eye_shut_bottom,Dayne_asoiaf_5,common/dna_data/test_dna_dornish.txt,1451,portraitcontext.cpp:184,No gene with key: gene_eye_shut_bottom in group human at file: common/dna_data/test_dna_dornish.txt line: 1773 (Dayne_asoiaf_5)
dna_unknown_gene,gene_forehead_inner_brow_width,Dayne_asoiaf_5,common/dna_data/test_dna_dornish.txt,1452,portraitcontext.cpp:184,No gene with key: gene_forehead_inner_brow_width in group human at file: common/dna_data/test_dna_dornish.txt line: 1779 (Dayne_asoiaf_5)
dna_unknown_gene,gene_bs_eye_fold_2,Dayne_asoiaf_5,common/dna_data/test_dna_dornish.txt,1453,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_dornish.txt line: 1783 (Dayne_asoiaf_5)
dna_unknown_gene,gene_eye_size,Dayne_asoiaf_4,common/dna_data/test_dna_dornish.txt,1454,portraitcontext.cpp:184,No gene with key: gene_eye_size in group human at file: common/dna_data/test_dna_dornish.txt line: 1980 (Dayne_asoiaf_4)
dna_unknown_gene,gene_eye_shut_top,Dayne_asoiaf_4,common/dna_data/test_dna_dornish.txt,1455,portraitcontext.cpp:184,No gene with key: gene_eye_shut_top in group human at file: common/dna_data/test_dna_dornish.txt line: 1981 (Dayne_asoiaf_4)
dna_unknown_gene,gene_eye_shut_bottom,Dayne_asoiaf_4,common/dna_data/test_dna_dornish.txt,1456,portraitcontext.cpp:184,No gene with key: gene_eye_shut_bottom in group human at file: common/dna_data/test_dna_dornish.txt line: 1982 (Dayne_asoiaf_4)
