Category,Label,Before,After,Removed
dna_missing_gene,DNA: отсутствующие обязательные гены,0,0,0
dna_unknown_gene,DNA: устаревшие/неизвестные гены,0,0,0
dna_template,DNA: неизвестные шаблоны генов,0,0,0
dna_accessory,DNA закладок: неизвестные группы одежды,0,0,0
dna_duplicate,DNA: повторная запись гена,0,0,0
portrait_rules,Условия и синтаксис портретных скриптов,12,0,12
portrait_templates,"Шаблоны, аксессуары и значения портретных модификаторов",191,0,191
accessory_entity,Аксессуары: отсутствующие entity/варианты,3,0,3
mesh_uv,Модели: UV-развёртки,75,75,0
mesh_blendshape,Модели: blendshape и базовая геометрия,19,18,1
mesh_duplicates,Дубли моделей и текстур,6,6,0
heraldry,Гербы: отсутствующие текстуры,6,6,0
ai_decisions,Решения: интервал проверки ИИ,5,5,0
character_links,Ссылки на отсутствующих персонажей,13,13,0
artifact_visuals,Артефакты: отсутствующее визуальное описание,1,1,0
variable_not_set,"Переменные/области: используются, но не устанавливаются",58,0,58
variable_unused,"Переменные: устанавливаются, но не используются",72,0,72
modifier_unused,Неиспользуемые модификаторы,3,3,0
orphan_events,События без обнаруженных вызовов,2,2,0
localization,Локализация,6,6,0
