BeforeCount,AfterCount,Difference,Component,Message,Signature
1,0,-1,dnamodifier.cpp:24,could not find gene [secondary_headgear]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 16 (asoiaf_no_crowns_modifiers),dnamodifier.cpp:24 could not find gene [secondary_headgear]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: * (asoiaf_no_crowns_modifiers)
1,0,-1,dnamodifier.cpp:330,could not find template [asoiaf_fots_religious_clothes]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 19159 (asoiaf_custom_character_clothes),dnamodifier.cpp:330 could not find template [asoiaf_fots_religious_clothes]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: * (asoiaf_custom_character_clothes)
1,0,-1,dnamodifier.cpp:330,could not find template [body_hair_average]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 4179 (asoiaf_custom_character_colourations),dnamodifier.cpp:330 could not find template [body_hair_average]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: * (asoiaf_custom_character_colourations)
1,0,-1,dnamodifier.cpp:330,could not find template [complexion_beauty_2]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 3849 (asoiaf_custom_character_colourations),dnamodifier.cpp:330 could not find template [complexion_beauty_2]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: * (asoiaf_custom_character_colourations)
2,0,-2,dnamodifier.cpp:330,could not find template [dragon_horns_small]. file: gfx/portraits/portrait_modifiers/asoiaf_dragon_appearance_flags.txt line: 522 (asoiaf_dragon_appearances),dnamodifier.cpp:330 could not find template [dragon_horns_small]. file: gfx/portraits/portrait_modifiers/asoiaf_dragon_appearance_flags.txt line: * (asoiaf_dragon_appearances)
5,0,-5,dnamodifier.cpp:330,could not find template [head_top_height_neg]. file: gfx/portraits/portrait_modifiers/asoiaf_headgear_armor.txt line: 4144 (asoiaf_headgear_armor),dnamodifier.cpp:330 could not find template [head_top_height_neg]. file: gfx/portraits/portrait_modifiers/asoiaf_headgear_armor.txt line: * (asoiaf_headgear_armor)
1,0,-1,dnamodifier.cpp:330,could not find template [high_valyrian_war_legwear]. file: gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt line: 91 (asoiaf_legwear),dnamodifier.cpp:330 could not find template [high_valyrian_war_legwear]. file: gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt line: * (asoiaf_legwear)
2,0,-2,dnamodifier.cpp:330,could not find template [no_headgear]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 20 (asoiaf_no_crowns_modifiers),dnamodifier.cpp:330 could not find template [no_headgear]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: * (asoiaf_no_crowns_modifiers)
164,0,-164,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 14664 (asoiaf_custom_character_colourations),dnamodifier.cpp:330 could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: * (asoiaf_custom_character_colourations)
1,0,-1,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 219 (asoiaf_immortality_visuals),dnamodifier.cpp:330 could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: * (asoiaf_immortality_visuals)
1,0,-1,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 159 (asoiaf_red_priest_necklace_age_modifiers),dnamodifier.cpp:330 could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: * (asoiaf_red_priest_necklace_age_modifiers)
1,0,-1,dnamodifier.cpp:330,could not find template [one_eyed_gem_saphire]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 348 (asoiaf_misc_dna),dnamodifier.cpp:330 could not find template [one_eyed_gem_saphire]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: * (asoiaf_misc_dna)
1,0,-1,dnamodifier.cpp:330,could not find template [stormlands_war_04_legwear]. file: gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt line: 114 (asoiaf_legwear),dnamodifier.cpp:330 could not find template [stormlands_war_04_legwear]. file: gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt line: * (asoiaf_legwear)
1,0,-1,dnamodifier.cpp:338,Need a value set. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 17853 (asoiaf_custom_character_clothes),dnamodifier.cpp:338 Need a value set. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: * (asoiaf_custom_character_clothes)
