LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message,PriorLogLine,EvidenceBasis
2233,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1,2581,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
2234,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1,2582,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
2235,character_links,Symbol only in AGOT+ effective text,Broome_rs_54,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:5766,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Broome_rs_54,2583,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
2236,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1,2584,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
2237,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1,2585,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
2238,character_links,Symbol only in AGOT+ effective text,Hotah_rs_2,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:12175,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Hotah_rs_2,2586,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
2239,character_links,Symbol only in AGOT+ effective text,Hotah_rs_2,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:12175,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Hotah_rs_2,2587,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
2240,character_links,Symbol only in AGOT+ effective text,asoiaf_Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:519,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:asoiaf_Targaryen_61_1,2588,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
2241,character_links,Symbol only in AGOT+ effective text,asoiaf_Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:519,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:asoiaf_Targaryen_61_1,2589,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
2242,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1,2590,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
2243,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1,2591,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
2244,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1,2592,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
2245,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1,2593,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
