LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message,PriorLogLine,EvidenceBasis
1202,mesh_duplicates,Source/resource paths include AGOT+,,gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_diffuse.dds,,pdxassetutil.cpp:1009,A Game of Thrones | AGOT+,gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_diffuse.dds | gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_diffuse.dds,"Duplicate texture 'male_cloaks_secular_shouldercape_01_diffuse.dds' found (current path 'gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_diffuse.dds', previous path 'gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_diffuse.dds')",1343,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1203,mesh_duplicates,Source/resource paths include AGOT+,,gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_masks.dds,,pdxassetutil.cpp:1009,A Game of Thrones | AGOT+,gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_masks.dds | gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_masks.dds,"Duplicate texture 'male_cloaks_secular_shouldercape_01_masks.dds' found (current path 'gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_masks.dds', previous path 'gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_masks.dds')",1344,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1204,mesh_duplicates,Source/resource paths include AGOT+,,gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_normal.dds,,pdxassetutil.cpp:1009,A Game of Thrones | AGOT+,gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_normal.dds | gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_normal.dds,"Duplicate texture 'male_cloaks_secular_shouldercape_01_normal.dds' found (current path 'gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_normal.dds', previous path 'gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_normal.dds')",1345,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1205,mesh_duplicates,Source/resource paths include AGOT+,,gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_properties.dds,,pdxassetutil.cpp:1009,A Game of Thrones | AGOT+,gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_properties.dds | gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_properties.dds,"Duplicate texture 'male_cloaks_secular_shouldercape_01_properties.dds' found (current path 'gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_properties.dds', previous path 'gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_properties.dds')",1346,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1339,ai_decisions,Symbol only in AGOT+ effective text,asoiaf_greyjoy_cadets_decision,AGOT+ | Исправления совместимости: common/decisions/asoiaf_house_branch_decisions.txt:448,AGOT+ | Исправления совместимости,decision_type.cpp:224,,,asoiaf_greyjoy_cadets_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead,1555,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1340,ai_decisions,Symbol only in AGOT+ effective text,asoiaf_baelish_cadets_decision,AGOT+ | Исправления совместимости: common/decisions/asoiaf_house_branch_decisions.txt:553,AGOT+ | Исправления совместимости,decision_type.cpp:224,,,asoiaf_baelish_cadets_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead,1556,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1341,ai_decisions,Symbol only in AGOT+ effective text,asoiaf_harlaw_cadets_decision,AGOT+ | Исправления совместимости: common/decisions/asoiaf_house_branch_decisions.txt:661,AGOT+ | Исправления совместимости,decision_type.cpp:224,,,asoiaf_harlaw_cadets_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead,1557,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1342,ai_decisions,Symbol only in AGOT+ effective text,asoiaf_jon_targ_cadet_branch_decision,AGOT+: common/decisions/asoiaf_jon_targ_cadet_branch_decision.txt:1,AGOT+,decision_type.cpp:224,,,asoiaf_jon_targ_cadet_branch_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead,1558,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1343,ai_decisions,Symbol only in AGOT+ effective text,asoiaf_aegon_II_greens_cadet_branch_decision,AGOT+: common/decisions/asoiaf_jon_targ_cadet_branch_decision.txt:68,AGOT+,decision_type.cpp:224,,,asoiaf_aegon_II_greens_cadet_branch_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead,1559,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
1365,localization,Symbol only in AGOT+ effective text,test_crush_desc,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:2864 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:2866 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9348 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9350 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9543 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:9545,AGOT+ | Исправления совместимости,pdx_locstring.cpp:93,,,Key is missing localization: test_crush_desc,1581,Unchanged diagnostic; reviewed attribution retained; earlier text files hash-identical
