Before,After,Difference,Component,Message
1,0,-1,jomini_eventmanager.cpp:428,"Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)'"
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aemond_1_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aemond_1_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aemond_2_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aemond_2_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aemond_3_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aemond_3_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aenys_1_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aenys_1_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aenys_2_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aenys_2_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aerea_1_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aerea_1_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aerea_2_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aerea_2_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aerea_3_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_aerea_3_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_anogaros_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_anogaros_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_archonei_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_archonei_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_arrax_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_arrax_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_balerion_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_balerion_ui_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
1,0,-1,pdx_localize.cpp:279,Duplicate localization key. Key 'dragon_egg_cannibal_desc' is defined in both 'localization/russian/dp_artifacts_l_russian.yml' and 'localization/russian/mde_artifacts_l_russian.yml'.
