"LogLine","Key","Category","FirstFile","SecondFile","RepositoryDefinitions","DistinctValues","Mods"
"2","PORTRAIT_MODIFIER_custom_cloaks_female_cloak_asoiaf_nights_watch_cloak_1","Identical localization definitions","localization/russian/asoiaf_barbershop_l_russian.yml","localization/russian/asoiaf_barbershop_l_russian.yml","0","1","AGOT+ rus"
"3","agot_dragon_laid_clutch_1","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"4","agot_laid_clutch_desc_1","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"5","agot_laid_clutch_desc_second_perspective_1","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","1","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"6","agot_laid_clutch_desc_third_perspective_1","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"7","agot_dragon_laid_clutch_2","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"8","agot_laid_clutch_desc_2","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"9","agot_laid_clutch_desc_second_perspective_2","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","1","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"10","agot_laid_clutch_desc_third_perspective_2","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"11","agot_dragon_laid_clutch_3","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"12","agot_laid_clutch_desc_3","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"13","agot_laid_clutch_desc_second_perspective_3","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","1","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"14","agot_laid_clutch_desc_third_perspective_3","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"15","agot_dragon_laid_clutch_4","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"16","agot_laid_clutch_desc_4","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"17","agot_laid_clutch_desc_second_perspective_4","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"18","agot_laid_clutch_desc_third_perspective_4","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"19","agot_dragon_laid_clutch_5","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"20","agot_laid_clutch_desc_5","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"21","agot_laid_clutch_desc_second_perspective_5","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","1","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"22","agot_laid_clutch_desc_third_perspective_5","Expected corrective localization override","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"23","visenya_circlet_name","Reviewed same-object mod override","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","0","2","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация"
"24","visenya_circlet_description","Reviewed same-object mod override","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","0","2","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация"
"25","daemonblackfyre_crown_name","Reviewed same-object mod override","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","0","2","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация"
"26","daemonblackfyre_crown_description","Reviewed same-object mod override","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","0","2","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация"
"27","crown_of_gardener_war_iron_name","Reviewed same-object mod override","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","0","2","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация"
"28","crown_of_gardener_war_iron_description","Reviewed same-object mod override","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","0","2","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация"
"29","crown_of_westerling_name","Identical localization definitions","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","0","1","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация"
"30","crown_of_westerling_description","Reviewed same-object mod override","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","0","2","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация"
"31","agot_dragon_maintenance.0802.t","Reviewed same-object mod override","localization/russian/more_dragon_eggs_events_l_russian.yml","localization/russian/agot/event_localization/agot_dragon_maintenance_l_russian.yml","0","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация"
