Category,PriorLogLine,Component,Message,AfterCount
mesh_duplicates,1202,pdxassetutil.cpp:1009,"Duplicate texture 'male_cloaks_secular_shouldercape_01_diffuse.dds' found (current path 'gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_diffuse.dds', previous path 'gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_diffuse.dds')",0
mesh_duplicates,1203,pdxassetutil.cpp:1009,"Duplicate texture 'male_cloaks_secular_shouldercape_01_masks.dds' found (current path 'gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_masks.dds', previous path 'gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_masks.dds')",0
mesh_duplicates,1204,pdxassetutil.cpp:1009,"Duplicate texture 'male_cloaks_secular_shouldercape_01_normal.dds' found (current path 'gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_normal.dds', previous path 'gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_normal.dds')",0
mesh_duplicates,1205,pdxassetutil.cpp:1009,"Duplicate texture 'male_cloaks_secular_shouldercape_01_properties.dds' found (current path 'gfx/models/portraits/m_cloaks/asoiaf/asoiaf_westerlands/asoiaf_lannister_cloaks/asoiaf_lannister_cloak_royal/male_cloaks_secular_shouldercape_01_properties.dds', previous path 'gfx/models/portraits/m_cloaks/agot/shouldercape/male_cloaks_secular_shouldercape_01_properties.dds')",0
ai_decisions,1339,decision_type.cpp:224,asoiaf_greyjoy_cadets_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead,0
ai_decisions,1340,decision_type.cpp:224,asoiaf_baelish_cadets_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead,0
ai_decisions,1341,decision_type.cpp:224,asoiaf_harlaw_cadets_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead,0
ai_decisions,1342,decision_type.cpp:224,asoiaf_jon_targ_cadet_branch_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead,0
ai_decisions,1343,decision_type.cpp:224,asoiaf_aegon_II_greens_cadet_branch_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead,0
localization,1365,pdx_locstring.cpp:93,Key is missing localization: test_crush_desc,0
localization,1366,pdx_locstring.cpp:93,Key is missing localization: test_crush_desc,0
localization,1367,pdx_locstring.cpp:93,Key is missing localization: test_crush_desc,0
localization,1368,pdx_locstring.cpp:93,Key is missing localization: test_crush_desc,0
localization,1369,pdx_locstring.cpp:93,Key is missing localization: test_crush_desc,0
localization,1370,pdx_locstring.cpp:93,Key is missing localization: test_crush_desc,0
heraldry,1517,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/ce_bottom_solid.dds near file: common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt line: 1302,0
heraldry,1519,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/re_block_02.dds near file: common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt line: 1699,0
heraldry,1520,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/re_block_02.dds near file: common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt line: 1781,0
heraldry,1522,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/asoiaf_unicorn.dds near file: common/coat_of_arms/coat_of_arms/test_personal_coas.txt line: 2130,0
heraldry,1523,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/north_wibberly.dds near file: common/coat_of_arms/coat_of_arms/test_northern_dynasties.txt line: 981,0
heraldry,1525,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/vale_seldon_rayonne.dds near file: common/coat_of_arms/coat_of_arms/test_riverland_dynasties.txt line: 735,0
artifact_visuals,1532,artifact_visual_type.cpp:31,Artifact visual type 'asoiaf_hound_armour_visuals' has no defined assets,0
