FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
accessories,1358,17:50:45,portraitaccessories.cpp:159,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_captainsPants_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1359,17:50:45,portraitaccessories.cpp:159,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_standardPants_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1360,17:50:45,portraitaccessories.cpp:159,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_twoSwordsPants_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1361,17:50:45,portraitaccessories.cpp:159,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_captainsPants_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1362,17:50:45,portraitaccessories.cpp:159,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_standardPants_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1363,17:50:45,portraitaccessories.cpp:159,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_twoSwordsPants_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1364,17:50:45,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_01""",Graphics / portrait source error,,,,,
accessories,1365,17:50:45,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1366,17:50:45,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_02""",Graphics / portrait source error,,,,,
accessories,1367,17:50:45,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_02""",Graphics / portrait source error,,,,,
accessories,1368,17:50:45,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_03""",Graphics / portrait source error,,,,,
accessories,1369,17:50:45,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_03""",Graphics / portrait source error,,,,,
accessories,1370,17:50:45,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_01""",Graphics / portrait source error,,,,,
accessories,1371,17:50:45,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1372,17:50:45,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_02""",Graphics / portrait source error,,,,,
accessories,1373,17:50:45,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_02""",Graphics / portrait source error,,,,,
accessories,1374,17:50:45,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_03""",Graphics / portrait source error,,,,,
