FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
descriptor,1,17:48:34,dlc_descriptor.cpp:70,Invalid supported_version in file: mod/ugc_2261468688.mod line: 6,Mod descriptor warning,,,,,
texture_duplicates,1192,17:49:51,pdxassetutil.cpp:1009,"Duplicate texture 'ep3_patras_castle_01_a_unique.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_01_a_unique.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds')",Graphics / portrait source error,CK3 | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds | gfx/models/buildings/special/high_hermitage/ep3_patras_castle_01_a_unique.dds,,,
texture_duplicates,1193,17:49:51,pdxassetutil.cpp:1009,"Duplicate texture 'ep3_patras_castle_ground_diffuse.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_diffuse.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds')",Graphics / portrait source error,CK3 | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds | gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_diffuse.dds,,,
texture_duplicates,1194,17:49:51,pdxassetutil.cpp:1009,"Duplicate texture 'ep3_patras_castle_ground_normal.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_normal.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds')",Graphics / portrait source error,CK3 | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds | gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_normal.dds,,,
texture_duplicates,1195,17:49:51,pdxassetutil.cpp:1009,"Duplicate texture 'ep3_patras_castle_ground_properties.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_properties.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds')",Graphics / portrait source error,CK3 | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds | gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_properties.dds,,,
texture_duplicates,1196,17:49:51,pdxassetutil.cpp:1009,"Duplicate texture 'ethiopian_atlas_diffuse.dds' found (current path 'gfx/models/buildings/special/Karhold/ethiopian_atlas_diffuse.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds')",Graphics / portrait source error,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds | gfx/models/buildings/special/Karhold/ethiopian_atlas_diffuse.dds,,,
texture_duplicates,1197,17:49:51,pdxassetutil.cpp:1009,"Duplicate texture 'ethiopian_atlas_diffuse.dds' found (current path 'gfx/models/buildings/special/Runestone/ethiopian_atlas_diffuse.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds')",Graphics / portrait source error,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds | gfx/models/buildings/special/Runestone/ethiopian_atlas_diffuse.dds,,,
texture_duplicates,1198,17:49:51,pdxassetutil.cpp:1009,"Duplicate texture 'ethiopian_atlas_normal.dds' found (current path 'gfx/models/buildings/special/Karhold/ethiopian_atlas_normal.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds')",Graphics / portrait source error,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds | gfx/models/buildings/special/Karhold/ethiopian_atlas_normal.dds,,,
texture_duplicates,1199,17:49:51,pdxassetutil.cpp:1009,"Duplicate texture 'ethiopian_atlas_normal.dds' found (current path 'gfx/models/buildings/special/Runestone/ethiopian_atlas_normal.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds')",Graphics / portrait source error,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds | gfx/models/buildings/special/Runestone/ethiopian_atlas_normal.dds,,,
texture_duplicates,1200,17:49:51,pdxassetutil.cpp:1009,"Duplicate texture 'ethiopian_atlas_properties.dds' found (current path 'gfx/models/buildings/special/Karhold/ethiopian_atlas_properties.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_properties.dds')",Graphics / portrait source error,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_properties.dds | gfx/models/buildings/special/Karhold/ethiopian_atlas_properties.dds,,,
