Category,Label,Messages,DistinctMessages
scripts,"Скрипты, параметры и проверка данных",192,190
read_not_set,"Переменные/флаги используются, установка не найдена",50,25
set_not_read,"Переменные/флаги устанавливаются, использование не найдено",22,11
animations,Неизвестные состояния портретных анимаций,48,48
accessories,Недоступные аксессуары в группах генов,32,16
entities,Отсутствующие сущности моделей,26,26
mesh_settings,Несогласованные настройки моделей,40,40
mesh_uv,UV-развёртки моделей,39,37
textures,Отсутствующие текстуры и иконки,32,8
texture_duplicates,Дубли текстур,10,10
history,Ссылки на персонажей и титулы,9,8
dna,Повторное поле в DNA закладок,2,2
localization,Отсутствующие ключи локализации,4,4
modifiers,Неиспользуемые/некорректные модификаторы,6,6
orphan_events,События без найденного вызова,2,2
ai_decision,Период проверки решения ИИ,1,1
descriptor,Некорректная версия в дескрипторе,1,1
rule_references,Неизвестные ссылки на игровые правила,2,2
achievement_assert,Сообщение проверки загрузки достижений,1,1
