FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
entities,1309,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""western_walls_05_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1310,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""western_walls_06_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1311,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""western_walls_07_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1312,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""india_walls_05_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1313,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""india_walls_06_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1314,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""india_walls_07_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1315,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1316,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_06_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1317,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_07_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1318,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""fp2_building_iberian_wall_05_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1319,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""fp2_building_iberian_wall_06_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1320,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""fp2_building_iberian_wall_07_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1321,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""walls_05_marrakesh_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1322,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""western_walls_05_paris_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1323,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""western_walls_07_london_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1324,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""western_walls_06_london_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1325,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""western_walls_05_london_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1326,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_thes_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1327,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""mena_walls_05_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1328,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""mena_walls_06_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1329,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""mena_walls_07_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1330,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_genoa_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1331,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_rome_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1332,17:50:31,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_constantinople_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1333,17:50:32,portraitaccessories.cpp:65,could not find entity [smc_alicent_dress_03_entity] - file: gfx/portraits/accessories/smc_clothing.txt line: 24 (female_clothes_smc_alicent_dress_03),Graphics / portrait source error,AGOT Submod Core,gfx/portraits/accessories/smc_clothing.txt,,,
entities,1334,17:50:32,portraitaccessories.cpp:65,could not find entity [smc_alicent_dress_04_entity] - file: gfx/portraits/accessories/smc_clothing.txt line: 28 (female_clothes_smc_alicent_dress_04),Graphics / portrait source error,AGOT Submod Core,gfx/portraits/accessories/smc_clothing.txt,,,
