FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
mesh_uv,1202,17:49:54,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'crag_crenelation' in file 'gfx/models/buildings/special/crag/crag.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag.mesh,,,
mesh_uv,1203,17:49:54,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'gold_ball' in file 'gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh,,,
mesh_uv,1204,17:49:54,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'crag_stone_ground' in file 'gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh,,,
mesh_uv,1213,17:49:56,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'pole_town' in file 'gfx/models/buildings/special/planky town/planky_town.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/planky town/planky_town.mesh,,,
mesh_uv,1214,17:49:57,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'rooksrest_stone_ground' in file 'gfx/models/buildings/special/rooksrest/rooksrest.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/rooksrest/rooksrest.mesh,,,
mesh_uv,1215,17:49:57,pdxassetutil.cpp:556,UV-Set: 0 in mesh 'lift' in file 'gfx/models/buildings/special/castamere/24castamere_3.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/castamere/24castamere_3.mesh,,,
mesh_uv,1220,17:49:57,pdxassetutil.cpp:556,UV-Set: 0 in mesh 'pallet' in file 'gfx/models/buildings/special/castamere/24castamere_3.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/castamere/24castamere_3.mesh,,,
mesh_uv,1225,17:49:58,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'ashemark_stone_ground' in file 'gfx/models/buildings/special/ashemark/ashemark.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/ashemark/ashemark.mesh,,,
mesh_uv,1227,17:49:58,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'lannisport_dgShape' in file 'gfx/models/buildings/special/fanghill/fanghill.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/fanghill/fanghill.mesh,,,
mesh_uv,1228,17:49:59,pdxassetutil.cpp:556,UV-Set: 0 in mesh 'lift' in file 'gfx/models/buildings/special/castamere/24castamere_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/castamere/24castamere_2.mesh,,,
mesh_uv,1233,17:49:59,pdxassetutil.cpp:556,UV-Set: 0 in mesh 'pallet' in file 'gfx/models/buildings/special/castamere/24castamere_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/castamere/24castamere_2.mesh,,,
mesh_uv,1238,17:49:59,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'crag_upper' in file 'gfx/models/buildings/special/crag/crag_level_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag_level_2.mesh,,,
