FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
read_not_set,1972,17:50:47,jomini_effect.cpp:1161,Flag 'monastery_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1973,17:50:47,jomini_effect.cpp:1161,Flag 'ruin_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1974,17:50:47,jomini_effect.cpp:1161,Flag 'highlight_special_buildings_map' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1975,17:50:47,jomini_effect.cpp:1161,Flag 'blackDarkRed' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1976,17:50:47,jomini_effect.cpp:1161,Flag 'unknown_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1977,17:50:47,jomini_effect.cpp:1161,Flag 'settlement_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1978,17:50:47,jomini_effect.cpp:1161,Flag 'iceFire' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1979,17:50:47,jomini_effect.cpp:1161,Flag 'pirate_den_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1980,17:50:47,jomini_effect.cpp:1161,Flag 'wilderness_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1981,17:50:47,jomini_effect.cpp:1161,Flag 'roland_crown' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1986,17:50:47,jomini_effect.cpp:1161,Variable 'maekars_crown' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1987,17:50:47,jomini_effect.cpp:1161,Variable 'highlight_cow_provinces_map' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1988,17:50:47,jomini_effect.cpp:1161,Variable 'is_Durrandon_51' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1989,17:50:47,jomini_effect.cpp:1161,Variable 'Aotk_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1990,17:50:47,jomini_effect.cpp:1161,Variable 'app_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1991,17:50:47,jomini_effect.cpp:1161,Variable 'crown_aegon_baelor_artifact' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1992,17:50:47,jomini_effect.cpp:1161,Variable 'tgc_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1993,17:50:47,jomini_effect.cpp:1161,Variable 'blackfyre' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1994,17:50:47,jomini_effect.cpp:1161,Variable 'kingsguard_choice' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1995,17:50:47,jomini_effect.cpp:1161,Variable 'darksister' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1996,17:50:47,jomini_effect.cpp:1161,Variable 'brightboar_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1997,17:50:47,jomini_effect.cpp:1161,Variable 'is_baratheon_6' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1998,17:50:47,jomini_effect.cpp:1161,Variable 'swordman_armor_artifact' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1999,17:50:47,jomini_effect.cpp:1161,Variable 'seafoam' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,2000,17:50:47,jomini_effect.cpp:1161,Variable 'captains_sword' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,2069,17:50:52,jomini_effect.cpp:1161,Flag 'monastery_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,2070,17:50:52,jomini_effect.cpp:1161,Flag 'ruin_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,2071,17:50:52,jomini_effect.cpp:1161,Flag 'highlight_special_buildings_map' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,2072,17:50:52,jomini_effect.cpp:1161,Flag 'blackDarkRed' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,2073,17:50:52,jomini_effect.cpp:1161,Flag 'unknown_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,2074,17:50:52,jomini_effect.cpp:1161,Flag 'settlement_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,2075,17:50:52,jomini_effect.cpp:1161,Flag 'iceFire' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,2076,17:50:52,jomini_effect.cpp:1161,Flag 'pirate_den_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,2077,17:50:52,jomini_effect.cpp:1161,Flag 'wilderness_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,2078,17:50:52,jomini_effect.cpp:1161,Flag 'roland_crown' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
