FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
scripts,1337,17:50:38,character_currency_effects_impl.cpp:227,Negative value in remove_short_term_gold: -450. file: events/decisions_events/buy_ruby_crown_events.txt line: 54 (buy_ruby_crown.0999:immediate),Script / database error,Legacy Of The Dragon,events/decisions_events/buy_ruby_crown_events.txt,,,
scripts,1339,17:50:39,jomini_eventmanager.cpp:428,"Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)'",Script / database error,A Game of Thrones,events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt,,,
scripts,1341,17:50:42,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: rhoynish_religion_opinion, near line: 1760"" in file: ""common/buildings/yy_agotcities_special_buildings_westeros.txt"" near line: 1760",Script / database error,COW-AGOT: 3D Models & Bigger Castles,common/buildings/yy_agotcities_special_buildings_westeros.txt,,,
scripts,1342,17:50:42,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: rhoynish_religion_opinion, near line: 1767"" in file: ""common/buildings/yy_agotcities_special_buildings_westeros.txt"" near line: 1767",Script / database error,COW-AGOT: 3D Models & Bigger Castles,common/buildings/yy_agotcities_special_buildings_westeros.txt,,,
scripts,1343,17:50:42,pdx_persistent_reader.cpp:216,"Error: ""Unknown trigger: holding, near line: 2364"" in file: ""common/buildings/yy_agotcities_special_buildings_westeros.txt"" near line: 2369",Script / database error,COW-AGOT: 3D Models & Bigger Castles,common/buildings/yy_agotcities_special_buildings_westeros.txt,,,
scripts,1344,17:50:42,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: confucian_education_xp_gain_mult, near line: 4047"" in file: ""common/modifiers/DI_modifiers.txt"" near line: 4047",Script / database error,Divine Intervention Cheat Menu,common/modifiers/DI_modifiers.txt,,,
scripts,1345,17:50:42,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: valeman_opinion, near line: 447"" in file: ""common/modifiers/ntc_artifact_modifiers.txt"" near line: 447",Script / database error,AGOT - Crowns of Westeros,common/modifiers/ntc_artifact_modifiers.txt,,,
scripts,1346,17:50:42,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: valeman_opinion, near line: 456"" in file: ""common/modifiers/ntc_artifact_modifiers.txt"" near line: 456",Script / database error,AGOT - Crowns of Westeros,common/modifiers/ntc_artifact_modifiers.txt,,,
scripts,1347,17:50:42,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: valeman_opinion, near line: 605"" in file: ""common/modifiers/ntc_artifact_modifiers.txt"" near line: 605",Script / database error,AGOT - Crowns of Westeros,common/modifiers/ntc_artifact_modifiers.txt,,,
scripts,1348,17:50:45,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_aegon_i_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 78 (agot_create_artifact_aegon_i_crown_effect),Script / database error,A Game of Thrones,common/scripted_effects/00_agot_artifact_crowns_effects.txt,,,
