FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
textures,1216,17:49:57,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_properties.dds',Graphics / portrait source error,,,,,
textures,1217,17:49:57,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds,,,
textures,1218,17:49:57,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_normal.dds',Graphics / portrait source error,,,,,
textures,1219,17:49:57,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds,,,
textures,1221,17:49:57,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_properties.dds',Graphics / portrait source error,,,,,
textures,1222,17:49:57,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds,,,
textures,1223,17:49:57,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_normal.dds',Graphics / portrait source error,,,,,
textures,1224,17:49:57,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds,,,
textures,1229,17:49:59,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_properties.dds',Graphics / portrait source error,,,,,
textures,1230,17:49:59,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds,,,
textures,1231,17:49:59,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_normal.dds',Graphics / portrait source error,,,,,
textures,1232,17:49:59,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds,,,
textures,1234,17:49:59,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_properties.dds',Graphics / portrait source error,,,,,
textures,1235,17:49:59,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds,,,
textures,1236,17:49:59,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_normal.dds',Graphics / portrait source error,,,,,
