"Order","Name","Path","Descriptor","Exists"
"1","A Game of Thrones","E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032","mod/ugc_2962333032.mod","True"
"2","AGOT Submod Core","E:/SteamLibrary/steamapps/workshop/content/1158310/3034473189","mod/ugc_3034473189.mod","True"
"3","AGOT+","E:/SteamLibrary/steamapps/workshop/content/1158310/2950245430","mod/ugc_2950245430.mod","True"
"4","AGOT+ | Исправления совместимости","D:/RUSBAR/YandexDisk/PC RUSBAR-PC/Yandex Drive/Work/Rusbar IT Services/Repositories/Crusader_Kings_III_Mods/AGOT_Submods/AGOT_PLUS_FIX","mod/AGOT_PLUS_FIX.mod","True"
"5","AGOT Bookmarked","E:/SteamLibrary/steamapps/workshop/content/1158310/3149692324","mod/ugc_3149692324.mod","True"
"6","Valyrian Steel","E:/SteamLibrary/steamapps/workshop/content/1158310/2962713441","mod/ugc_2962713441.mod","True"
"7","COW-AGOT: 3D Models & Bigger Castles","E:/SteamLibrary/steamapps/workshop/content/1158310/2971198450","mod/ugc_2971198450.mod","True"
"8","AGOT - Crowns of Westeros","E:/SteamLibrary/steamapps/workshop/content/1158310/2995674648","mod/ugc_2995674648.mod","True"
"9","Legacy Of The Dragon","E:/SteamLibrary/steamapps/workshop/content/1158310/3101422928","mod/ugc_3101422928.mod","True"
"10","AGOT More Dragon Eggs","E:/SteamLibrary/steamapps/workshop/content/1158310/3388366564","mod/ugc_3388366564.mod","True"
"11","AGOT More Dragon Eggs - Русификация","E:/SteamLibrary/steamapps/workshop/content/1158310/3736931686","mod/ugc_3736931686.mod","True"
"12","A Game of Thrones | Русификатор","E:/SteamLibrary/steamapps/workshop/content/1158310/2962803371","mod/ugc_2962803371.mod","True"
"13","AGOT+ rus","E:/SteamLibrary/steamapps/workshop/content/1158310/3465601037","mod/ugc_3465601037.mod","True"
"14","AGOT Submod Core | Русификатор","D:/RUSBAR/YandexDisk/PC RUSBAR-PC/Yandex Drive/Work/Rusbar IT Services/Repositories/Crusader_Kings_III_Mods/AGOT_Submods/AGOT_SUBMOD_CORE_RUS","mod/AGOT_SUBMOD_CORE_RUS.mod","True"
"15","AGOT BOOKMARKED RU","E:/SteamLibrary/steamapps/workshop/content/1158310/3518584623","mod/ugc_3518584623.mod","True"
"16","AGOT | Исправления русификатора","D:/RUSBAR/YandexDisk/PC RUSBAR-PC/Yandex Drive/Work/Rusbar IT Services/Repositories/Crusader_Kings_III_Mods/AGOT_Submods/AGOT_RUS_CORRECT","mod/AGOT_RUS_CORRECT.mod","True"
"17","AGOT+ | Исправления русификатора","D:/RUSBAR/YandexDisk/PC RUSBAR-PC/Yandex Drive/Work/Rusbar IT Services/Repositories/Crusader_Kings_III_Mods/AGOT_Submods/AGOT_PLUS_RUS_CORRECT","mod/AGOT_PLUS_RUS_CORRECT.mod","True"
"18","AGOT Bookmarked | Исправления русификатора","D:/RUSBAR/YandexDisk/PC RUSBAR-PC/Yandex Drive/Work/Rusbar IT Services/Repositories/Crusader_Kings_III_Mods/AGOT_Submods/AGOT_Bookmarked_RUS_CORRECT","mod/AGOT_Bookmarked_RUS_CORRECT.mod","True"
"19","AGOT - Crowns of Westeros - Русификация","E:/SteamLibrary/steamapps/workshop/content/1158310/3412539516","mod/ugc_3412539516.mod","True"
"20","COW-AGOT: 3D Models & Bigger Castles rus","E:/SteamLibrary/steamapps/workshop/content/1158310/3496379669","mod/ugc_3496379669.mod","True"
"21","Valyrian Steel - Русификация","E:/SteamLibrary/steamapps/workshop/content/1158310/3736917258","mod/ugc_3736917258.mod","True"
"22","Legacy Of The Dragon - Русификация","E:/SteamLibrary/steamapps/workshop/content/1158310/3713762177","mod/ugc_3713762177.mod","True"
"23","AGOT More Dragon Eggs | Исправления русификатора и совместимости","D:/RUSBAR/YandexDisk/PC RUSBAR-PC/Yandex Drive/Work/Rusbar IT Services/Repositories/Crusader_Kings_III_Mods/AGOT_Submods/AGOT_More_Dragon_Eggs_RUS_CORRECT","mod/AGOT_More_Dragon_Eggs_RUS_CORRECT.mod","True"
"24","COW-AGOT | Исправления русификатора","D:/RUSBAR/YandexDisk/PC RUSBAR-PC/Yandex Drive/Work/Rusbar IT Services/Repositories/Crusader_Kings_III_Mods/AGOT_Submods/COW_AGOT_RUS_CORRECT","mod/COW_AGOT_RUS_CORRECT.mod","True"
"25","Crowns of Westeros | Исправления русификатора","D:/RUSBAR/YandexDisk/PC RUSBAR-PC/Yandex Drive/Work/Rusbar IT Services/Repositories/Crusader_Kings_III_Mods/AGOT_Submods/Crowns_of_Westeros_RUS_CORRECT","mod/CROWNS_OF_WESTEROS_RUS_CORRECT.mod","True"
"26","Legacy Of The Dragon | Исправления русификатора","D:/RUSBAR/YandexDisk/PC RUSBAR-PC/Yandex Drive/Work/Rusbar IT Services/Repositories/Crusader_Kings_III_Mods/AGOT_Submods/Legacy_Of_The_Dragon_RUS_CORRECT","mod/LEGACY_OF_THE_DRAGON_RUS_CORRECT.mod","True"
"27","Valyrian Steel | Исправления русификатора","D:/RUSBAR/YandexDisk/PC RUSBAR-PC/Yandex Drive/Work/Rusbar IT Services/Repositories/Crusader_Kings_III_Mods/AGOT_Submods/VALYRIAN_STEEL_RUS_CORRECT","mod/VALYRIAN_STEEL_RUS_CORRECT.mod","True"
"28","Clear Notifications","E:/SteamLibrary/steamapps/workshop/content/1158310/2261468688","mod/ugc_2261468688.mod","True"
"29","Divine Intervention Cheat Menu","E:/SteamLibrary/steamapps/workshop/content/1158310/2986538297","mod/ugc_2986538297.mod","True"
"30","Divine Intervention AGOT Cheat Menu","E:/SteamLibrary/steamapps/workshop/content/1158310/2996152542","mod/ugc_2996152542.mod","True"
"31","Divine Intervention CM [RUS]","E:/SteamLibrary/steamapps/workshop/content/1158310/3041996936","mod/ugc_3041996936.mod","True"
"32","Divine Intervention AGOT | Русификатор","D:/RUSBAR/YandexDisk/PC RUSBAR-PC/Yandex Drive/Work/Rusbar IT Services/Repositories/Crusader_Kings_III_Mods/AGOT_Submods/Divine_Intervention_AGOT_RUS","mod/DIVINE_INTERVENTION_AGOT_RUS.mod","True"
