"BeforeCount","AfterCount","Difference","Category","Owner","ExampleLine","Component","Message","Signature"
"1","0","-1","Localization / dynamic text error","AGOT+ | Исправления совместимости","10486","jomini_dynamicdescription.cpp:66","Unrecognized loc key Alyrie. file: common/scripted_effects/asoiaf_setup_effects.txt line: 2665 (asoiaf_got_names_effect)","jomini_dynamicdescription.cpp:66 Unrecognized loc key Alyrie. file: common/scripted_effects/asoiaf_setup_effects.txt line: * (asoiaf_got_names_effect)"
"1","0","-1","Localization / dynamic text error","","10359","jomini_dynamicdescription.cpp:66","Unrecognized loc key trait_asoiaf_aegon_I_crown_death_trait. asoiaf_aegon_I_crown_death_trait","jomini_dynamicdescription.cpp:66 Unrecognized loc key trait_asoiaf_aegon_I_crown_death_trait. asoiaf_aegon_I_crown_death_trait"
"1","0","-1","Localization / dynamic text error","","10360","jomini_dynamicdescription.cpp:66","Unrecognized loc key trait_asoiaf_aegon_I_crown_lotd_death_trait. asoiaf_aegon_I_crown_lotd_death_trait","jomini_dynamicdescription.cpp:66 Unrecognized loc key trait_asoiaf_aegon_I_crown_lotd_death_trait. asoiaf_aegon_I_crown_lotd_death_trait"
"1","0","-1","Localization / dynamic text error","","10368","jomini_dynamicdescription.cpp:66","Unrecognized loc key trait_asoiaf_aegon_III_crown_death_trait. asoiaf_aegon_III_crown_death_trait","jomini_dynamicdescription.cpp:66 Unrecognized loc key trait_asoiaf_aegon_III_crown_death_trait. asoiaf_aegon_III_crown_death_trait"
"1","0","-1","Localization / dynamic text error","","10370","jomini_dynamicdescription.cpp:66","Unrecognized loc key trait_asoiaf_aegon_IV_crown_death_trait. asoiaf_aegon_IV_crown_death_trait","jomini_dynamicdescription.cpp:66 Unrecognized loc key trait_asoiaf_aegon_IV_crown_death_trait. asoiaf_aegon_IV_crown_death_trait"
"1","0","-1","Localization / dynamic text error","","10363","jomini_dynamicdescription.cpp:66","Unrecognized loc key trait_asoiaf_aenys_I_crown_death_trait. asoiaf_aenys_I_crown_death_trait","jomini_dynamicdescription.cpp:66 Unrecognized loc key trait_asoiaf_aenys_I_crown_death_trait. asoiaf_aenys_I_crown_death_trait"
"1","0","-1","Localization / dynamic text error","","10374","jomini_dynamicdescription.cpp:66","Unrecognized loc key trait_asoiaf_aerys_II_crown_death_trait. asoiaf_aerys_II_crown_death_trait","jomini_dynamicdescription.cpp:66 Unrecognized loc key trait_asoiaf_aerys_II_crown_death_trait. asoiaf_aerys_II_crown_death_trait"
"1","0","-1","Localization / dynamic text error","","10365","jomini_dynamicdescription.cpp:66","Unrecognized loc key trait_asoiaf_alysanne_crown_death_trait. asoiaf_alysanne_crown_death_trait","jomini_dynamicdescription.cpp:66 Unrecognized loc key trait_asoiaf_alysanne_crown_death_trait. asoiaf_alysanne_crown_death_trait"
"1","0","-1","Localization / dynamic text error","","10306","jomini_dynamicdescription.cpp:66","Unrecognized loc key trait_asoiaf_Arryn_3_1_trait. asoiaf_Arryn_3_1_trait","jomini_dynamicdescription.cpp:66 Unrecognized loc key trait_asoiaf_Arryn_3_1_trait. asoiaf_Arryn_3_1_trait"
"1","0","-1","Localization / dynamic text error","","10307","jomini_dynamicdescription.cpp:66","Unrecognized loc key trait_asoiaf_Arryn_3_2_trait. asoiaf_Arryn_3_2_trait","jomini_dynamicdescription.cpp:66 Unrecognized loc key trait_asoiaf_Arryn_3_2_trait. asoiaf_Arryn_3_2_trait"
