"Count","Category","Owner","Files","FirstLogLine"
"2092","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_valyrian.txt","6923"
"1457","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_north.txt","2980"
"953","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_reach.txt","4437"
"762","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_stormlands.txt","5846"
"720","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_westerlands.txt","9049"
"636","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_crownlands.txt","1473"
"456","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_riverlands.txt","5390"
"423","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_dornish.txt","2109"
"315","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_vale.txt","6608"
"242","Script / database error","","","1442"
"230","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_essos.txt","2583"
"177","Graphics / portrait source error","AGOT+ | Исправления совместимости","gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt","9769"
"167","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_iron_isles.txt","2813"
"130","Graphics / portrait source error","","","1192"
"96","Script / database error","AGOT+","history/characters/asoiaf_char_vanity.txt","11400"
"95","History / title / faith reference error","","","11609"
"80","Script / database error","AGOT+ | Исправления совместимости","common/scripted_effects/asoiaf_canon_children_effects.txt","10117"
"50","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_easter_eggs.txt","2533"
"48","Script / database error","AGOT+","common/scripted_effects/asoiaf_scripted_effects_artifacts.txt","10083"
"34","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_vanity.txt","9015"
"30","Script / database error","AGOT+ | Исправления совместимости","common/on_action/asoiaf_yearly_on_actions.txt","10053"
"26","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/05_clothes_situational.txt","11007"
"24","Script / database error","AGOT+ | Исправления совместимости","common/scripted_effects/asoiaf_setup_effects.txt","10089"
"21","Graphics / portrait source error","AGOT+","gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh","1372"
"20","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_beyond_the_wall.txt","1453"
"20","Script / database error","Legacy Of The Dragon","common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt","10420"
"17","Script / database error","AGOT Submod Core","common/scripted_triggers/tgc_loaded_trigger.txt","10154"
"17","Script / database error","Divine Intervention Cheat Menu","common/scripted_effects/DI_char_spawner_effects.txt","10322"
"16","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/05_headgear_situational.txt","11072"
"16","Script / database error","Divine Intervention AGOT Cheat Menu","common/scripted_effects/DI_court_position_spawner_overrides.txt","10904"
"12","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/seagaurd/building_seagard_01.mesh","1317"
"12","Script / database error","Divine Intervention Cheat Menu","common/character_interactions/DI_character_interaction.txt","10869"
"11","Graphics / portrait source error","AGOT+","common/bookmark_portraits/bookmark_284_cressen.txt","10010"
"11","Script / database error","AGOT+","events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt","10034"
"10","Script / database error","COW-AGOT: 3D Models & Bigger Castles","common/on_action/cowagot_province_on_actions.txt","10879"
"10","Graphics / portrait source error","AGOT+","common/bookmark_portraits/bookmark_209_egg.txt","9996"
"10","Script / database error","Divine Intervention AGOT Cheat Menu","common/scripted_effects/DI_present_effects.txt","10944"
"9","Graphics / portrait source error","AGOT+","common/bookmark_portraits/bookmark_82_osmund_strong.txt","10022"
"9","Graphics / portrait source error","AGOT+","common/bookmark_portraits/bookmark_106_alicent_hightower.txt","9978"
"9","Graphics / portrait source error","AGOT+","common/bookmark_portraits/bookmark_106_viserys_targaryen.txt","9987"
"8","Script / database error","A Game of Thrones","common/scripted_effects/00_agot_artifact_crowns_effects.txt","10075"
"8","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/01_cloaks_base.txt","10972"
"7","Other error","Unresolved file","gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds","1255"
"7","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/crag/crag_level_1.mesh","1347"
