"IssueClass","Attribution","Evidence","LogLine","Component","Owner","Message"
"Triggers_effects_and_syntax","Resolved source path","common/decisions/asoiaf_house_branch_decisions.txt","9753","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unexpected token: decision_has_second_step, near line: 112
Unexpected token: decision_custom_widget_container, near line: 113"" in file: ""common/decisions/asoiaf_house_branch_decisions.txt"" near line: 118"
"Triggers_effects_and_syntax","Resolved source path","common/decisions/asoiaf_house_branch_decisions.txt","9755","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unexpected token: decision_has_second_step, near line: 481
Unexpected token: decision_custom_widget_container, near line: 482"" in file: ""common/decisions/asoiaf_house_branch_decisions.txt"" near line: 487"
"Triggers_effects_and_syntax","Resolved source path","common/decisions/asoiaf_house_branch_decisions.txt","9758","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unexpected token: decision_has_second_step, near line: 586
Unexpected token: decision_custom_widget_container, near line: 587"" in file: ""common/decisions/asoiaf_house_branch_decisions.txt"" near line: 592"
"Triggers_effects_and_syntax","Resolved source path","common/decisions/asoiaf_house_branch_decisions.txt","9761","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unexpected token: decision_has_second_step, near line: 702
Unexpected token: decision_custom_widget_container, near line: 703"" in file: ""common/decisions/asoiaf_house_branch_decisions.txt"" near line: 708"
"Triggers_effects_and_syntax","Resolved source path","events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt","9994","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unknown trigger: asoiaf_canon_children_Targaryen_101_trigger, near line: 737"" in file: ""events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt"" near line: 738"
"Triggers_effects_and_syntax","Resolved source path","events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt","9995","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unknown effect: asoiaf_canon_children_Targaryen_101_birth_effect, near line: 741"" in file: ""events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt"" near line: 742"
"Triggers_effects_and_syntax","Resolved source path","events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt","9996","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unknown effect: asoiaf_canon_children_Targaryen_100_birth_effect, near line: 749"" in file: ""events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt"" near line: 750"
"Triggers_effects_and_syntax","Resolved source path","events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt","9997","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unknown effect: asoiaf_canon_children_Targaryen_99_birth_effect, near line: 757"" in file: ""events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt"" near line: 758"
"Triggers_effects_and_syntax","Resolved source path","events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt","9998","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unknown effect: asoiaf_canon_children_Targaryen_98_birth_effect, near line: 765"" in file: ""events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt"" near line: 766"
"Triggers_effects_and_syntax","Resolved source path","events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt","9999","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unknown trigger: asoiaf_canon_children_Targaryen_104_trigger, near line: 777"" in file: ""events/asoiaf_canon_children_events/asoiaf_canon_children_targaryen_events.txt"" near line: 778"
