"BeforeCount","AfterCount","Difference","Category","Owner","ExampleLine","Component","Message","Signature"
"10","0","-10","Script / database error","AGOT+ | Исправления совместимости","10052","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/on_action/asoiaf_yearly_on_actions.txt line: 417 (asoiaf_canon_children_dragon_bonding_maintenance)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/on_action/asoiaf_yearly_on_actions.txt line: * (asoiaf_canon_children_dragon_bonding_maintenance)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10090","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4381 (asoiaf_canon_children_Targaryen_30_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_30_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10091","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4476 (asoiaf_canon_children_Targaryen_31_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_31_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10092","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4630 (asoiaf_canon_children_Targaryen_33_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_33_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10093","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4792 (asoiaf_canon_children_Targaryen_35_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_35_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10094","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4883 (asoiaf_canon_children_Targaryen_36_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_36_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10095","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 5183 (asoiaf_canon_children_Targaryen_41_and_42_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_41_and_42_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10096","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 5419 (asoiaf_canon_children_Targaryen_45_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_45_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10097","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 5553 (asoiaf_canon_children_Targaryen_47_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_47_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10098","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6333 (asoiaf_canon_children_Targaryen_59_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_59_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10099","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6441 (asoiaf_canon_children_Targaryen_60_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_60_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10100","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6544 (asoiaf_canon_children_Targaryen_61_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_61_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10101","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6731 (asoiaf_canon_children_Targaryen_63_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_63_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10102","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6898 (asoiaf_canon_children_Targaryen_65_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_65_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10103","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7022 (asoiaf_canon_children_Targaryen_66_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_66_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10104","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7133 (asoiaf_canon_children_Targaryen_67_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_67_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10105","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7284 (asoiaf_canon_children_Targaryen_68_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_68_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10106","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7427 (asoiaf_canon_children_Targaryen_69_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_69_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10107","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7515 (asoiaf_canon_children_Targaryen_70_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_70_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10108","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7842 (asoiaf_canon_children_Targaryen_75_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_75_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10109","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 7996 (asoiaf_canon_children_Targaryen_76_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_76_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10110","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 8143 (asoiaf_canon_children_Targaryen_77_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_77_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10111","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 8289 (asoiaf_canon_children_Targaryen_78_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Targaryen_78_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10116","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 11750 (asoiaf_canon_children_Velaryon_34_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Velaryon_34_birth_effect:after_creation)"
"1","0","-1","Script / database error","AGOT+ | Исправления совместимости","10117","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 11835 (asoiaf_canon_children_Velaryon_35_birth_effect:after_creation)","jomini_effect.cpp:914 Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: * (asoiaf_canon_children_Velaryon_35_birth_effect:after_creation)"
"0","1","1","Script / database error","AGOT - Crowns of Westeros","10034","jomini_eventmanager.cpp:428","Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_activity_events_crown_commission.txt line: 3 (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_activity_events_crown_commission.txt line: 3 (agot_activity_commission_crown.0001)'","jomini_eventmanager.cpp:428 Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_activity_events_crown_commission.txt line: * (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_activity_events_crown_commission.txt line: * (agot_activity_commission_crown.0001)'"
"1","0","-1","Script / database error","A Game of Thrones","10045","jomini_eventmanager.cpp:428","Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)'","jomini_eventmanager.cpp:428 Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: * (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: * (agot_activity_commission_crown.0001)'"
"2","0","-2","Script / database error","AGOT+","10086","jomini_script_argument.cpp:192","Compiling source for  failed for unknown arguments: CREATOR. At file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: 2068 (agot_create_artifact_joffreyI_crown_effect)","jomini_script_argument.cpp:192 Compiling source for  failed for unknown arguments: CREATOR. At file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: * (agot_create_artifact_joffreyI_crown_effect)"
"2","0","-2","Script / database error","AGOT+","10084","jomini_script_argument.cpp:192","Compiling source for  failed for unknown arguments: CREATOR. At file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: 1954 (agot_create_artifact_renly_crown_effect)","jomini_script_argument.cpp:192 Compiling source for  failed for unknown arguments: CREATOR. At file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: * (agot_create_artifact_renly_crown_effect)"
"2","0","-2","Script / database error","AGOT+","10082","jomini_script_argument.cpp:192","Compiling source for  failed for unknown arguments: CREATOR. At file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: 1832 (agot_create_artifact_robertI_crown_effect)","jomini_script_argument.cpp:192 Compiling source for  failed for unknown arguments: CREATOR. At file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: * (agot_create_artifact_robertI_crown_effect)"
"12","0","-12","Script / database error","AGOT+","10399","jomini_script_system.cpp:303","Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_dark_sister_template' ]
  Script location: file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: 1233 (agot_create_artifact_vs_dark_sister_effect[args#3618947653])","jomini_script_system.cpp:303 Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_dark_sister_template' ]
  Script location: file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: * (agot_create_artifact_vs_dark_sister_effect[args#*])"
"6","0","-6","Script / database error","AGOT+","10423","jomini_script_system.cpp:303","Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_heartsbane_template' ]
  Script location: file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: 235 (agot_create_artifact_vs_heartsbane_effect[args#3618947653])","jomini_script_system.cpp:303 Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_heartsbane_template' ]
  Script location: file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: * (agot_create_artifact_vs_heartsbane_effect[args#*])"
"6","0","-6","Script / database error","AGOT+","10431","jomini_script_system.cpp:303","Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_ice_template' ]
  Script location: file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: 10 (agot_create_artifact_vs_ice_effect[args#3618947653])","jomini_script_system.cpp:303 Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_ice_template' ]
  Script location: file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: * (agot_create_artifact_vs_ice_effect[args#*])"
"6","0","-6","Script / database error","AGOT+","10439","jomini_script_system.cpp:303","Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_longclaw_template' ]
  Script location: file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: 401 (agot_create_artifact_vs_longclaw_effect[args#3618947653])","jomini_script_system.cpp:303 Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_longclaw_template' ]
  Script location: file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: * (agot_create_artifact_vs_longclaw_effect[args#*])"
"2","0","-2","Script / database error","AGOT+","10479","jomini_script_system.cpp:303","Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_oathkeeper_template' ]
  Script location: file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: 667 (agot_create_artifact_vs_oathkeeper_effect[args#2373236391])","jomini_script_system.cpp:303 Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_oathkeeper_template' ]
  Script location: file: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt line: * (agot_create_artifact_vs_oathkeeper_effect[args#*])"
