"Stage","IssueClass","BeforeLogLine","Component","Message","PresentBefore","PresentAfter","AfterCount"
"5","Dragon_schemes","10052","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/on_action/asoiaf_yearly_on_actions.txt line: 417 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10053","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/on_action/asoiaf_yearly_on_actions.txt line: 458 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10054","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/on_action/asoiaf_yearly_on_actions.txt line: 499 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10055","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/on_action/asoiaf_yearly_on_actions.txt line: 540 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10056","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/on_action/asoiaf_yearly_on_actions.txt line: 581 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10057","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/on_action/asoiaf_yearly_on_actions.txt line: 622 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10058","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/on_action/asoiaf_yearly_on_actions.txt line: 663 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10059","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/on_action/asoiaf_yearly_on_actions.txt line: 704 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10060","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/on_action/asoiaf_yearly_on_actions.txt line: 745 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10061","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/on_action/asoiaf_yearly_on_actions.txt line: 786 (asoiaf_canon_children_dragon_bonding_maintenance)","True","False","0"
"5","Dragon_schemes","10090","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4381 (asoiaf_canon_children_Targaryen_30_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10091","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4476 (asoiaf_canon_children_Targaryen_31_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10092","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4630 (asoiaf_canon_children_Targaryen_33_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10093","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4792 (asoiaf_canon_children_Targaryen_35_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10094","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 4883 (asoiaf_canon_children_Targaryen_36_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10095","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 5183 (asoiaf_canon_children_Targaryen_41_and_42_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10096","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 5419 (asoiaf_canon_children_Targaryen_45_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10097","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 5553 (asoiaf_canon_children_Targaryen_47_birth_effect:after_creation)","True","False","0"
"5","Dragon_schemes","10098","jomini_effect.cpp:914","Failed to read 'target' for 'start_scheme' at file: common/scripted_effects/asoiaf_canon_children_effects.txt line: 6333 (asoiaf_canon_children_Targaryen_59_birth_effect:after_creation)","True","False","0"
