"Key","Kind","Value","BeforeCount","AfterCount"
"trait_asoiaf_Targaryen_12_trait","Character","Эйгон (Юный Гриф)","0","0"
"trait_asoiaf_Targaryen_13_trait","Character","Эйнар Таргариен","0","0"
"trait_asoiaf_Targaryen_14_trait","Character","Геймон Таргариен","0","0"
"trait_asoiaf_Targaryen_15_trait","Character","Дейнис Таргариен","0","0"
"trait_asoiaf_Targaryen_16_trait","Character","Эйгон Таргариен","0","0"
"trait_asoiaf_Targaryen_17_trait","Character","Элейна Таргариен","0","0"
"trait_asoiaf_Targaryen_20_trait","Character","Эйрис Таргариен","0","0"
"trait_asoiaf_Targaryen_21_trait","Character","Рейлла Таргариен","0","0"
"trait_asoiaf_Targaryen_22_trait","Character","Эйликс Таргариен","0","0"
"trait_asoiaf_Targaryen_23_trait","Character","Бейлон Таргариен","0","0"
"trait_asoiaf_Targaryen_24_trait","Character","Деймион Таргариен","0","0"
"trait_asoiaf_Targaryen_25_trait","Character","Визерра Таргариен","0","0"
"trait_asoiaf_Targaryen_26_trait","Character","Эйрион Таргариен","0","0"
"trait_asoiaf_Targaryen_28_trait","Character","Висенья Таргариен","0","0"
"trait_asoiaf_Targaryen_27_trait","Character","Эйгон Таргариен","0","0"
"trait_asoiaf_Targaryen_29_trait","Character","Рейнис Таргариен","0","0"
"trait_asoiaf_Targaryen_30_trait","Character","Эйнис Таргариен","0","0"
"trait_asoiaf_Targaryen_31_trait","Character","Мейгор Таргариен","0","0"
"trait_asoiaf_Targaryen_32_trait","Character","Рейна Таргариен","0","0"
"trait_asoiaf_Targaryen_33_trait","Character","Эйгон Таргариен","0","0"
"trait_asoiaf_Targaryen_34_trait","Character","Визерис Таргариен","0","0"
"trait_asoiaf_Targaryen_35_trait","Character","Джейхейрис Таргариен","0","0"
"trait_asoiaf_Targaryen_36_trait","Character","Алисанна Таргариен","0","0"
"trait_asoiaf_Targaryen_37_trait","Character","Вейлла Таргариен","0","0"
"trait_asoiaf_Targaryen_38_trait","Character","Эйгон Таргариен","0","0"
"trait_asoiaf_Targaryen_40_trait","Character","Рейнис Таргариен","0","0"
"trait_asoiaf_Targaryen_39_trait","Character","Визерис Таргариен","0","0"
"trait_asoiaf_Targaryen_41_trait","Character","Эйрея Таргариен","0","0"
"trait_asoiaf_Targaryen_42_trait","Character","Рейлла Таргариен","0","0"
"trait_asoiaf_Targaryen_43_trait","Character","Эйгон Таргариен","0","0"
"trait_asoiaf_Targaryen_44_trait","Character","Дейнерис Таргариен","0","0"
"trait_asoiaf_Targaryen_45_trait","Character","Эймон Таргариен","0","0"
"trait_asoiaf_Targaryen_46_trait","Character","Бейлон Таргариен","0","0"
"trait_asoiaf_Targaryen_47_trait","Character","Алисса Таргариен","0","0"
"trait_asoiaf_Targaryen_48_trait","Character","Мейгель Таргариен","0","0"
"trait_asoiaf_Targaryen_49_trait","Character","Вейгон Таргариен","0","0"
"trait_asoiaf_Targaryen_50_trait","Character","Дейлла Таргариен","0","0"
"trait_asoiaf_Targaryen_51_trait","Character","Сейра Таргариен","0","0"
"trait_asoiaf_Targaryen_52_trait","Character","Визерра Таргариен","0","0"
"trait_asoiaf_Targaryen_53_trait","Character","Геймон Таргариен","0","0"
"trait_asoiaf_Targaryen_54_trait","Character","Валерион Таргариен","0","0"
"trait_asoiaf_Targaryen_55_trait","Character","Гейль Таргариен","0","0"
