BeforeCount,AfterCount,Difference,Category,Owner,ExampleLine,Component,Message,Signature
1,0,-1,History / title / faith reference error,AGOT+,10881,history.cpp:1014,No birth date for character at: file: history/characters/asoiaf_char_dummies.txt line: 6597,history.cpp:1014 No birth date for character at: file: history/characters/asoiaf_char_dummies.txt line: *
1,0,-1,History / title / faith reference error,,11116,history.cpp:644,Referencing non-existent character in script link character:Arryn_asoiaf_7,history.cpp:644 Referencing non-existent character in script link character:Arryn_asoiaf_7
1,0,-1,History / title / faith reference error,,11174,history.cpp:644,Referencing non-existent character in script link character:Dayne_asoiaf_3,history.cpp:644 Referencing non-existent character in script link character:Dayne_asoiaf_3
1,0,-1,History / title / faith reference error,,11175,history.cpp:644,Referencing non-existent character in script link character:Dayne_asoiaf_6,history.cpp:644 Referencing non-existent character in script link character:Dayne_asoiaf_6
1,0,-1,History / title / faith reference error,,11176,history.cpp:644,Referencing non-existent character in script link character:Dayne_asoiaf_7,history.cpp:644 Referencing non-existent character in script link character:Dayne_asoiaf_7
1,0,-1,History / title / faith reference error,,11182,history.cpp:644,Referencing non-existent character in script link character:Greyjoy_asoiaf_11,history.cpp:644 Referencing non-existent character in script link character:Greyjoy_asoiaf_11
1,0,-1,History / title / faith reference error,,11183,history.cpp:644,Referencing non-existent character in script link character:Greyjoy_asoiaf_12,history.cpp:644 Referencing non-existent character in script link character:Greyjoy_asoiaf_12
1,0,-1,History / title / faith reference error,,11143,history.cpp:644,Referencing non-existent character in script link character:Hammer_asoiaf_2,history.cpp:644 Referencing non-existent character in script link character:Hammer_asoiaf_2
1,0,-1,History / title / faith reference error,,11119,history.cpp:644,Referencing non-existent character in script link character:Hightower_asoiaf_96,history.cpp:644 Referencing non-existent character in script link character:Hightower_asoiaf_96
1,0,-1,History / title / faith reference error,,11120,history.cpp:644,Referencing non-existent character in script link character:Hightower_asoiaf_98,history.cpp:644 Referencing non-existent character in script link character:Hightower_asoiaf_98
1,0,-1,History / title / faith reference error,,11112,history.cpp:644,Referencing non-existent character in script link character:Stark_asoiaf_100,history.cpp:644 Referencing non-existent character in script link character:Stark_asoiaf_100
1,0,-1,History / title / faith reference error,,11113,history.cpp:644,Referencing non-existent character in script link character:Stark_asoiaf_101,history.cpp:644 Referencing non-existent character in script link character:Stark_asoiaf_101
1,0,-1,History / title / faith reference error,,11114,history.cpp:644,Referencing non-existent character in script link character:Stark_asoiaf_102,history.cpp:644 Referencing non-existent character in script link character:Stark_asoiaf_102
1,0,-1,History / title / faith reference error,,11115,history.cpp:644,Referencing non-existent character in script link character:Stark_asoiaf_103,history.cpp:644 Referencing non-existent character in script link character:Stark_asoiaf_103
1,0,-1,History / title / faith reference error,,11104,history.cpp:644,Referencing non-existent character in script link character:Stark_asoiaf_87,history.cpp:644 Referencing non-existent character in script link character:Stark_asoiaf_87
1,0,-1,History / title / faith reference error,,11105,history.cpp:644,Referencing non-existent character in script link character:Stark_asoiaf_88,history.cpp:644 Referencing non-existent character in script link character:Stark_asoiaf_88
1,0,-1,History / title / faith reference error,,11106,history.cpp:644,Referencing non-existent character in script link character:Stark_asoiaf_94,history.cpp:644 Referencing non-existent character in script link character:Stark_asoiaf_94
1,0,-1,History / title / faith reference error,,11107,history.cpp:644,Referencing non-existent character in script link character:Stark_asoiaf_95,history.cpp:644 Referencing non-existent character in script link character:Stark_asoiaf_95
1,0,-1,History / title / faith reference error,,11108,history.cpp:644,Referencing non-existent character in script link character:Stark_asoiaf_96,history.cpp:644 Referencing non-existent character in script link character:Stark_asoiaf_96
1,0,-1,History / title / faith reference error,,11109,history.cpp:644,Referencing non-existent character in script link character:Stark_asoiaf_97,history.cpp:644 Referencing non-existent character in script link character:Stark_asoiaf_97
1,0,-1,History / title / faith reference error,,11110,history.cpp:644,Referencing non-existent character in script link character:Stark_asoiaf_98,history.cpp:644 Referencing non-existent character in script link character:Stark_asoiaf_98
1,0,-1,History / title / faith reference error,,11111,history.cpp:644,Referencing non-existent character in script link character:Stark_asoiaf_99,history.cpp:644 Referencing non-existent character in script link character:Stark_asoiaf_99
1,0,-1,History / title / faith reference error,,11180,history.cpp:644,Referencing non-existent character in script link character:Strong_asoiaf_32,history.cpp:644 Referencing non-existent character in script link character:Strong_asoiaf_32
1,0,-1,History / title / faith reference error,,11181,history.cpp:644,Referencing non-existent character in script link character:Strong_asoiaf_33,history.cpp:644 Referencing non-existent character in script link character:Strong_asoiaf_33
1,0,-1,History / title / faith reference error,,11158,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_108,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_108
1,0,-1,History / title / faith reference error,,11159,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_109,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_109
1,0,-1,History / title / faith reference error,,11160,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_112,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_112
1,0,-1,History / title / faith reference error,,11161,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_113,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_113
1,0,-1,History / title / faith reference error,,11162,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_114,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_114
1,0,-1,History / title / faith reference error,,11163,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_115,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_115
1,0,-1,History / title / faith reference error,,11164,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_116,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_116
1,0,-1,History / title / faith reference error,,11165,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_117,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_117
1,0,-1,History / title / faith reference error,,11166,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_121,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_121
1,0,-1,History / title / faith reference error,,11167,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_123,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_123
1,0,-1,History / title / faith reference error,,11168,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_124,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_124
1,0,-1,History / title / faith reference error,,11169,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_125,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_125
1,0,-1,History / title / faith reference error,,11145,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_131,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_131
1,0,-1,History / title / faith reference error,,11152,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_132,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_132
1,0,-1,History / title / faith reference error,,11153,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_133,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_133
1,0,-1,History / title / faith reference error,,11151,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_134,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_134
1,0,-1,History / title / faith reference error,,11156,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_135,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_135
1,0,-1,History / title / faith reference error,,11121,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_30,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_30
1,0,-1,History / title / faith reference error,,11122,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_31,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_31
1,0,-1,History / title / faith reference error,,11123,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_32,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_32
1,0,-1,History / title / faith reference error,,11124,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_33,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_33
1,0,-1,History / title / faith reference error,,11125,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_34,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_34
1,0,-1,History / title / faith reference error,,11126,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_37,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_37
1,0,-1,History / title / faith reference error,,11127,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_38,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_38
1,0,-1,History / title / faith reference error,,11129,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_39,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_39
1,0,-1,History / title / faith reference error,,11170,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_4,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_4
1,0,-1,History / title / faith reference error,,11128,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_40,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_40
1,0,-1,History / title / faith reference error,,11130,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_41,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_41
1,0,-1,History / title / faith reference error,,11131,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_42,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_42
1,0,-1,History / title / faith reference error,,11132,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_43,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_43
1,0,-1,History / title / faith reference error,,11133,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_44,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_44
1,0,-1,History / title / faith reference error,,11134,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_49,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_49
1,0,-1,History / title / faith reference error,,11171,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_5,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_5
1,0,-1,History / title / faith reference error,,11135,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_52,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_52
1,0,-1,History / title / faith reference error,,11136,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_53,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_53
1,0,-1,History / title / faith reference error,,11137,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_54,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_54
1,0,-1,History / title / faith reference error,,11138,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_55,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_55
1,0,-1,History / title / faith reference error,,11139,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_55_1,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_55_1
1,0,-1,History / title / faith reference error,,11140,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_56,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_56
1,0,-1,History / title / faith reference error,,11141,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_57,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_57
1,0,-1,History / title / faith reference error,,11142,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_58,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_58
1,0,-1,History / title / faith reference error,,11172,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_6,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_6
1,0,-1,History / title / faith reference error,,11147,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_61_1,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_61_1
1,0,-1,History / title / faith reference error,,11144,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_62,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_62
1,0,-1,History / title / faith reference error,,11146,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_64,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_64
1,0,-1,History / title / faith reference error,,11173,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_7,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_7
1,0,-1,History / title / faith reference error,,11148,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_80,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_80
1,0,-1,History / title / faith reference error,,11149,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_88,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_88
1,0,-1,History / title / faith reference error,,11150,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_91,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_91
1,0,-1,History / title / faith reference error,,11154,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_92,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_92
1,0,-1,History / title / faith reference error,,11155,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_93,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_93
1,0,-1,History / title / faith reference error,,11157,history.cpp:644,Referencing non-existent character in script link character:Targaryen_asoiaf_94,history.cpp:644 Referencing non-existent character in script link character:Targaryen_asoiaf_94
1,0,-1,History / title / faith reference error,,11177,history.cpp:644,Referencing non-existent character in script link character:Tully_asoiaf_2,history.cpp:644 Referencing non-existent character in script link character:Tully_asoiaf_2
1,0,-1,History / title / faith reference error,,11178,history.cpp:644,Referencing non-existent character in script link character:Tully_asoiaf_3,history.cpp:644 Referencing non-existent character in script link character:Tully_asoiaf_3
1,0,-1,History / title / faith reference error,,11179,history.cpp:644,Referencing non-existent character in script link character:Tully_asoiaf_8,history.cpp:644 Referencing non-existent character in script link character:Tully_asoiaf_8
1,0,-1,History / title / faith reference error,,11118,history.cpp:644,Referencing non-existent character in script link character:Tyrell_asoiaf_10,history.cpp:644 Referencing non-existent character in script link character:Tyrell_asoiaf_10
1,0,-1,History / title / faith reference error,,11117,history.cpp:644,Referencing non-existent character in script link character:Tyrell_asoiaf_9,history.cpp:644 Referencing non-existent character in script link character:Tyrell_asoiaf_9
2,0,-2,Script / database error,,11008,jomini_effect.cpp:1161,Variable 'asoiaf_canon_children_Targaryen_100_born_variable' is used but is never set. Setting it in an unused scripted trigger or effect does not count,jomini_effect.cpp:1161 Variable 'asoiaf_canon_children_Targaryen_100_born_variable' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,Script / database error,,11015,jomini_effect.cpp:1161,Variable 'asoiaf_canon_children_Targaryen_101_born_variable' is used but is never set. Setting it in an unused scripted trigger or effect does not count,jomini_effect.cpp:1161 Variable 'asoiaf_canon_children_Targaryen_101_born_variable' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,Script / database error,,11006,jomini_effect.cpp:1161,Variable 'asoiaf_canon_children_Targaryen_98_born_variable' is used but is never set. Setting it in an unused scripted trigger or effect does not count,jomini_effect.cpp:1161 Variable 'asoiaf_canon_children_Targaryen_98_born_variable' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,Script / database error,,11029,jomini_effect.cpp:1161,Variable 'asoiaf_canon_children_Targaryen_99_born_variable' is used but is never set. Setting it in an unused scripted trigger or effect does not count,jomini_effect.cpp:1161 Variable 'asoiaf_canon_children_Targaryen_99_born_variable' is used but is never set. Setting it in an unused scripted trigger or effect does not count
1,0,-1,Script / database error,AGOT+,10984,jomini_effect.cpp:139,PostValidate of effect 'add_trait' returned false at file: history/characters/asoiaf_char_stormlands.txt line: 152,jomini_effect.cpp:139 PostValidate of effect 'add_trait' returned false at file: history/characters/asoiaf_char_stormlands.txt line: *
