Group,BeforeLogLine,Component,Message,PresentBefore,AfterCount
Stage7_history,10878,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: Forrester_asoiaf_1: Forrester_asoiaf_1, near line: 5190"" in file: ""history/characters/asoiaf_char_dummies.txt"" near line: 5190",True,0
Stage7_history,10879,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: birth, near line: 6606"" in file: ""history/characters/asoiaf_char_dummies.txt"" near line: 6606",True,0
Stage7_history,10880,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: effect, near line: 6607"" in file: ""history/characters/asoiaf_char_dummies.txt"" near line: 6607",True,0
Stage7_history,10881,history.cpp:1014,No birth date for character at: file: history/characters/asoiaf_char_dummies.txt line: 6597,True,0
Stage7_history,10882,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: none: none, near line: 6647"" in file: ""history/characters/asoiaf_char_dummies.txt"" near line: 6647",True,0
Stage7_history,10883,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: Baratheon_asoiaf_baby: Baratheon_asoiaf_baby, near line: 7"" in file: ""history/characters/asoiaf_char_stormlands.txt"" near line: 7",True,0
Stage7_history,10884,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: asoiaf_Toth_1: asoiaf_Toth_1, near line: 54"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 54",True,0
Stage7_history,10885,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: asoiaf_Toth_rs_1: asoiaf_Toth_rs_1, near line: 84"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 84",True,0
Stage7_history,10886,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: asoiaf_Erik_father: asoiaf_Erik_father, near line: 185"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 185",True,0
Stage7_history,10887,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: asoiaf_Erik_mother: asoiaf_Erik_mother, near line: 215"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 215",True,0
Stage7_history,10888,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: asoiaf_Henry_mother: asoiaf_Henry_mother, near line: 299"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 299",True,0
Stage7_history,10889,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: asoiaf_Martin: asoiaf_Martin, near line: 347"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 347",True,0
Stage7_history,10890,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: asoiaf_Kobyla_1: asoiaf_Kobyla_1, near line: 398"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 398",True,0
Stage7_history,10891,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: asoiaf_Ronov_1: asoiaf_Ronov_1, near line: 522"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 522",True,0
Stage7_history,10892,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: asoiaf_Ronov_rs_1: asoiaf_Ronov_rs_1, near line: 556"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 556",True,0
Stage7_history,10893,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: asoiaf_Ronov_2: asoiaf_Ronov_2, near line: 583"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 583",True,0
Stage7_history,10894,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: asoiaf_Ronov_rs_2: asoiaf_Ronov_rs_2, near line: 626"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 626",True,0
Stage7_history,10895,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: asoiaf_Ronov_3: asoiaf_Ronov_3, near line: 653"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 653",True,0
Stage7_history,10896,pdx_persistent_reader.cpp:216,"Error: ""Failed to read key reference: asoiaf_Ronov_rs_3: asoiaf_Ronov_rs_3, near line: 696"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 696",True,0
