Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
10947,07:00:50,history.cpp:644,Referencing non-existent character in script link character:Gardener_75,History / title / faith reference error,,,,,
10948,07:00:50,history.cpp:644,Referencing non-existent character in script link character:Gardener_75,History / title / faith reference error,,,,,
10949,07:00:50,history.cpp:644,Referencing non-existent character in script link character:Dormund_1,History / title / faith reference error,,,,,
10950,07:00:50,history.cpp:644,Referencing non-existent character in script link character:Dormund_1,History / title / faith reference error,,,,,
10951,07:00:50,history.cpp:644,Referencing non-existent character in script link character:Broome_rs_54,History / title / faith reference error,,,,,
10952,07:00:50,history.cpp:644,Referencing non-existent character in script link character:Dormund_1,History / title / faith reference error,,,,,
10953,07:00:50,history.cpp:644,Referencing non-existent character in script link character:Dormund_1,History / title / faith reference error,,,,,
10954,07:00:50,history.cpp:644,Referencing non-existent character in script link character:Hotah_rs_2,History / title / faith reference error,,,,,
10955,07:00:50,history.cpp:644,Referencing non-existent character in script link character:Hotah_rs_2,History / title / faith reference error,,,,,
10956,07:00:50,history.cpp:644,Referencing non-existent character in script link character:asoiaf_Targaryen_61_1,History / title / faith reference error,,,,,
10957,07:00:50,history.cpp:644,Referencing non-existent character in script link character:asoiaf_Targaryen_61_1,History / title / faith reference error,,,,,
10958,07:00:50,history.cpp:644,Referencing non-existent character in script link character:Targaryen_61_1,History / title / faith reference error,,,,,
10959,07:00:50,history.cpp:644,Referencing non-existent character in script link character:Targaryen_61_1,History / title / faith reference error,,,,,
10960,07:00:50,history.cpp:644,Referencing non-existent character in script link character:Targaryen_61_1,History / title / faith reference error,,,,,
10961,07:00:50,history.cpp:644,Referencing non-existent character in script link character:Targaryen_61_1,History / title / faith reference error,,,,,
