"Key","Order","Mod","Path","File","Line","Value","TrailingText","Repository"
"artifact_vs_sword_1_name","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","2","Меч из валирийской стали","","False"
"artifact_vs_sword_1_name","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","3","Меч из валирийской стали","","False"
"artifact_vs_sword_1_description","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","3","Этот меч был обнаружен во время путешествия в Старую Валирию, древнюю землю, которой когда-то правили валирийцы. Меч, найденный в Старой Валирии, - редкий артефакт, свидетельство мастерства и искусности давно ушедшей эпохи. Это одна из немногих оставшихся реликвий того времени, когда магия и технология были взаимосвязаны, а знания о его создании были утеряны в веках. Это был либо удар удачи, либо судьба, благодаря которой частица древней валирийской истории дошла до наших дней.","","False"
"artifact_vs_sword_1_description","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","4","Этот меч был найден во время плавания в Старую Валирию — землю Четырнадцати Огней, где некогда правили драконьи владыки. Сам клинок — редкий артефакт и подлинное свидетельство мастерства, исчезнувшего вместе с Валирийским фригольдом. В нём ещё чувствуется эпоха, когда магия и ремесло сплетались воедино, хотя тайна ковки таких клинков давно утрачена. Случайность ли это или воля судьбы, но в мир вернулась частица Валирии, пережившая Рок.","","False"
"artifact_vs_sword_2_name","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","5","Меч из валирийской стали","","False"
"artifact_vs_sword_2_name","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","6","Меч из валирийской стали","","False"
"artifact_vs_sword_2_description","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","6","Этот меч был обнаружен во время путешествия в Старую Валирию, древнюю землю, которой когда-то правили валирийцы. Меч, найденный в Старой Валирии, - редкий артефакт, свидетельство мастерства и искусности давно ушедшей эпохи. Это одна из немногих оставшихся реликвий того времени, когда магия и технология были взаимосвязаны, а знания о его создании были утеряны в веках. Это был либо удар удачи, либо судьба, благодаря которой частица древней валирийской истории дошла до наших дней.","","False"
"artifact_vs_sword_2_description","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","7","Этот меч был найден во время плавания в Старую Валирию — землю Четырнадцати Огней, где некогда правили драконьи владыки. Сам клинок — редкий артефакт и подлинное свидетельство мастерства, исчезнувшего вместе с Валирийским фригольдом. В нём ещё чувствуется эпоха, когда магия и ремесло сплетались воедино, хотя тайна ковки таких клинков давно утрачена. Случайность ли это или воля судьбы, но в мир вернулась частица Валирии, пережившая Рок.","","False"
"artifact_vs_sword_3_name","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","8","Меч из валирийской стали","","False"
"artifact_vs_sword_3_name","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","9","Меч из валирийской стали","","False"
"artifact_vs_sword_3_description","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","9","Этот меч был обнаружен во время путешествия в Старую Валирию, древнюю землю, которой когда-то правили валирийцы. Меч, найденный в Старой Валирии, - редкий артефакт, свидетельство мастерства и искусности давно ушедшей эпохи. Это одна из немногих оставшихся реликвий того времени, когда магия и технология были взаимосвязаны, а знания о его создании были утеряны в веках. Это был либо удар удачи, либо судьба, благодаря которой частица древней валирийской истории дошла до наших дней.","","False"
"artifact_vs_sword_3_description","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","10","Этот меч был найден во время плавания в Старую Валирию — землю Четырнадцати Огней, где некогда правили драконьи владыки. Сам клинок — редкий артефакт и подлинное свидетельство мастерства, исчезнувшего вместе с Валирийским фригольдом. В нём ещё чувствуется эпоха, когда магия и ремесло сплетались воедино, хотя тайна ковки таких клинков давно утрачена. Случайность ли это или воля судьбы, но в мир вернулась частица Валирии, пережившая Рок.","","False"
"artifact_vs_sword_4_name","6","Valyrian Steel","E:\SteamLibrary\steamapps\workshop\content\1158310\2962713441\localization\russian\artifacts\targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","11","Меч из валирийской стали","","False"
"artifact_vs_sword_4_name","21","Valyrian Steel - Русификация","E:\SteamLibrary\steamapps\workshop\content\1158310\3736917258\localization\russian\targ_artifacts_l_russian.yml","localization/russian/targ_artifacts_l_russian.yml","12","Меч из валирийской стали","","False"
