"Line","Time","Component","Message","Category","Owner","Files","Key","FirstFile","SecondFile"
"1","01:56:49","dlc_descriptor.cpp:70","Invalid supported_version in file: mod/ugc_2261468688.mod line: 6","Mod descriptor warning","","","","",""
"2","01:57:01","pdx_localize.cpp:279","Duplicate localization key. Key 'PORTRAIT_MODIFIER_custom_cloaks_female_cloak_asoiaf_nights_watch_cloak_1' is defined in both 'localization/russian/asoiaf_barbershop_l_russian.yml' and 'localization/russian/asoiaf_barbershop_l_russian.yml'.","Identical localization definitions","AGOT+ rus","localization/russian/asoiaf_barbershop_l_russian.yml | localization/russian/asoiaf_barbershop_l_russian.yml","PORTRAIT_MODIFIER_custom_cloaks_female_cloak_asoiaf_nights_watch_cloak_1","localization/russian/asoiaf_barbershop_l_russian.yml","localization/russian/asoiaf_barbershop_l_russian.yml"
"3","01:57:02","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_dragon_laid_clutch_1' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_dragon_laid_clutch_1","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"4","01:57:02","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_laid_clutch_desc_1' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_laid_clutch_desc_1","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"5","01:57:02","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_laid_clutch_desc_second_perspective_1' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_laid_clutch_desc_second_perspective_1","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"6","01:57:02","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_laid_clutch_desc_third_perspective_1' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_laid_clutch_desc_third_perspective_1","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"7","01:57:02","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_dragon_laid_clutch_2' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_dragon_laid_clutch_2","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"8","01:57:02","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_laid_clutch_desc_2' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_laid_clutch_desc_2","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"9","01:57:02","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_laid_clutch_desc_second_perspective_2' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_laid_clutch_desc_second_perspective_2","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"10","01:57:02","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_laid_clutch_desc_third_perspective_2' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_laid_clutch_desc_third_perspective_2","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
