Before,After,Difference,Component,Message
1,0,-1,character_currency_effects_impl.cpp:227,Negative value in remove_short_term_gold: -450. file: events/decisions_events/buy_ruby_crown_events.txt line: 54 (buy_ruby_crown.0999:immediate)
1,0,-1,databases.h:36,Key rf_valyrian not found at Database: common/religion/religion_family_types
1,0,-1,databases.h:36,Key tgp_minister_recruit_courtiers_decision not found at Database: common/decisions
2,0,-2,jomini_effect.cpp:1145,Flag 'highlight_cow_provinces_map' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
2,0,-2,jomini_effect.cpp:1145,Variable 'blackfyre_artifact' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
2,0,-2,jomini_effect.cpp:1145,Variable 'pincer_artifact' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
2,0,-2,jomini_effect.cpp:1145,Variable 'seafoam_artifact' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
2,0,-2,jomini_effect.cpp:1161,Flag 'blackDarkRed' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Flag 'highlight_special_buildings_map' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Flag 'iceFire' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Flag 'roland_crown' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Variable 'blackfyre' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Variable 'crown_aegon_baelor_artifact' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Variable 'darksister' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Variable 'highlight_cow_provinces_map' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Variable 'is_Durrandon_51' is used but is never set. Setting it in an unused scripted trigger or effect does not count
