FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
accessories,1352,02:00:02,portraitaccessories.cpp:159,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_captainsPants_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1353,02:00:02,portraitaccessories.cpp:159,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_standardPants_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1354,02:00:02,portraitaccessories.cpp:159,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_twoSwordsPants_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1355,02:00:02,portraitaccessories.cpp:159,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_captainsPants_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1356,02:00:02,portraitaccessories.cpp:159,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_standardPants_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1357,02:00:02,portraitaccessories.cpp:159,"accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_twoSwordsPants_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1358,02:00:02,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_01""",Graphics / portrait source error,,,,,
accessories,1359,02:00:02,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1360,02:00:02,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_02""",Graphics / portrait source error,,,,,
accessories,1361,02:00:02,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_02""",Graphics / portrait source error,,,,,
accessories,1362,02:00:02,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_03""",Graphics / portrait source error,,,,,
accessories,1363,02:00:02,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_03""",Graphics / portrait source error,,,,,
accessories,1364,02:00:02,portraitaccessories.cpp:159,"accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_01""",Graphics / portrait source error,,,,,
