FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
descriptor,1,01:56:49,dlc_descriptor.cpp:70,Invalid supported_version in file: mod/ugc_2261468688.mod line: 6,Mod descriptor warning,,,,,
texture_duplicates,1192,01:59:06,pdxassetutil.cpp:1009,"Duplicate texture 'ep3_patras_castle_01_a_unique.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_01_a_unique.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds')",Graphics / portrait source error,CK3 | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds | gfx/models/buildings/special/high_hermitage/ep3_patras_castle_01_a_unique.dds,,,
texture_duplicates,1193,01:59:06,pdxassetutil.cpp:1009,"Duplicate texture 'ep3_patras_castle_ground_diffuse.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_diffuse.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds')",Graphics / portrait source error,CK3 | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds | gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_diffuse.dds,,,
texture_duplicates,1194,01:59:06,pdxassetutil.cpp:1009,"Duplicate texture 'ep3_patras_castle_ground_normal.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_normal.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds')",Graphics / portrait source error,CK3 | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds | gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_normal.dds,,,
texture_duplicates,1195,01:59:06,pdxassetutil.cpp:1009,"Duplicate texture 'ep3_patras_castle_ground_properties.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_properties.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds')",Graphics / portrait source error,CK3 | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds | gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_properties.dds,,,
texture_duplicates,1196,01:59:06,pdxassetutil.cpp:1009,"Duplicate texture 'ethiopian_atlas_diffuse.dds' found (current path 'gfx/models/buildings/special/Karhold/ethiopian_atlas_diffuse.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds')",Graphics / portrait source error,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds | gfx/models/buildings/special/Karhold/ethiopian_atlas_diffuse.dds,,,
texture_duplicates,1197,01:59:06,pdxassetutil.cpp:1009,"Duplicate texture 'ethiopian_atlas_diffuse.dds' found (current path 'gfx/models/buildings/special/Runestone/ethiopian_atlas_diffuse.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds')",Graphics / portrait source error,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds | gfx/models/buildings/special/Runestone/ethiopian_atlas_diffuse.dds,,,
texture_duplicates,1198,01:59:06,pdxassetutil.cpp:1009,"Duplicate texture 'ethiopian_atlas_normal.dds' found (current path 'gfx/models/buildings/special/Karhold/ethiopian_atlas_normal.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds')",Graphics / portrait source error,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds | gfx/models/buildings/special/Karhold/ethiopian_atlas_normal.dds,,,
texture_duplicates,1199,01:59:06,pdxassetutil.cpp:1009,"Duplicate texture 'ethiopian_atlas_normal.dds' found (current path 'gfx/models/buildings/special/Runestone/ethiopian_atlas_normal.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds')",Graphics / portrait source error,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds | gfx/models/buildings/special/Runestone/ethiopian_atlas_normal.dds,,,
texture_duplicates,1200,01:59:06,pdxassetutil.cpp:1009,"Duplicate texture 'ethiopian_atlas_properties.dds' found (current path 'gfx/models/buildings/special/Karhold/ethiopian_atlas_properties.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_properties.dds')",Graphics / portrait source error,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_properties.dds | gfx/models/buildings/special/Karhold/ethiopian_atlas_properties.dds,,,
texture_duplicates,1201,01:59:06,pdxassetutil.cpp:1009,"Duplicate texture 'ethiopian_atlas_properties.dds' found (current path 'gfx/models/buildings/special/Runestone/ethiopian_atlas_properties.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_properties.dds')",Graphics / portrait source error,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_properties.dds | gfx/models/buildings/special/Runestone/ethiopian_atlas_properties.dds,,,
mesh_uv,1202,01:59:09,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'crag_crenelation' in file 'gfx/models/buildings/special/crag/crag.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag.mesh,,,
mesh_uv,1203,01:59:09,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'gold_ball' in file 'gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh,,,
mesh_uv,1204,01:59:09,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'crag_stone_ground' in file 'gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh,,,
mesh_settings,1205,01:59:09,pdxassetutil.cpp:1763,pdxmesh [cow_blackhaven_mesh] is out of sync with its meshsettings. [blackhaven_rockShape] is not in use in file: gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh,,,
mesh_settings,1206,01:59:09,pdxassetutil.cpp:1763,pdxmesh [crag_mesh] is out of sync with its meshsettings. [lannisport_dgShape] is not in use in file: gfx/models/buildings/special/crag/crag.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag.mesh,,,
mesh_settings,1207,01:59:09,pdxassetutil.cpp:1763,pdxmesh [crag_mesh] is out of sync with its meshsettings. [lannisport_lkShape] is not in use in file: gfx/models/buildings/special/crag/crag.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag.mesh,,,
mesh_settings,1208,01:59:09,pdxassetutil.cpp:1763,pdxmesh [crag_mesh] is out of sync with its meshsettings. [lannisport_lpShape] is not in use in file: gfx/models/buildings/special/crag/crag.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag.mesh,,,
mesh_settings,1209,01:59:10,pdxassetutil.cpp:1763,pdxmesh [building_special_lonely_light_04] is out of sync with its meshsettings. [dock_tower_wood] is not in use in file: gfx/models/buildings/special/Lonely Light/building_special_lonely_light_04.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/Lonely Light/building_special_lonely_light_04.mesh,,,
mesh_settings,1210,01:59:11,pdxassetutil.cpp:1763,pdxmesh [starpike_mesh] is out of sync with its meshsettings. [starpike_ground] is not in use in file: gfx/models/buildings/special/starpike/starpike.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/starpike/starpike.mesh,,,
mesh_settings,1211,01:59:11,pdxassetutil.cpp:1763,pdxmesh [starpike_mesh] is out of sync with its meshsettings. [starpike_lower] is not in use in file: gfx/models/buildings/special/starpike/starpike.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/starpike/starpike.mesh,,,
mesh_settings,1212,01:59:12,pdxassetutil.cpp:1763,pdxmesh [high_hermitage_mesh] is out of sync with its meshsettings. [ep3_basilica_sant_apollinare_nuovo_decalShape] is not in use in file: gfx/models/buildings/special/high_hermitage/high_hermitage.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/high_hermitage/high_hermitage.mesh,,,
mesh_uv,1213,01:59:12,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'pole_town' in file 'gfx/models/buildings/special/planky town/planky_town.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/planky town/planky_town.mesh,,,
mesh_uv,1214,01:59:13,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'rooksrest_stone_ground' in file 'gfx/models/buildings/special/rooksrest/rooksrest.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/rooksrest/rooksrest.mesh,,,
mesh_uv,1215,01:59:13,pdxassetutil.cpp:556,UV-Set: 0 in mesh 'lift' in file 'gfx/models/buildings/special/castamere/24castamere_3.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/castamere/24castamere_3.mesh,,,
textures,1216,01:59:13,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_properties.dds',Graphics / portrait source error,,,,,
textures,1217,01:59:13,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds,,,
textures,1218,01:59:13,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_normal.dds',Graphics / portrait source error,,,,,
textures,1219,01:59:13,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds,,,
mesh_uv,1220,01:59:13,pdxassetutil.cpp:556,UV-Set: 0 in mesh 'pallet' in file 'gfx/models/buildings/special/castamere/24castamere_3.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/castamere/24castamere_3.mesh,,,
textures,1221,01:59:13,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_properties.dds',Graphics / portrait source error,,,,,
textures,1222,01:59:13,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds,,,
textures,1223,01:59:13,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_normal.dds',Graphics / portrait source error,,,,,
textures,1224,01:59:13,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds,,,
mesh_uv,1225,01:59:14,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'ashemark_stone_ground' in file 'gfx/models/buildings/special/ashemark/ashemark.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/ashemark/ashemark.mesh,,,
mesh_settings,1226,01:59:14,pdxassetutil.cpp:1763,pdxmesh [building_palestone_sword_01_mesh] is out of sync with its meshsettings. [casterlyrock_rockShape] is not in use in file: gfx/models/buildings/special/palestone_sword/building_palestone_sword_01.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/palestone_sword/building_palestone_sword_01.mesh,,,
mesh_uv,1227,01:59:14,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'lannisport_dgShape' in file 'gfx/models/buildings/special/fanghill/fanghill.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/fanghill/fanghill.mesh,,,
mesh_uv,1228,01:59:15,pdxassetutil.cpp:556,UV-Set: 0 in mesh 'lift' in file 'gfx/models/buildings/special/castamere/24castamere_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/castamere/24castamere_2.mesh,,,
textures,1229,01:59:15,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_properties.dds',Graphics / portrait source error,,,,,
textures,1230,01:59:15,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds,,,
textures,1231,01:59:15,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_normal.dds',Graphics / portrait source error,,,,,
textures,1232,01:59:15,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds,,,
mesh_uv,1233,01:59:15,pdxassetutil.cpp:556,UV-Set: 0 in mesh 'pallet' in file 'gfx/models/buildings/special/castamere/24castamere_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/castamere/24castamere_2.mesh,,,
textures,1234,01:59:15,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_properties.dds',Graphics / portrait source error,,,,,
textures,1235,01:59:15,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds,,,
textures,1236,01:59:15,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_normal.dds',Graphics / portrait source error,,,,,
textures,1237,01:59:15,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds,,,
mesh_uv,1238,01:59:15,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'crag_upper' in file 'gfx/models/buildings/special/crag/crag_level_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag_level_2.mesh,,,
mesh_uv,1239,01:59:15,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'crag_upper' in file 'gfx/models/buildings/special/crag/crag_level_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag_level_2.mesh,,,
mesh_uv,1240,01:59:15,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'crag_stone_ground' in file 'gfx/models/buildings/special/crag/crag_level_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag_level_2.mesh,,,
mesh_settings,1241,01:59:15,pdxassetutil.cpp:1763,pdxmesh [crag_level_2_mesh] is out of sync with its meshsettings. [lannisport_dgShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_2.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag_level_2.mesh,,,
mesh_settings,1242,01:59:15,pdxassetutil.cpp:1763,pdxmesh [crag_level_2_mesh] is out of sync with its meshsettings. [lannisport_lkShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_2.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag_level_2.mesh,,,
mesh_settings,1243,01:59:15,pdxassetutil.cpp:1763,pdxmesh [crag_level_2_mesh] is out of sync with its meshsettings. [lannisport_lpShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_2.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag_level_2.mesh,,,
mesh_settings,1244,01:59:16,pdxassetutil.cpp:1763,pdxmesh [building_special_sisterton_mesh] is out of sync with its meshsettings. [sisteron_rough_walls] is not in use in file: gfx/models/buildings/special/sisterton/building_special_sisterton.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/sisterton/building_special_sisterton.mesh,,,
