FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
animations,1801,02:00:05,portraitanimations.cpp:110,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_fat' (part 'torso', type 'male')",Graphics / portrait source error,,,,,
animations,1802,02:00:05,portraitanimations.cpp:110,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_dwarf' (part 'torso', type 'male')",Graphics / portrait source error,,,,,
animations,1803,02:00:05,portraitanimations.cpp:110,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_fat_dwarf' (part 'torso', type 'male')",Graphics / portrait source error,,,,,
animations,1804,02:00:05,portraitanimations.cpp:110,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant' (part 'torso', type 'male')",Graphics / portrait source error,,,,,
animations,1805,02:00:05,portraitanimations.cpp:110,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_dwarf' (part 'torso', type 'male')",Graphics / portrait source error,,,,,
animations,1806,02:00:05,portraitanimations.cpp:110,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_fat_dwarf' (part 'torso', type 'male')",Graphics / portrait source error,,,,,
animations,1807,02:00:05,portraitanimations.cpp:110,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_fat' (part 'torso', type 'female')",Graphics / portrait source error,,,,,
animations,1808,02:00:05,portraitanimations.cpp:110,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_dwarf' (part 'torso', type 'female')",Graphics / portrait source error,,,,,
animations,1809,02:00:05,portraitanimations.cpp:110,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_fat_dwarf' (part 'torso', type 'female')",Graphics / portrait source error,,,,,
animations,1810,02:00:05,portraitanimations.cpp:110,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant' (part 'torso', type 'female')",Graphics / portrait source error,,,,,
animations,1811,02:00:05,portraitanimations.cpp:110,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_dwarf' (part 'torso', type 'female')",Graphics / portrait source error,,,,,
