Category,Label,Before,After,Change,DistinctMessages
scripts,"Скрипты, параметры и проверка данных",192,121,-71,119
read_not_set,"Переменные/флаги используются, установка не найдена",50,26,-24,13
set_not_read,"Переменные/флаги устанавливаются, использование не найдено",22,14,-8,7
animations,Неизвестные состояния портретных анимаций,48,48,0,48
accessories,Недоступные аксессуары в группах генов,32,32,0,16
entities,Отсутствующие сущности моделей,26,26,0,26
mesh_settings,Несогласованные настройки моделей,40,40,0,40
mesh_uv,UV-развёртки моделей,39,39,0,37
textures,Отсутствующие текстуры и иконки,32,32,0,8
texture_duplicates,Дубли текстур,10,10,0,10
history,Ссылки на персонажей и титулы,9,9,0,8
dna,Повторное поле в DNA закладок,2,2,0,2
localization,Отсутствующие ключи локализации,4,4,0,4
modifiers,Неиспользуемые/некорректные модификаторы,6,6,0,6
orphan_events,События без найденного вызова,2,2,0,2
ai_decision,Период проверки решения ИИ,1,1,0,1
descriptor,Некорректная версия в дескрипторе,1,1,0,1
rule_references,Неизвестные ссылки на игровые правила,2,2,0,2
achievement_assert,Сообщение проверки загрузки достижений,1,1,0,1
encoding,Кодировка скрипта: UTF-8 BOM,0,1,1,1
unclassified,Новые типы сообщений,0,0,0,0
