FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
entities,1309,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""western_walls_05_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1310,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""western_walls_06_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1311,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""western_walls_07_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1312,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""india_walls_05_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1313,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""india_walls_06_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1314,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""india_walls_07_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1315,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1316,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_06_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1317,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_07_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1318,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""fp2_building_iberian_wall_05_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1319,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""fp2_building_iberian_wall_06_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1320,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""fp2_building_iberian_wall_07_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1321,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""walls_05_marrakesh_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1322,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""western_walls_05_paris_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1323,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""western_walls_07_london_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1324,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""western_walls_06_london_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1325,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""western_walls_05_london_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1326,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_thes_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1327,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""mena_walls_05_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1328,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""mena_walls_06_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1329,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""mena_walls_07_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1330,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_genoa_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1331,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_rome_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1332,01:59:43,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_constantinople_entity"" for attachment in",Graphics / portrait source error,,,,,
entities,1333,01:59:44,portraitaccessories.cpp:65,could not find entity [smc_alicent_dress_03_entity] - file: gfx/portraits/accessories/smc_clothing.txt line: 24 (female_clothes_smc_alicent_dress_03),Graphics / portrait source error,AGOT Submod Core,gfx/portraits/accessories/smc_clothing.txt,,,
entities,1334,01:59:44,portraitaccessories.cpp:65,could not find entity [smc_alicent_dress_04_entity] - file: gfx/portraits/accessories/smc_clothing.txt line: 28 (female_clothes_smc_alicent_dress_04),Graphics / portrait source error,AGOT Submod Core,gfx/portraits/accessories/smc_clothing.txt,,,
