FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
mesh_settings,1205,01:59:09,pdxassetutil.cpp:1763,pdxmesh [cow_blackhaven_mesh] is out of sync with its meshsettings. [blackhaven_rockShape] is not in use in file: gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh,,,
mesh_settings,1206,01:59:09,pdxassetutil.cpp:1763,pdxmesh [crag_mesh] is out of sync with its meshsettings. [lannisport_dgShape] is not in use in file: gfx/models/buildings/special/crag/crag.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag.mesh,,,
mesh_settings,1207,01:59:09,pdxassetutil.cpp:1763,pdxmesh [crag_mesh] is out of sync with its meshsettings. [lannisport_lkShape] is not in use in file: gfx/models/buildings/special/crag/crag.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag.mesh,,,
mesh_settings,1208,01:59:09,pdxassetutil.cpp:1763,pdxmesh [crag_mesh] is out of sync with its meshsettings. [lannisport_lpShape] is not in use in file: gfx/models/buildings/special/crag/crag.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag.mesh,,,
mesh_settings,1209,01:59:10,pdxassetutil.cpp:1763,pdxmesh [building_special_lonely_light_04] is out of sync with its meshsettings. [dock_tower_wood] is not in use in file: gfx/models/buildings/special/Lonely Light/building_special_lonely_light_04.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/Lonely Light/building_special_lonely_light_04.mesh,,,
mesh_settings,1210,01:59:11,pdxassetutil.cpp:1763,pdxmesh [starpike_mesh] is out of sync with its meshsettings. [starpike_ground] is not in use in file: gfx/models/buildings/special/starpike/starpike.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/starpike/starpike.mesh,,,
mesh_settings,1211,01:59:11,pdxassetutil.cpp:1763,pdxmesh [starpike_mesh] is out of sync with its meshsettings. [starpike_lower] is not in use in file: gfx/models/buildings/special/starpike/starpike.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/starpike/starpike.mesh,,,
mesh_settings,1212,01:59:12,pdxassetutil.cpp:1763,pdxmesh [high_hermitage_mesh] is out of sync with its meshsettings. [ep3_basilica_sant_apollinare_nuovo_decalShape] is not in use in file: gfx/models/buildings/special/high_hermitage/high_hermitage.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/high_hermitage/high_hermitage.mesh,,,
mesh_settings,1226,01:59:14,pdxassetutil.cpp:1763,pdxmesh [building_palestone_sword_01_mesh] is out of sync with its meshsettings. [casterlyrock_rockShape] is not in use in file: gfx/models/buildings/special/palestone_sword/building_palestone_sword_01.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/palestone_sword/building_palestone_sword_01.mesh,,,
mesh_settings,1241,01:59:15,pdxassetutil.cpp:1763,pdxmesh [crag_level_2_mesh] is out of sync with its meshsettings. [lannisport_dgShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_2.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag_level_2.mesh,,,
mesh_settings,1242,01:59:15,pdxassetutil.cpp:1763,pdxmesh [crag_level_2_mesh] is out of sync with its meshsettings. [lannisport_lkShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_2.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag_level_2.mesh,,,
mesh_settings,1243,01:59:15,pdxassetutil.cpp:1763,pdxmesh [crag_level_2_mesh] is out of sync with its meshsettings. [lannisport_lpShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_2.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag_level_2.mesh,,,
mesh_settings,1244,01:59:16,pdxassetutil.cpp:1763,pdxmesh [building_special_sisterton_mesh] is out of sync with its meshsettings. [sisteron_rough_walls] is not in use in file: gfx/models/buildings/special/sisterton/building_special_sisterton.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/sisterton/building_special_sisterton.mesh,,,
mesh_settings,1249,01:59:16,pdxassetutil.cpp:1763,pdxmesh [lordsport_mesh] is out of sync with its meshsettings. [iron] is not in use in file: gfx/models/buildings/special/lordsport/lordsport.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/lordsport/lordsport.mesh,,,
mesh_settings,1250,01:59:16,pdxassetutil.cpp:1763,pdxmesh [lordsport_mesh] is out of sync with its meshsettings. [lordsport_stone_ground] is not in use in file: gfx/models/buildings/special/lordsport/lordsport.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/lordsport/lordsport.mesh,,,
mesh_settings,1251,01:59:17,pdxassetutil.cpp:1763,pdxmesh [building_special_yronwood_mesh] is out of sync with its meshsettings. [fp2_building_special_alhambra_01_palm_treeShape] is not in use in file: gfx/models/buildings/special/yronwood/building_special_yronwood.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/yronwood/building_special_yronwood.mesh,,,
mesh_settings,1255,01:59:18,pdxassetutil.cpp:1763,pdxmesh [building_special_evenfall_mesh] is out of sync with its meshsettings. [building_special_evenfall_4Shape] is not in use in file: gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh,,,
mesh_settings,1256,01:59:18,pdxassetutil.cpp:1763,pdxmesh [building_special_evenfall_mesh] is out of sync with its meshsettings. [building_special_evenfall_cellsShape] is not in use in file: gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh,,,
mesh_settings,1257,01:59:18,pdxassetutil.cpp:1763,pdxmesh [building_special_evenfall_mesh] is out of sync with its meshsettings. [fp4_legendary_western_palace_01_aShape] is not in use in file: gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh,,,
mesh_settings,1260,01:59:18,pdxassetutil.cpp:1763,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [City] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,,,
mesh_settings,1261,01:59:18,pdxassetutil.cpp:1763,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [building_western_castle_0Shape4] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,,,
mesh_settings,1262,01:59:18,pdxassetutil.cpp:1763,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [western_walls_04_a1Shape] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,,,
mesh_settings,1263,01:59:18,pdxassetutil.cpp:1763,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [western_walls_04_a1Shape1] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,,,
mesh_settings,1264,01:59:18,pdxassetutil.cpp:1763,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [western_walls_04_a1Shape2] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,,,
mesh_settings,1265,01:59:18,pdxassetutil.cpp:1763,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [western_walls_04_a1Shape3] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,,,
mesh_settings,1266,01:59:18,pdxassetutil.cpp:1763,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [pallet] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,,,
mesh_settings,1267,01:59:18,pdxassetutil.cpp:1763,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [lift] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,,,
mesh_settings,1268,01:59:18,pdxassetutil.cpp:1763,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [hillfort_01] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,,,
mesh_settings,1269,01:59:18,pdxassetutil.cpp:1763,pdxmesh [building_seagard_01_mesh] is out of sync with its meshsettings. [building_special_stormsend_castle_cliffsShape] is not in use in file: gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/seagaurd/building_seagard_01.mesh,,,
mesh_settings,1290,01:59:19,pdxassetutil.cpp:1763,pdxmesh [crag_level_1_mesh] is out of sync with its meshsettings. [lannisport_dgShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_1.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag_level_1.mesh,,,
mesh_settings,1291,01:59:19,pdxassetutil.cpp:1763,pdxmesh [crag_level_1_mesh] is out of sync with its meshsettings. [lannisport_lkShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_1.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag_level_1.mesh,,,
mesh_settings,1292,01:59:19,pdxassetutil.cpp:1763,pdxmesh [crag_level_1_mesh] is out of sync with its meshsettings. [lannisport_lpShape] is not in use in file: gfx/models/buildings/special/crag/crag_level_1.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag_level_1.mesh,,,
mesh_settings,1293,01:59:20,pdxassetutil.cpp:1763,pdxmesh [building_special_duskendale_mesh] is out of sync with its meshsettings. [farm_mediterranean] is not in use in file: gfx/models/buildings/special/duskendale/building_special_duskendale.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/duskendale/building_special_duskendale.mesh,,,
mesh_settings,1294,01:59:20,pdxassetutil.cpp:1763,pdxmesh [building_special_duskendale_mesh] is out of sync with its meshsettings. [farm_mediterranean_vines] is not in use in file: gfx/models/buildings/special/duskendale/building_special_duskendale.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/duskendale/building_special_duskendale.mesh,,,
mesh_settings,1295,01:59:20,pdxassetutil.cpp:1763,pdxmesh [building_special_duskendale_mesh] is out of sync with its meshsettings. [farm_mediterranean_decal] is not in use in file: gfx/models/buildings/special/duskendale/building_special_duskendale.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/duskendale/building_special_duskendale.mesh,,,
mesh_settings,1296,01:59:20,pdxassetutil.cpp:1763,pdxmesh [building_special_duskendale_mesh] is out of sync with its meshsettings. [building_mediterranean_city_02] is not in use in file: gfx/models/buildings/special/duskendale/building_special_duskendale.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/duskendale/building_special_duskendale.mesh,,,
mesh_settings,1298,01:59:21,pdxassetutil.cpp:1763,pdxmesh [whitegrove_mesh] is out of sync with its meshsettings. [whitegrove_roof] is not in use in file: gfx/models/buildings/special/whitegrove/whitegrove.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/whitegrove/whitegrove.mesh,,,
mesh_settings,1299,01:59:21,pdxassetutil.cpp:1763,pdxmesh [whitegrove_mesh] is out of sync with its meshsettings. [whitegrove_upper] is not in use in file: gfx/models/buildings/special/whitegrove/whitegrove.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/whitegrove/whitegrove.mesh,,,
mesh_settings,1300,01:59:21,pdxassetutil.cpp:1763,pdxmesh [whitegrove_mesh] is out of sync with its meshsettings. [whitegrove_stone_ground] is not in use in file: gfx/models/buildings/special/whitegrove/whitegrove.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/whitegrove/whitegrove.mesh,,,
mesh_settings,1301,01:59:21,pdxassetutil.cpp:1763,pdxmesh [whitegrove_mesh] is out of sync with its meshsettings. [whitegrove_windows] is not in use in file: gfx/models/buildings/special/whitegrove/whitegrove.mesh,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/whitegrove/whitegrove.mesh,,,
