FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
mesh_uv,1202,01:59:09,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'crag_crenelation' in file 'gfx/models/buildings/special/crag/crag.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/crag/crag.mesh,,,
mesh_uv,1203,01:59:09,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'gold_ball' in file 'gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh,,,
mesh_uv,1204,01:59:09,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'crag_stone_ground' in file 'gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh,,,
mesh_uv,1213,01:59:12,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'pole_town' in file 'gfx/models/buildings/special/planky town/planky_town.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/planky town/planky_town.mesh,,,
mesh_uv,1214,01:59:13,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'rooksrest_stone_ground' in file 'gfx/models/buildings/special/rooksrest/rooksrest.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/rooksrest/rooksrest.mesh,,,
mesh_uv,1215,01:59:13,pdxassetutil.cpp:556,UV-Set: 0 in mesh 'lift' in file 'gfx/models/buildings/special/castamere/24castamere_3.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/castamere/24castamere_3.mesh,,,
mesh_uv,1220,01:59:13,pdxassetutil.cpp:556,UV-Set: 0 in mesh 'pallet' in file 'gfx/models/buildings/special/castamere/24castamere_3.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/castamere/24castamere_3.mesh,,,
mesh_uv,1225,01:59:14,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'ashemark_stone_ground' in file 'gfx/models/buildings/special/ashemark/ashemark.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/ashemark/ashemark.mesh,,,
mesh_uv,1227,01:59:14,pdxassetutil.cpp:556,UV-Set: 1 in mesh 'lannisport_dgShape' in file 'gfx/models/buildings/special/fanghill/fanghill.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/fanghill/fanghill.mesh,,,
mesh_uv,1228,01:59:15,pdxassetutil.cpp:556,UV-Set: 0 in mesh 'lift' in file 'gfx/models/buildings/special/castamere/24castamere_2.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,Graphics / portrait source error,COW-AGOT: 3D Models & Bigger Castles,gfx/models/buildings/special/castamere/24castamere_2.mesh,,,
