FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
set_not_read,1783,02:00:04,jomini_effect.cpp:1145,Flag 'global' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1784,02:00:04,jomini_effect.cpp:1145,Flag 'DI_subtype_throne' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1785,02:00:04,jomini_effect.cpp:1145,Flag 'all_found' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1793,02:00:04,jomini_effect.cpp:1145,Variable 'COWAGOT_is_loaded' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1794,02:00:04,jomini_effect.cpp:1145,Variable 'DI_artifact_category_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1795,02:00:04,jomini_effect.cpp:1145,Variable 'DI_artifact_quality_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1796,02:00:04,jomini_effect.cpp:1145,Variable 'DI_artifact_subtype_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1862,02:00:11,jomini_effect.cpp:1145,Flag 'global' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1863,02:00:11,jomini_effect.cpp:1145,Flag 'DI_subtype_throne' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1864,02:00:11,jomini_effect.cpp:1145,Flag 'all_found' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1872,02:00:11,jomini_effect.cpp:1145,Variable 'COWAGOT_is_loaded' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1873,02:00:11,jomini_effect.cpp:1145,Variable 'DI_artifact_category_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1874,02:00:11,jomini_effect.cpp:1145,Variable 'DI_artifact_quality_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1875,02:00:11,jomini_effect.cpp:1145,Variable 'DI_artifact_subtype_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
