FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
textures,1216,01:59:13,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_properties.dds',Graphics / portrait source error,,,,,
textures,1217,01:59:13,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds,,,
textures,1218,01:59:13,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_normal.dds',Graphics / portrait source error,,,,,
textures,1219,01:59:13,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds,,,
textures,1221,01:59:13,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_properties.dds',Graphics / portrait source error,,,,,
textures,1222,01:59:13,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds,,,
textures,1223,01:59:13,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_normal.dds',Graphics / portrait source error,,,,,
textures,1224,01:59:13,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds,,,
textures,1229,01:59:15,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_properties.dds',Graphics / portrait source error,,,,,
textures,1230,01:59:15,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds,,,
textures,1231,01:59:15,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_normal.dds',Graphics / portrait source error,,,,,
textures,1232,01:59:15,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds,,,
textures,1234,01:59:15,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_properties.dds',Graphics / portrait source error,,,,,
textures,1235,01:59:15,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds,,,
textures,1236,01:59:15,pdxassetutil.cpp:1053,Failed to find texture 'building_backup_atlas_normal.dds',Graphics / portrait source error,,,,,
textures,1237,01:59:15,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds,,,
