Category,Mod,Before,Gone,After,Exceptions,Deferred
scripts,AGOT Bookmarked,1,1,0,0,0
scripts,AGOT Russian localization,1,1,0,0,0
scripts,AGOT Submod Core,73,0,73,73,0
scripts,AGOT+ / Legacy of the Dragon,8,0,8,0,8
scripts,AGOT_RUS_CORRECT / CK3 localization,1,1,0,0,0
scripts,COW-AGOT,21,11,10,0,10
scripts,Crowns of Westeros,6,6,0,0,0
scripts,Divine Intervention + AGOT compatibility,58,28,30,30,0
scripts,Legacy of the Dragon,22,22,0,0,0
scripts,Valyrian Steel,1,1,0,0,0
read_not_set,AGOT Submod Core,20,6,14,14,0
read_not_set,COW-AGOT,4,4,0,0,0
read_not_set,Crowns of Westeros,6,6,0,0,0
read_not_set,Divine Intervention + AGOT compatibility,12,0,12,12,0
read_not_set,Legacy of the Dragon,4,4,0,0,0
read_not_set,Valyrian Steel,4,4,0,0,0
set_not_read,COW-AGOT,4,2,2,2,0
set_not_read,Divine Intervention + AGOT compatibility,10,0,10,10,0
set_not_read,Legacy of the Dragon,8,6,2,2,0
