Before,After,Difference,Component,Message
1,0,-1,artifact_feature.cpp:33,Missing loc key 'feature_dragon_whip_black'
1,0,-1,artifact_feature.cpp:33,Missing loc key 'feature_dragon_whip_bronze'
1,0,-1,artifact_feature.cpp:33,Missing loc key 'feature_dragon_whip_silver'
1,0,-1,game_icons.cpp:746,"file gfx/interface/icons/building_types/icon_building_ten_towers.dds doesn't exist, referenced from building 'agot_ten_towers_01'"
1,0,-1,game_icons.cpp:746,"file gfx/interface/icons/building_types/icon_riverrun.dds doesn't exist, referenced from building 'oldstones_old_final'"
1,0,-1,game_icons.cpp:746,"file gfx/interface/icons/building_types/icon_riverrun.dds doesn't exist, referenced from building 'oldstones_old_new'"
1,0,-1,game_icons.cpp:746,"file gfx/interface/icons/building_types/icon_riverrun.dds doesn't exist, referenced from building 'oldstones_restored_final'"
2,0,-2,history.cpp:644,Referencing non-existent character in script link character:Gardener_75
1,0,-1,jomini_dynamicdescription.cpp:66,Unrecognized loc key show_notifications_decision_tooltip. show_notifications_decision
1,0,-1,jomini_effect.cpp:139,PostValidate of effect 'add_special_building_slot' returned false at file: common/on_action/cowagot_province_on_actions.txt line: 334 (harlaw_building_check_on_actions)
3,0,-3,jomini_eventmanager.cpp:119,'agot_cities.5000' does not have a valid namespace
1,0,-1,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_aegon_i_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 78 (agot_create_artifact_aegon_i_crown_effect)
1,0,-1,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_aegon_iii_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 434 (agot_create_artifact_aegon_iii_crown_effect)
1,0,-1,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_aegon_iv_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 594 (agot_create_artifact_aegon_iv_crown_effect)
1,0,-1,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_aenys_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 228 (agot_create_artifact_aenys_crown_effect)
1,0,-1,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_baelors_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 498 (agot_create_artifact_baelors_crown_effect)
1,0,-1,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_jaehaerys_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 314 (agot_create_artifact_jaehaerys_crown_effect)
1,0,-1,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_maekars_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 672 (agot_create_artifact_maekars_crown_effect)
1,0,-1,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_visenya_circlet_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 837 (agot_create_artifact_visenya_circlet_effect)
1,0,-1,jomini_script_system.cpp:303,"Script system error!
  Error: add_special_building_slot effect [ Invalid database object 'harlaw_mines_01' ]
  Script location: file: common/on_action/cowagot_province_on_actions.txt line: 334 (harlaw_building_check_on_actions)"
1,0,-1,jomini_script_system.cpp:303,"Script system error!
  Error: trigger_event effect [ Event [agot_cities.5000] not found ]
  Script location: file: common/buildings/yy_agotcities_special_buildings_westeros.txt line: 2294 (24castamere_03:on_complete)"
1,0,-1,jomini_script_system.cpp:303,"Script system error!
  Error: trigger_event effect [ Event [agot_cities.5000] not found ]
  Script location: file: common/buildings/yy_agotcities_special_buildings_westeros.txt line: 1992 (agot_castamere_03:on_complete)"
1,0,-1,jomini_script_system.cpp:303,"Script system error!
  Error: trigger_event effect [ Event [agot_cities.5000] not found ]
  Script location: file: common/buildings/yy_agotcities_special_buildings_westeros.txt line: 1826 (planky_town_special:on_complete)"
1,0,-1,lexer.cpp:306,File 'common/scripted_effects/usf_language_effects.txt' should be in utf8-bom encoding (will try to use it anyways)
1,0,-1,opinion_modifier.cpp:83,Modifier 'funded_my_expedition' shouldn't have a duration and monthly_change at the same time!
1,0,-1,opinion_modifier.cpp:83,Modifier 'sent_relative_to_valyria' shouldn't have a duration and monthly_change at the same time!
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""fp2_building_iberian_wall_05_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""fp2_building_iberian_wall_06_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""fp2_building_iberian_wall_07_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""india_walls_05_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""india_walls_06_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""india_walls_07_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_constantinople_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_genoa_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_rome_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_05_thes_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_06_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""mediterranean_walls_07_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""mena_walls_05_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""mena_walls_06_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""mena_walls_07_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""walls_05_marrakesh_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""western_walls_05_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""western_walls_05_london_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""western_walls_05_paris_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""western_walls_06_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""western_walls_06_london_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""western_walls_07_entity"" for attachment in"
1,0,-1,pdx_entity.cpp:666,"Failed to find entity ""western_walls_07_london_entity"" for attachment in"
2,0,-2,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: rhoynish_religion_opinion, near line: 1766 (expanded from file: common/buildings/yy_agotcities_special_buildings_westeros.txt line: 1767)"" in file: ""common/buildings/yy_agotcities_special_buildings_westeros.txt"" near line: 1766"
1,0,-1,pdxassetutil.cpp:1009,"Duplicate texture 'ep3_patras_castle_01_a_unique.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_01_a_unique.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds')"
1,0,-1,pdxassetutil.cpp:1009,"Duplicate texture 'ep3_patras_castle_ground_diffuse.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_diffuse.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds')"
1,0,-1,pdxassetutil.cpp:1009,"Duplicate texture 'ep3_patras_castle_ground_normal.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_normal.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds')"
