"Count","Category","Owner","FirstLogLine","Component","Message"
"7","Other error","Unresolved file","1203","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_properties.dds not found'"
"7","Other error","Unresolved file","1205","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_normal.dds not found'"
"7","Graphics / portrait source error","CK3","1204","pdxassetutil.cpp:1053","Failed to find texture 'gfx/models/debug/no_normal.dds'"
"7","Graphics / portrait source error","CK3","1202","pdxassetutil.cpp:1053","Failed to find texture 'gfx/models/debug/no_properties.dds'"
"2","Graphics / portrait source error","","1254","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_02"""
"2","Graphics / portrait source error","","1253","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_02"""
"2","Graphics / portrait source error","","1251","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_01"""
"2","Graphics / portrait source error","","1241","portraitaccessories.cpp:159","accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_captainsArmor_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1244","portraitaccessories.cpp:159","accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_standardVest_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1243","portraitaccessories.cpp:159","accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_ornateVest_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1245","portraitaccessories.cpp:159","accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_platedVest_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1252","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1242","portraitaccessories.cpp:159","accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_captainsArmorMetal_blackfyreAlt_01"""
"2","Script / database error","","1639","jomini_effect.cpp:1161","Flag 'wilderness_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1640","jomini_effect.cpp:1161","Flag 'pirate_den_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1638","jomini_effect.cpp:1161","Flag 'settlement_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1636","jomini_effect.cpp:1161","Flag 'monastery_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1637","jomini_effect.cpp:1161","Flag 'ruin_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1641","jomini_effect.cpp:1145","Flag 'all_found' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Graphics / portrait source error","","1256","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_03"""
"2","Script / database error","","1635","jomini_effect.cpp:1161","Flag 'unknown_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Graphics / portrait source error","","1263","portraitaccessories.cpp:159","accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_captainsPants_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1265","portraitaccessories.cpp:159","accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_twoSwordsPants_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1264","portraitaccessories.cpp:159","accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_standardPants_blackfyreAlt_01"""
"2","Script / database error","","1650","jomini_effect.cpp:1161","Variable 'Aotk_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1651","jomini_effect.cpp:1145","Variable 'DI_artifact_category_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","1648","jomini_effect.cpp:1161","Variable 'kingsguard_choice' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1649","jomini_effect.cpp:1161","Variable 'app_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","1654","jomini_effect.cpp:1145","Variable 'DI_artifact_subtype_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
