"Count","Category","Owner","Files","FirstLogLine"
"47","Script / database error","","","1234"
"32","Graphics / portrait source error","","","1237"
"26","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/05_clothes_situational.txt","1430"
"17","Script / database error","AGOT Submod Core","common/scripted_triggers/tgc_loaded_trigger.txt","1236"
"17","Script / database error","Divine Intervention Cheat Menu","common/scripted_effects/DI_char_spawner_effects.txt","1384"
"16","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/05_headgear_situational.txt","1495"
"12","Script / database error","Divine Intervention Cheat Menu","common/character_interactions/DI_character_interaction.txt","1385"
"8","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/01_cloaks_base.txt","1395"
"7","Other error","Unresolved file","gfx/models/buildings/special/castamere/gfx/models/debug/no_properties.dds","1203"
"7","Graphics / portrait source error","CK3","gfx/models/debug/no_properties.dds","1202"
"7","Other error","Unresolved file","gfx/models/buildings/special/castamere/gfx/models/debug/no_normal.dds","1205"
"7","Graphics / portrait source error","CK3","gfx/models/debug/no_normal.dds","1204"
"6","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/01_legwear_base.txt","1415"
"4","History / title / faith reference error","Divine Intervention Cheat Menu","common/character_interactions/DI_character_interaction.txt","1380"
"1","Other error","Unresolved file","gfx/models/buildings/special/Karhold/gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds","1213"
"1","Script / database error","Divine Intervention Cheat Menu","common/modifiers/DI_modifiers.txt","1235"
"1","Other error","","","1659"
"1","History / title / faith reference error","Divine Intervention Cheat Menu","common/scripted_guis/DI_char_editor_present_sgui.txt","1379"
"1","Other error","Unresolved file","gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds","1195"
"1","Graphics / portrait source error","CK3","gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds","1196"
"1","Other error","Unresolved file","gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds","1197"
"1","Graphics / portrait source error","CK3","gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds","1194"
"1","Mod descriptor warning","","","1"
"1","Graphics / portrait source error","A Game of Thrones | AGOT Submods | Единые исправления","gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds | gfx/models/buildings/special/Karhold/ethiopian_atlas_diffuse.dds","1192"
"1","Graphics / portrait source error","A Game of Thrones | AGOT Submods | Единые исправления","gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds | gfx/models/buildings/special/Runestone/ethiopian_atlas_diffuse.dds","1193"
"1","Graphics / portrait source error","A Game of Thrones","gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_properties.dds","1210"
"1","Other error","Unresolved file","gfx/models/buildings/special/Karhold/gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_properties.dds","1211"
"1","Graphics / portrait source error","A Game of Thrones","gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds","1212"
"1","Other error","Unresolved file","gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds","1201"
"1","Graphics / portrait source error","CK3","gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds","1198"
"1","Other error","Unresolved file","gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds","1199"
"1","Graphics / portrait source error","CK3","gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds","1200"
