FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
accessories,1237,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:brightboar_swordsman_armour] has an invalid accessory ""male_clothes_secular_brightboar_swordsman""",Graphics / portrait source error,,,,,
accessories,1238,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:brightboar_swordsman_armour] has an invalid accessory ""female_clothes_secular_brightboar_swordsman""",Graphics / portrait source error,,,,,
accessories,1239,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:brightboar_swordsman_armour] has an invalid accessory ""male_clothes_secular_brightboar_swordsman""",Graphics / portrait source error,,,,,
accessories,1240,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:brightboar_swordsman_armour] has an invalid accessory ""female_clothes_secular_brightboar_swordsman""",Graphics / portrait source error,,,,,
accessories,1241,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_captainsArmor_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1242,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_captainsArmorMetal_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1243,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_ornateVest_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1244,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_standardVest_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1245,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_platedVest_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1246,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_captainsArmor_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1247,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_captainsArmorMetal_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1248,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_ornateVest_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1249,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_standardVest_blackfyreAlt_01""",Graphics / portrait source error,,,,,
accessories,1250,06:13:50,portraitaccessories.cpp:159,"accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_platedVest_blackfyreAlt_01""",Graphics / portrait source error,,,,,
