FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
descriptor,1,06:11:08,dlc_descriptor.cpp:70,Invalid supported_version in file: mod/ugc_2261468688.mod line: 6,Mod descriptor warning,,,,,
texture_duplicates,1192,06:12:59,pdxassetutil.cpp:1009,"Duplicate texture 'ethiopian_atlas_diffuse.dds' found (current path 'gfx/models/buildings/special/Karhold/ethiopian_atlas_diffuse.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds')",Graphics / portrait source error,A Game of Thrones | AGOT Submods | Единые исправления,gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds | gfx/models/buildings/special/Karhold/ethiopian_atlas_diffuse.dds,,,
texture_duplicates,1193,06:12:59,pdxassetutil.cpp:1009,"Duplicate texture 'ethiopian_atlas_diffuse.dds' found (current path 'gfx/models/buildings/special/Runestone/ethiopian_atlas_diffuse.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds')",Graphics / portrait source error,A Game of Thrones | AGOT Submods | Единые исправления,gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds | gfx/models/buildings/special/Runestone/ethiopian_atlas_diffuse.dds,,,
textures,1194,06:13:04,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds',Graphics / portrait source error,CK3,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds,,,
textures,1195,06:13:04,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds not found',Other error,Unresolved file,gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds,,,
textures,1196,06:13:04,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds',Graphics / portrait source error,CK3,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds,,,
textures,1197,06:13:04,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds,,,
textures,1198,06:13:04,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds',Graphics / portrait source error,CK3,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds,,,
textures,1199,06:13:04,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds,,,
textures,1200,06:13:04,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds',Graphics / portrait source error,CK3,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds,,,
