Category,Label,Before,After,Change,DistinctMessages
scripts,"Скрипты, параметры и проверка данных",121,103,-18,38
read_not_set,"Переменные/флаги используются, установка не найдена",26,26,0,13
set_not_read,"Переменные/флаги устанавливаются, использование не найдено",14,14,0,7
animations,Неизвестные состояния портретных анимаций,48,0,-48,0
accessories,Недоступные аксессуары в группах генов,32,32,0,16
entities,Отсутствующие сущности моделей,26,0,-26,0
mesh_settings,Несогласованные настройки моделей,40,0,-40,0
mesh_uv,UV-развёртки моделей,39,0,-39,0
textures,Отсутствующие текстуры и иконки,32,40,8,16
texture_duplicates,Дубли текстур,10,2,-8,2
history,Ссылки на персонажей и титулы,9,5,-4,2
dna,Повторное поле в DNA закладок,2,0,-2,0
localization,Отсутствующие ключи локализации,4,0,-4,0
modifiers,Неиспользуемые/некорректные модификаторы,6,2,-4,2
orphan_events,События без найденного вызова,2,2,0,2
ai_decision,Период проверки решения ИИ,1,1,0,1
descriptor,Некорректная версия в дескрипторе,1,1,0,1
rule_references,Неизвестные ссылки на игровые правила,2,2,0,1
achievement_assert,Сообщение проверки загрузки достижений,1,1,0,1
encoding,Кодировка скрипта: UTF-8 BOM,1,0,-1,0
unclassified,Новые типы сообщений,0,0,0,0
