FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
read_not_set,1635,06:13:52,jomini_effect.cpp:1161,Flag 'unknown_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1636,06:13:52,jomini_effect.cpp:1161,Flag 'monastery_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1637,06:13:52,jomini_effect.cpp:1161,Flag 'ruin_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1638,06:13:52,jomini_effect.cpp:1161,Flag 'settlement_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1639,06:13:52,jomini_effect.cpp:1161,Flag 'wilderness_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1640,06:13:52,jomini_effect.cpp:1161,Flag 'pirate_den_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1644,06:13:52,jomini_effect.cpp:1161,Variable 'brightboar_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1645,06:13:52,jomini_effect.cpp:1161,Variable 'tgc_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1646,06:13:52,jomini_effect.cpp:1161,Variable 'swordman_armor_artifact' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1647,06:13:52,jomini_effect.cpp:1161,Variable 'captains_sword' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1648,06:13:52,jomini_effect.cpp:1161,Variable 'kingsguard_choice' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1649,06:13:52,jomini_effect.cpp:1161,Variable 'app_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1650,06:13:52,jomini_effect.cpp:1161,Variable 'Aotk_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1660,06:14:00,jomini_effect.cpp:1161,Flag 'unknown_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1661,06:14:00,jomini_effect.cpp:1161,Flag 'monastery_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1662,06:14:00,jomini_effect.cpp:1161,Flag 'ruin_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1663,06:14:00,jomini_effect.cpp:1161,Flag 'settlement_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1664,06:14:00,jomini_effect.cpp:1161,Flag 'wilderness_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1665,06:14:00,jomini_effect.cpp:1161,Flag 'pirate_den_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1669,06:14:00,jomini_effect.cpp:1161,Variable 'brightboar_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1670,06:14:00,jomini_effect.cpp:1161,Variable 'tgc_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1671,06:14:00,jomini_effect.cpp:1161,Variable 'swordman_armor_artifact' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1672,06:14:00,jomini_effect.cpp:1161,Variable 'captains_sword' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1673,06:14:00,jomini_effect.cpp:1161,Variable 'kingsguard_choice' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1674,06:14:00,jomini_effect.cpp:1161,Variable 'app_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
read_not_set,1675,06:14:00,jomini_effect.cpp:1161,Variable 'Aotk_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count,Script / database error,,,,,
