FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
scripts,1235,06:13:47,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: confucian_education_xp_gain_mult, near line: 4047"" in file: ""common/modifiers/DI_modifiers.txt"" near line: 4047",Script / database error,Divine Intervention Cheat Menu,common/modifiers/DI_modifiers.txt,,,
scripts,1236,06:13:50,jomini_eventtarget.cpp:692,Failed to find a valid event target link 'house_Blackfyre' at file: common/scripted_triggers/tgc_loaded_trigger.txt line: 127 (tgc_blackfyre_equipment_trigger),Script / database error,AGOT Submod Core,common/scripted_triggers/tgc_loaded_trigger.txt,,,
scripts,1384,06:13:52,jomini_eventtarget.h:291,Failed to find 'varangian' from database for link 'trait' at file: common/scripted_effects/DI_char_spawner_effects.txt line: 1232 (DI_akolouthos_traits_effect),Script / database error,Divine Intervention Cheat Menu,common/scripted_effects/DI_char_spawner_effects.txt,,,
scripts,1385,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: add_innovation effect [ target: Not found in database class CCultureInnovationTypeDatabase ]
  Script location: file: common/character_interactions/DI_character_interaction.txt line: 4616 (DI_change_succession:on_accept)",Script / database error,Divine Intervention Cheat Menu,common/character_interactions/DI_character_interaction.txt,,,
scripts,1389,06:13:52,jomini_effect.cpp:139,PostValidate of effect 'add_innovation' returned false at file: common/character_interactions/DI_character_interaction.txt line: 4616 (DI_change_succession:on_accept),Script / database error,Divine Intervention Cheat Menu,common/character_interactions/DI_character_interaction.txt,,,
scripts,1390,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: add_innovation effect [ target: Not found in database class CCultureInnovationTypeDatabase ]
  Script location: file: common/character_interactions/DI_character_interaction.txt line: 4631 (DI_change_succession:on_accept)",Script / database error,Divine Intervention Cheat Menu,common/character_interactions/DI_character_interaction.txt,,,
scripts,1394,06:13:52,jomini_effect.cpp:139,PostValidate of effect 'add_innovation' returned false at file: common/character_interactions/DI_character_interaction.txt line: 4631 (DI_change_succession:on_accept),Script / database error,Divine Intervention Cheat Menu,common/character_interactions/DI_character_interaction.txt,,,
scripts,1395,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: has_game_rule trigger [ Invalid database object 'show_armor_enabled' ]
  Script location: file: gfx/portraits/portrait_modifiers/01_cloaks_base.txt line: 1333 (cloaks:weight)",Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,,,
scripts,1399,06:13:52,jomini_trigger.cpp:243,PostValidate of trigger 'has_game_rule' returned false at file: gfx/portraits/portrait_modifiers/01_cloaks_base.txt line: 1333 (cloaks:weight),Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,,,
scripts,1400,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: has_game_rule trigger [ Invalid database object 'show_armor_enabled' ]
  Script location: file: gfx/portraits/portrait_modifiers/01_cloaks_base.txt line: 1338 (cloaks:weight)",Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,,,
scripts,1404,06:13:52,jomini_trigger.cpp:243,PostValidate of trigger 'has_game_rule' returned false at file: gfx/portraits/portrait_modifiers/01_cloaks_base.txt line: 1338 (cloaks:weight),Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,,,
scripts,1405,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: has_game_rule trigger [ Invalid database object 'show_armor_enabled' ]
  Script location: file: gfx/portraits/portrait_modifiers/01_cloaks_base.txt line: 1642 (cloaks:weight)",Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,,,
scripts,1409,06:13:52,jomini_trigger.cpp:243,PostValidate of trigger 'has_game_rule' returned false at file: gfx/portraits/portrait_modifiers/01_cloaks_base.txt line: 1642 (cloaks:weight),Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,,,
scripts,1410,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: has_game_rule trigger [ Invalid database object 'show_armor_enabled' ]
  Script location: file: gfx/portraits/portrait_modifiers/01_cloaks_base.txt line: 1684 (cloaks:weight)",Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,,,
scripts,1414,06:13:52,jomini_trigger.cpp:243,PostValidate of trigger 'has_game_rule' returned false at file: gfx/portraits/portrait_modifiers/01_cloaks_base.txt line: 1684 (cloaks:weight),Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,,,
scripts,1415,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: has_game_rule trigger [ Invalid database object 'show_armor_enabled' ]
  Script location: file: gfx/portraits/portrait_modifiers/01_legwear_base.txt line: 871 (legwear:weight)",Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_legwear_base.txt,,,
scripts,1419,06:13:52,jomini_trigger.cpp:243,PostValidate of trigger 'has_game_rule' returned false at file: gfx/portraits/portrait_modifiers/01_legwear_base.txt line: 871 (legwear:weight),Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_legwear_base.txt,,,
scripts,1420,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: has_game_rule trigger [ Invalid database object 'show_armor_enabled' ]
  Script location: file: gfx/portraits/portrait_modifiers/01_legwear_base.txt line: 898 (legwear:weight)",Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_legwear_base.txt,,,
scripts,1424,06:13:52,jomini_trigger.cpp:243,PostValidate of trigger 'has_game_rule' returned false at file: gfx/portraits/portrait_modifiers/01_legwear_base.txt line: 898 (legwear:weight),Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_legwear_base.txt,,,
scripts,1425,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: has_game_rule trigger [ Invalid database object 'show_armor_enabled' ]
  Script location: file: gfx/portraits/portrait_modifiers/01_legwear_base.txt line: 937 (legwear:weight)",Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_legwear_base.txt,,,
scripts,1429,06:13:52,jomini_trigger.cpp:243,PostValidate of trigger 'has_game_rule' returned false at file: gfx/portraits/portrait_modifiers/01_legwear_base.txt line: 937 (legwear:weight),Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_legwear_base.txt,,,
scripts,1430,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: has_game_rule trigger [ Invalid database object 'show_armor_enabled' ]
  Script location: file: gfx/portraits/portrait_modifiers/05_clothes_situational.txt line: 616 (clothes_situational:weight)",Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,,,
scripts,1434,06:13:52,jomini_trigger.cpp:243,PostValidate of trigger 'has_game_rule' returned false at file: gfx/portraits/portrait_modifiers/05_clothes_situational.txt line: 616 (clothes_situational:weight),Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,,,
scripts,1435,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: has_game_rule trigger [ Invalid database object 'show_armor_enabled' ]
  Script location: file: gfx/portraits/portrait_modifiers/05_clothes_situational.txt line: 1062 (clothes_situational:weight)",Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,,,
scripts,1439,06:13:52,jomini_trigger.cpp:243,PostValidate of trigger 'has_game_rule' returned false at file: gfx/portraits/portrait_modifiers/05_clothes_situational.txt line: 1062 (clothes_situational:weight),Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,,,
scripts,1440,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: has_game_rule trigger [ Invalid database object 'show_armor_enabled' ]
  Script location: file: gfx/portraits/portrait_modifiers/05_clothes_situational.txt line: 1109 (clothes_situational:weight)",Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,,,
scripts,1444,06:13:52,jomini_trigger.cpp:243,PostValidate of trigger 'has_game_rule' returned false at file: gfx/portraits/portrait_modifiers/05_clothes_situational.txt line: 1109 (clothes_situational:weight),Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,,,
scripts,1445,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: has_game_rule trigger [ Invalid database object 'show_armor_enabled' ]
  Script location: file: gfx/portraits/portrait_modifiers/05_clothes_situational.txt line: 1158 (clothes_situational:weight)",Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,,,
scripts,1449,06:13:52,jomini_trigger.cpp:243,PostValidate of trigger 'has_game_rule' returned false at file: gfx/portraits/portrait_modifiers/05_clothes_situational.txt line: 1158 (clothes_situational:weight),Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,,,
scripts,1450,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: has_game_rule trigger [ Invalid database object 'show_armor_enabled' ]
  Script location: file: gfx/portraits/portrait_modifiers/05_clothes_situational.txt line: 1202 (clothes_situational:weight)",Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,,,
scripts,1454,06:13:52,jomini_trigger.cpp:243,PostValidate of trigger 'has_game_rule' returned false at file: gfx/portraits/portrait_modifiers/05_clothes_situational.txt line: 1202 (clothes_situational:weight),Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,,,
scripts,1455,06:13:52,jomini_script_system.cpp:303,"Script system error!
  Error: has_game_rule trigger [ Invalid database object 'show_armor_enabled' ]
  Script location: file: gfx/portraits/portrait_modifiers/05_clothes_situational.txt line: 1248 (clothes_situational:weight)",Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,,,
scripts,1459,06:13:52,jomini_trigger.cpp:243,PostValidate of trigger 'has_game_rule' returned false at file: gfx/portraits/portrait_modifiers/05_clothes_situational.txt line: 1248 (clothes_situational:weight),Script / database error,AGOT Submod Core,gfx/portraits/portrait_modifiers/05_clothes_situational.txt,,,
