FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
set_not_read,1641,06:13:52,jomini_effect.cpp:1145,Flag 'all_found' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1642,06:13:52,jomini_effect.cpp:1145,Flag 'DI_subtype_throne' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1643,06:13:52,jomini_effect.cpp:1145,Flag 'global' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1651,06:13:52,jomini_effect.cpp:1145,Variable 'DI_artifact_category_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1652,06:13:52,jomini_effect.cpp:1145,Variable 'COWAGOT_is_loaded' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1653,06:13:52,jomini_effect.cpp:1145,Variable 'DI_artifact_quality_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1654,06:13:52,jomini_effect.cpp:1145,Variable 'DI_artifact_subtype_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1666,06:14:00,jomini_effect.cpp:1145,Flag 'all_found' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1667,06:14:00,jomini_effect.cpp:1145,Flag 'DI_subtype_throne' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1668,06:14:00,jomini_effect.cpp:1145,Flag 'global' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1676,06:14:00,jomini_effect.cpp:1145,Variable 'DI_artifact_category_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1677,06:14:00,jomini_effect.cpp:1145,Variable 'COWAGOT_is_loaded' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1678,06:14:00,jomini_effect.cpp:1145,Variable 'DI_artifact_quality_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
set_not_read,1679,06:14:00,jomini_effect.cpp:1145,Variable 'DI_artifact_subtype_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,Script / database error,,,,,
