FineCategory,Line,Time,Component,Message,Category,Owner,Files,Key,FirstFile,SecondFile
textures,1194,06:13:04,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds',Graphics / portrait source error,CK3,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds,,,
textures,1195,06:13:04,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds not found',Other error,Unresolved file,gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds,,,
textures,1196,06:13:04,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds',Graphics / portrait source error,CK3,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds,,,
textures,1197,06:13:04,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds,,,
textures,1198,06:13:04,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds',Graphics / portrait source error,CK3,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds,,,
textures,1199,06:13:04,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds not found',Other error,Unresolved file,gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds,,,
textures,1200,06:13:04,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds',Graphics / portrait source error,CK3,gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds,,,
textures,1201,06:13:04,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds not found',Other error,Unresolved file,gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds,,,
textures,1202,06:13:05,pdxassetutil.cpp:1053,Failed to find texture 'gfx/models/debug/no_properties.dds',Graphics / portrait source error,CK3,gfx/models/debug/no_properties.dds,,,
textures,1203,06:13:05,virtualfilesystem.cpp:456,Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_properties.dds not found',Other error,Unresolved file,gfx/models/buildings/special/castamere/gfx/models/debug/no_properties.dds,,,
