Category,Mod,Remaining,Exceptions,PriorFixedReappeared,DeferredStillPresent
scripts,AGOT Bookmarked,0,0,0,0
scripts,AGOT Russian localization,0,0,0,0
scripts,AGOT Submod Core,73,73,0,0
scripts,AGOT+ / Legacy of the Dragon,0,0,0,0
scripts,AGOT_RUS_CORRECT / CK3 localization,0,0,0,0
scripts,COW-AGOT,0,0,0,0
scripts,Crowns of Westeros,0,0,0,0
scripts,Divine Intervention + AGOT compatibility,30,30,0,0
scripts,Legacy of the Dragon,0,0,0,0
scripts,Valyrian Steel,0,0,0,0
read_not_set,AGOT Submod Core,14,14,0,0
read_not_set,COW-AGOT,0,0,0,0
read_not_set,Crowns of Westeros,0,0,0,0
read_not_set,Divine Intervention + AGOT compatibility,12,12,0,0
read_not_set,Legacy of the Dragon,0,0,0,0
read_not_set,Valyrian Steel,0,0,0,0
set_not_read,COW-AGOT,2,2,0,0
set_not_read,Divine Intervention + AGOT compatibility,10,10,0,0
set_not_read,Legacy of the Dragon,2,2,0,0
