category,log_line,owner,issue,original_owner,message,status,reason,Observed,CurrentLogLine,CurrentFileOwner,OriginalComponent,OriginalFullMessage,ResourceRunObserved,ResourceRunLine
scripts,1337,Legacy of the Dragon,lotd-ruby-gold,Legacy Of The Dragon,Negative value in remove_short_term_gold: -450. file: events/decisions_events/buy_ruby_crown_events.txt line: 54 (buy_ruby_crown.0999:immediate),expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,character_currency_effects_impl.cpp:227,Negative value in remove_short_term_gold: -450. file: events/decisions_events/buy_ruby_crown_events.txt line: 54 (buy_ruby_crown.0999:immediate),absent,
scripts,1339,Crowns of Westeros,crowns-event-duplicate,A Game of Thrones,"Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)'",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_eventmanager.cpp:428,"Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)'",absent,
scripts,1341,COW-AGOT,cow-religion-opinion,COW-AGOT: 3D Models & Bigger Castles,"Error: ""Unexpected token: rhoynish_religion_opinion, near line: 1760"" in file: ""common/buildings/yy_agotcities_special_buildings_westeros.txt"" near line: 1760",deferred,Прежний охват религиозного бонуса не определён; сохранено до отдельного этапа.,present,1340,AGOT Submods | Единые исправления,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: rhoynish_religion_opinion, near line: 1760"" in file: ""common/buildings/yy_agotcities_special_buildings_westeros.txt"" near line: 1760",absent,
scripts,1342,COW-AGOT,cow-religion-opinion,COW-AGOT: 3D Models & Bigger Castles,"Error: ""Unexpected token: rhoynish_religion_opinion, near line: 1767"" in file: ""common/buildings/yy_agotcities_special_buildings_westeros.txt"" near line: 1767",deferred,Прежний охват религиозного бонуса не определён; сохранено до отдельного этапа.,present,1341,AGOT Submods | Единые исправления,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: rhoynish_religion_opinion, near line: 1767"" in file: ""common/buildings/yy_agotcities_special_buildings_westeros.txt"" near line: 1767",absent,
scripts,1343,COW-AGOT,cow-holding-trigger,COW-AGOT: 3D Models & Bigger Castles,"Error: ""Unknown trigger: holding, near line: 2364"" in file: ""common/buildings/yy_agotcities_special_buildings_westeros.txt"" near line: 2369",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,pdx_persistent_reader.cpp:216,"Error: ""Unknown trigger: holding, near line: 2364"" in file: ""common/buildings/yy_agotcities_special_buildings_westeros.txt"" near line: 2369",absent,
scripts,1344,Divine Intervention + AGOT compatibility,di-confucian-xp,Divine Intervention Cheat Menu,"Error: ""Unexpected token: confucian_education_xp_gain_mult, near line: 4047"" in file: ""common/modifiers/DI_modifiers.txt"" near line: 4047",exception,Исходный Divine Intervention для ванили не исправляется по указанию пользователя.,present,1342,Divine Intervention Cheat Menu,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: confucian_education_xp_gain_mult, near line: 4047"" in file: ""common/modifiers/DI_modifiers.txt"" near line: 4047",present,1235
scripts,1345,Crowns of Westeros,crowns-culture-opinion,AGOT - Crowns of Westeros,"Error: ""Unexpected token: valeman_opinion, near line: 447"" in file: ""common/modifiers/ntc_artifact_modifiers.txt"" near line: 447",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: valeman_opinion, near line: 447"" in file: ""common/modifiers/ntc_artifact_modifiers.txt"" near line: 447",absent,
scripts,1346,Crowns of Westeros,crowns-culture-opinion,AGOT - Crowns of Westeros,"Error: ""Unexpected token: valeman_opinion, near line: 456"" in file: ""common/modifiers/ntc_artifact_modifiers.txt"" near line: 456",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: valeman_opinion, near line: 456"" in file: ""common/modifiers/ntc_artifact_modifiers.txt"" near line: 456",absent,
scripts,1347,Crowns of Westeros,crowns-culture-opinion,AGOT - Crowns of Westeros,"Error: ""Unexpected token: valeman_opinion, near line: 605"" in file: ""common/modifiers/ntc_artifact_modifiers.txt"" near line: 605",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,pdx_persistent_reader.cpp:216,"Error: ""Unexpected token: valeman_opinion, near line: 605"" in file: ""common/modifiers/ntc_artifact_modifiers.txt"" near line: 605",absent,
scripts,1348,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_aegon_i_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 78 (agot_create_artifact_aegon_i_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.,present,1343,A Game of Thrones,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_aegon_i_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 78 (agot_create_artifact_aegon_i_crown_effect),absent,
scripts,1349,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_aenys_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 228 (agot_create_artifact_aenys_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.,present,1344,A Game of Thrones,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_aenys_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 228 (agot_create_artifact_aenys_crown_effect),absent,
scripts,1350,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_jaehaerys_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 314 (agot_create_artifact_jaehaerys_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.,present,1345,A Game of Thrones,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_jaehaerys_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 314 (agot_create_artifact_jaehaerys_crown_effect),absent,
scripts,1351,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_aegon_iii_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 434 (agot_create_artifact_aegon_iii_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.,present,1346,A Game of Thrones,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_aegon_iii_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 434 (agot_create_artifact_aegon_iii_crown_effect),absent,
scripts,1352,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_baelors_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 498 (agot_create_artifact_baelors_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.,present,1347,A Game of Thrones,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_baelors_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 498 (agot_create_artifact_baelors_crown_effect),absent,
scripts,1353,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_aegon_iv_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 594 (agot_create_artifact_aegon_iv_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.,present,1348,A Game of Thrones,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_aegon_iv_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 594 (agot_create_artifact_aegon_iv_crown_effect),absent,
scripts,1354,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_maekars_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 672 (agot_create_artifact_maekars_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.,present,1349,A Game of Thrones,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_maekars_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 672 (agot_create_artifact_maekars_crown_effect),absent,
scripts,1355,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_visenya_circlet_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 837 (agot_create_artifact_visenya_circlet_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.,present,1350,A Game of Thrones,jomini_script_argument.cpp:227,Compiling source for agot_create_artifact_visenya_circlet_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 837 (agot_create_artifact_visenya_circlet_effect),absent,
scripts,1356,AGOT Bookmarked,bookmarked-april-scenario,AGOT Bookmarked,"Error: ""Unknown effect: agot_8299_4_1_acok_scenario_setup, near line: 89"" in file: ""common/scripted_effects/00_agot_scenario_setup_effects.txt"" near line: 90",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,pdx_persistent_reader.cpp:216,"Error: ""Unknown effect: agot_8299_4_1_acok_scenario_setup, near line: 89"" in file: ""common/scripted_effects/00_agot_scenario_setup_effects.txt"" near line: 90",absent,
scripts,1357,AGOT Submod Core,core-house-scope,AGOT Submod Core,Failed to find a valid event target link 'house_Blackfyre' at file: common/scripted_triggers/tgc_loaded_trigger.txt line: 127 (tgc_blackfyre_equipment_trigger),exception,Интеграция TGC сохранена целиком по указанию пользователя; известная опечатка в неактивной ветви также оставлена.,present,1351,AGOT Submod Core,jomini_eventtarget.cpp:692,Failed to find a valid event target link 'house_Blackfyre' at file: common/scripted_triggers/tgc_loaded_trigger.txt line: 127 (tgc_blackfyre_equipment_trigger),present,1236
scripts,1512,Divine Intervention + AGOT compatibility,di-varangian,Divine Intervention Cheat Menu,Failed to find 'varangian' from database for link 'trait' at file: common/scripted_effects/DI_char_spawner_effects.txt line: 1232 (DI_akolouthos_traits_effect),exception,Исходный Divine Intervention для ванили не исправляется по указанию пользователя.,present,1506,Divine Intervention Cheat Menu,jomini_eventtarget.h:291,Failed to find 'varangian' from database for link 'trait' at file: common/scripted_effects/DI_char_spawner_effects.txt line: 1232 (DI_akolouthos_traits_effect),present,1384
scripts,1513,COW-AGOT,cow-missing-event,,'agot_cities.5000' does not have a valid namespace,deferred,"Утраченное событие COW: отдельное исследование, вызовы сохранены.",present,1507,,jomini_eventmanager.cpp:119,'agot_cities.5000' does not have a valid namespace,absent,
scripts,1514,COW-AGOT,cow-missing-event,COW-AGOT: 3D Models & Bigger Castles,"Script system error!
  Error: trigger_event effect [ Event [agot_cities.5000] not found ]
  Script location: file: common/buildings/yy_agotcities_special_buildings_westeros.txt line: 1827 (planky_town_special:on_complete)",deferred,"Утраченное событие COW: отдельное исследование, вызовы сохранены.",present,1508,AGOT Submods | Единые исправления,jomini_script_system.cpp:303,"Script system error!
  Error: trigger_event effect [ Event [agot_cities.5000] not found ]
  Script location: file: common/buildings/yy_agotcities_special_buildings_westeros.txt line: 1827 (planky_town_special:on_complete)",absent,
scripts,1518,COW-AGOT,cow-missing-event,,'agot_cities.5000' does not have a valid namespace,deferred,"Утраченное событие COW: отдельное исследование, вызовы сохранены.",present,1512,,jomini_eventmanager.cpp:119,'agot_cities.5000' does not have a valid namespace,absent,
scripts,1519,COW-AGOT,cow-missing-event,COW-AGOT: 3D Models & Bigger Castles,"Script system error!
  Error: trigger_event effect [ Event [agot_cities.5000] not found ]
  Script location: file: common/buildings/yy_agotcities_special_buildings_westeros.txt line: 1993 (agot_castamere_03:on_complete)",deferred,"Утраченное событие COW: отдельное исследование, вызовы сохранены.",present,1513,AGOT Submods | Единые исправления,jomini_script_system.cpp:303,"Script system error!
  Error: trigger_event effect [ Event [agot_cities.5000] not found ]
  Script location: file: common/buildings/yy_agotcities_special_buildings_westeros.txt line: 1993 (agot_castamere_03:on_complete)",absent,
scripts,1523,COW-AGOT,cow-missing-event,,'agot_cities.5000' does not have a valid namespace,deferred,"Утраченное событие COW: отдельное исследование, вызовы сохранены.",present,1517,,jomini_eventmanager.cpp:119,'agot_cities.5000' does not have a valid namespace,absent,
scripts,1524,COW-AGOT,cow-missing-event,COW-AGOT: 3D Models & Bigger Castles,"Script system error!
  Error: trigger_event effect [ Event [agot_cities.5000] not found ]
  Script location: file: common/buildings/yy_agotcities_special_buildings_westeros.txt line: 2295 (24castamere_03:on_complete)",deferred,"Утраченное событие COW: отдельное исследование, вызовы сохранены.",present,1518,AGOT Submods | Единые исправления,jomini_script_system.cpp:303,"Script system error!
  Error: trigger_event effect [ Event [agot_cities.5000] not found ]
  Script location: file: common/buildings/yy_agotcities_special_buildings_westeros.txt line: 2295 (24castamere_03:on_complete)",absent,
scripts,1528,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 13 (agot_create_artifact_vs_blackfyre_effect[args#3618947653])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 13 (agot_create_artifact_vs_blackfyre_effect[args#3618947653])",absent,
scripts,1532,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 31 (agot_create_artifact_vs_blackfyre_effect[args#3618947653])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 31 (agot_create_artifact_vs_blackfyre_effect[args#3618947653])",absent,
scripts,1536,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 13 (agot_create_artifact_vs_blackfyre_effect[args#141906969])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 13 (agot_create_artifact_vs_blackfyre_effect[args#141906969])",absent,
scripts,1540,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 31 (agot_create_artifact_vs_blackfyre_effect[args#141906969])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 31 (agot_create_artifact_vs_blackfyre_effect[args#141906969])",absent,
scripts,1544,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 604 (agot_create_artifact_vs_pincer_effect[args#3618947653])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 604 (agot_create_artifact_vs_pincer_effect[args#3618947653])",absent,
scripts,1548,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 630 (agot_create_artifact_vs_pincer_effect[args#3618947653])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 630 (agot_create_artifact_vs_pincer_effect[args#3618947653])",absent,
scripts,1552,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_seafoam_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 455 (agot_create_artifact_vs_seafoam_effect[args#3618947653])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_seafoam_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 455 (agot_create_artifact_vs_seafoam_effect[args#3618947653])",absent,
scripts,1556,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_seafoam_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 475 (agot_create_artifact_vs_seafoam_effect[args#3618947653])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_seafoam_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 475 (agot_create_artifact_vs_seafoam_effect[args#3618947653])",absent,
scripts,1560,Legacy of the Dragon,lotd-scheme-bonus,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid static modifier 'artifact_personal_scheme_power_add_5_modifier' ]
  Script location: file: common/scripted_effects/00_lotd_artifact_creation_effects.txt line: 8 (create_artifact_subterfuge_effect[args#141906969])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid static modifier 'artifact_personal_scheme_power_add_5_modifier' ]
  Script location: file: common/scripted_effects/00_lotd_artifact_creation_effects.txt line: 8 (create_artifact_subterfuge_effect[args#141906969])",absent,
scripts,1564,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 13 (agot_create_artifact_vs_blackfyre_effect[args#979117111])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 13 (agot_create_artifact_vs_blackfyre_effect[args#979117111])",absent,
scripts,1568,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 31 (agot_create_artifact_vs_blackfyre_effect[args#979117111])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_blackfyre_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 31 (agot_create_artifact_vs_blackfyre_effect[args#979117111])",absent,
scripts,1572,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 604 (agot_create_artifact_vs_pincer_effect[args#979117111])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 604 (agot_create_artifact_vs_pincer_effect[args#979117111])",absent,
scripts,1576,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 630 (agot_create_artifact_vs_pincer_effect[args#979117111])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_pincer_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 630 (agot_create_artifact_vs_pincer_effect[args#979117111])",absent,
scripts,1580,Legacy of the Dragon,lotd-sword-templates,Legacy Of The Dragon,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_seafoam_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 455 (agot_create_artifact_vs_seafoam_effect[args#979117111])",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.,absent,,,jomini_script_system.cpp:303,"Script system error!
  Error: create_artifact effect [ Invalid artifact template 'vs_seafoam_template' ]
  Script location: file: common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt line: 455 (agot_create_artifact_vs_seafoam_effect[args#979117111])",absent,
