category,log_line,owner,issue,original_owner,message,status,reason
scripts,1337,Legacy of the Dragon,lotd-ruby-gold,Legacy Of The Dragon,Negative value in remove_short_term_gold: -450. file: events/decisions_events/buy_ruby_crown_events.txt line: 54 (buy_ruby_crown.0999:immediate),expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1339,Crowns of Westeros,crowns-event-duplicate,A Game of Thrones,"Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_coronation_crown_commission_events.txt line: 3 (agot_activity_commission_crown.0001)'",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1341,COW-AGOT,cow-religion-opinion,COW-AGOT: 3D Models & Bigger Castles,"Error: ""Unexpected token: rhoynish_religion_opinion, near line: 1760"" in file: ""common/buildings/yy_agotcities_special_buildings_westeros.txt"" near line: 1760",deferred,Прежний охват религиозного бонуса не определён; сохранено до отдельного этапа.
scripts,1342,COW-AGOT,cow-religion-opinion,COW-AGOT: 3D Models & Bigger Castles,"Error: ""Unexpected token: rhoynish_religion_opinion, near line: 1767"" in file: ""common/buildings/yy_agotcities_special_buildings_westeros.txt"" near line: 1767",deferred,Прежний охват религиозного бонуса не определён; сохранено до отдельного этапа.
scripts,1343,COW-AGOT,cow-holding-trigger,COW-AGOT: 3D Models & Bigger Castles,"Error: ""Unknown trigger: holding, near line: 2364"" in file: ""common/buildings/yy_agotcities_special_buildings_westeros.txt"" near line: 2369",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1344,Divine Intervention + AGOT compatibility,di-confucian-xp,Divine Intervention Cheat Menu,"Error: ""Unexpected token: confucian_education_xp_gain_mult, near line: 4047"" in file: ""common/modifiers/DI_modifiers.txt"" near line: 4047",exception,Исходный Divine Intervention для ванили не исправляется по указанию пользователя.
scripts,1345,Crowns of Westeros,crowns-culture-opinion,AGOT - Crowns of Westeros,"Error: ""Unexpected token: valeman_opinion, near line: 447"" in file: ""common/modifiers/ntc_artifact_modifiers.txt"" near line: 447",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1346,Crowns of Westeros,crowns-culture-opinion,AGOT - Crowns of Westeros,"Error: ""Unexpected token: valeman_opinion, near line: 456"" in file: ""common/modifiers/ntc_artifact_modifiers.txt"" near line: 456",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1347,Crowns of Westeros,crowns-culture-opinion,AGOT - Crowns of Westeros,"Error: ""Unexpected token: valeman_opinion, near line: 605"" in file: ""common/modifiers/ntc_artifact_modifiers.txt"" near line: 605",expected_fixed,Исправлено статически; исчезновение сообщения ещё не подтверждено запуском.
scripts,1348,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_aegon_i_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 78 (agot_create_artifact_aegon_i_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.
scripts,1349,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_aenys_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 228 (agot_create_artifact_aenys_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.
scripts,1350,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_jaehaerys_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 314 (agot_create_artifact_jaehaerys_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.
scripts,1351,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_aegon_iii_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 434 (agot_create_artifact_aegon_iii_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.
scripts,1352,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_baelors_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 498 (agot_create_artifact_baelors_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.
scripts,1353,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_aegon_iv_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 594 (agot_create_artifact_aegon_iv_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.
scripts,1354,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_maekars_crown_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 672 (agot_create_artifact_maekars_crown_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.
scripts,1355,AGOT+ / Legacy of the Dragon,shared-crown-creator,A Game of Thrones,Compiling source for agot_create_artifact_visenya_circlet_effect failed for missing arguments: CREATOR. At file: common/scripted_effects/00_agot_artifact_crowns_effects.txt line: 837 (agot_create_artifact_visenya_circlet_effect),deferred,CREATOR в AGOT+ и LOTD оставлен для следующего этапа.
