records,message
1,[E][pdxassetutil.cpp:1053]: Failed to find texture 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds'
1,[E][virtualfilesystem.cpp:456]: Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds not found'
1,[E][pdxassetutil.cpp:1053]: Failed to find texture 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds'
1,[E][virtualfilesystem.cpp:456]: Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds not found'
1,[E][pdxassetutil.cpp:1053]: Failed to find texture 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds'
1,[E][virtualfilesystem.cpp:456]: Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds not found'
1,[E][pdxassetutil.cpp:1053]: Failed to find texture 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds'
1,[E][virtualfilesystem.cpp:456]: Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/high_hermitage/gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds not found'
7,[E][pdxassetutil.cpp:1053]: Failed to find texture 'gfx/models/debug/no_properties.dds'
7,[E][virtualfilesystem.cpp:456]: Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_properties.dds not found'
7,[E][pdxassetutil.cpp:1053]: Failed to find texture 'gfx/models/debug/no_normal.dds'
7,[E][virtualfilesystem.cpp:456]: Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/gfx/models/debug/no_normal.dds not found'
1,[E][pdxassetutil.cpp:1053]: Failed to find texture 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_properties.dds'
