"Count","Line","Category","Message"
"1","9834","Localization / dynamic text error","Unrecognized loc key triarchs_herd. file: common/scripted_guis/DI_army_spawner_maa_sgui.txt line: 10875 (DI_triarchs_herd_effect:effect)"
"3","15346","Script / database error","Error: ""Failed to read key reference: 1453_end_date: 1453_end_date, near line: 587
Failed to read key reference: rhomaion_name_of_byzantium: rhomaion_name_of_byzantium, near line: 587
Failed to read key reference: default_mongol_invasion: default_mongol_invasion, near line: 587
Failed to read key reference: random_ruler_placement_off: random_ruler_placement_off, near line: 587
Failed to read key reference: launch_historical: launch_historical, near line: 587
Failed to read key reference: fp1_scandi_adventurers_apocalyptic: fp1_scandi_adventurers_apocalyptic, near line: 587
Failed to read key reference: dissolution_after_caliph_death: dissolution_after_caliph_death, near line: 587
Failed to read key reference: default_seljuk_invasion: default_seljuk_invasion, near line: 587
Failed to read key reference: situation_the_great_steppe_toggle_on: situation_the_great_steppe_toggle_on, near line: 587
Failed to read key reference: struggle_iberia_toggle_on: struggle_iberia_toggle_on, near line: 587
Failed to read key reference: struggle_persia_toggle_on: struggle_persia_toggle_on, near line: 587
Failed to read key reference: historicity_ruler_of_munster_historical_toirdelbach: historicity_ruler_of_munster_historical_toirdelbach, near line: 587
Failed to read key reference: historicity_norman_conquest_default_random: historicity_norman_conquest_default_random, near line: 587
Failed to read key reference: tibet_nomad_region_on: tibet_nomad_region_on, near line: 587
Failed to read key reference: sami_nomad_region_on: sami_nomad_region_on, near line: 587
Failed to read key reference: arabia_nomad_region_on: arabia_nomad_region_on, near line: 587
Failed to read key reference: sahel_nomad_region_on: sahel_nomad_region_on, near line: 587
Failed to read key reference: horn_of_africa_nomad_region_on: horn_of_africa_nomad_region_on, near line: 587
Failed to read key reference: historicity_extra_admin_egypt_gameplay_not_administrative: historicity_extra_admin_egypt_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_arabia_gameplay_not_administrative: historicity_extra_admin_arabia_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_ghana_gameplay_not_administrative: historicity_extra_admin_ghana_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_kabulistan_gameplay_not_administrative: historicity_extra_admin_kabulistan_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_persia_gameplay_not_administrative: historicity_extra_admin_persia_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_maghreb_gameplay_not_administrative: historicity_extra_admin_maghreb_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_tamilakam_gameplay_not_administrative: historicity_extra_admin_tamilakam_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_carolingians_gameplay_not_administrative: historicity_extra_admin_carolingians_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_extra_admin_player_wherever_gameplay_not_administrative: historicity_extra_admin_player_wherever_gameplay_not_administrative, near line: 587
Failed to read key reference: historicity_frankokratia_fourth_crusade: historicity_frankokratia_fourth_crusade, near line: 587
Failed to read key reference: silk_road_starting_innovations_preset: silk_road_starting_innovations_preset, near line: 587
Failed to read key reference: ACR_RE_tradition_slots_plus_95: ACR_RE_tradition_slots_plus_95, near line: 587
Failed to read key reference: ACR_RE_tradition_cost_free: ACR_RE_tradition_cost_free, near line: 587
Failed to read key reference: ACR_RE_tradition_cooldown_none: ACR_RE_tradition_cooldown_none, near line: 587
Failed to read key reference: ACR_RE_truce_duration_5: ACR_RE_truce_duration_5, near line: 587
Failed to read key reference: ACR_RE_truce_scope_player_primary: ACR_RE_truce_scope_player_primary, near line: 587
Failed to read key reference: ACR_RE_council_task_speed_1_month: ACR_RE_council_task_speed_1_month, near line: 587
Failed to read key reference: HM_RE_rule_player_free_functions_enabled: HM_RE_rule_player_free_functions_enabled, near line: 587
Failed to read key reference: HM_RE_rule_change_holding_type_cost_very_cheap: HM_RE_rule_change_holding_type_cost_very_cheap, near line: 587
Failed to read key reference: HM_RE_rule_change_holding_type_cooldown_very_short: HM_RE_rule_change_holding_type_cooldown_very_short, near line: 587
Failed to read key reference: HM_RE_rule_can_replace_buildings_vassals: HM_RE_rule_can_replace_buildings_vassals, near line: 587
Failed to read key reference: HM_RE_rule_can_feudalize_holdings_vassals: HM_RE_rule_can_feudalize_holdings_vassals, near line: 587
Failed to read key reference: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap: HM_RE_value_construct_buildings_gold_cost_cap_very_cheap, near line: 587
Failed to read key reference: HM_RE_rule_player_extra_slots_enabled: HM_RE_rule_player_extra_slots_enabled, near line: 587
Failed to read key reference: HM_RE_rule_player_slot_base_cost_very_cheap: HM_RE_rule_player_slot_base_cost_very_cheap, near line: 587
Failed to read key reference: HM_RE_rule_player_slot_step_cost_very_cheap: HM_RE_rule_player_slot_step_cost_very_cheap, near line: 587
Failed to read key reference: HM_RE_rule_construction_time_cost_free: HM_RE_rule_construction_time_cost_free, near line: 587
Failed to read key reference: HM_RE_build_all_button_on: HM_RE_build_all_button_on, near line: 587
Failed to read key reference: HM_RE_upgrade_all_button_on: HM_RE_upgrade_all_button_on, near line: 587
Failed to read key reference: HM_RE_make_nomad_button_on: HM_RE_make_nomad_button_on, near line: 587
Failed to read key reference: HM_RE_make_temple_citadel_button_on: HM_RE_make_temple_citadel_button_on, near line: 587
Failed to read key reference: HM_RE_player_add_slots_decision_on: HM_RE_player_add_slots_decision_on, near line: 587
Failed to read key reference: HM_RE_player_add_slots_decision_base_cost_very_cheap: HM_RE_player_add_slots_decision_base_cost_very_cheap, near line: 587
Failed to read key reference: HM_RE_player_cost_gold: HM_RE_player_cost_gold, near line: 587
Failed to read key reference: HM_RE_rule_ai_extra_slots_disabled: HM_RE_rule_ai_extra_slots_disabled, near line: 587
Failed to read key reference: HM_RE_rule_ai_slot_base_cost_very_expensive: HM_RE_rule_ai_slot_base_cost_very_expensive, near line: 587
Failed to read key reference: HM_RE_rule_ai_slot_step_cost_very_expensive: HM_RE_rule_ai_slot_step_cost_very_expensive, near line: 587"" in file: ""save games/Старший_воДержава достроена.ck3"" near line: 587"
"3","1205","Localization / dynamic text error","gui/DI_pinned_characters.gui:452 - Failed parsing localized text: DI_STRESS_TOOLTIP"
"1","3","Localization / dynamic text error","Missing quoted string value for key 'lmf_address_cousin' at line 119 and column 20 in localization/russian/agot/00_agot_lmf_l_russian.yml"
"1","41","Localization / dynamic text error","Illegal localization break character (`�`) at line 207 and column 727 in localization/russian/agot/event_localization/travel_events/agot_travel_events_dragon_l_russian.yml"
"1","1220","Localization / dynamic text error","Unlocalized text 'building_type_walls_00' at gui/DI_title_manager_templates/DI_title_manager_building_list_template.gui:10859, either localize it or use the raw_text property instead of text"
"1","138","Localization / dynamic text error","Unexpected localization token '.' at line 412 and column 167 in localization/russian/gui/DI_RUS_l_russian.yml"
"3","1201","GUI expression / binding error","Could not find data system function 'ДобавитьTextIf' in 'ДобавитьTextIf(Not(StringIsEmpty(Character.StressLevelEffect)), '
')'."
"1","46","Localization / dynamic text error","Missing quoted string value for key 'sc_harpy_adherent_plural' at line 14 and column 26 in localization/russian/agot/religion/agot_religion_the_graces_l_russian.yml"
"1","9813","Localization / dynamic text error","Unrecognized loc key tear_sailors. file: common/scripted_guis/DI_army_spawner_maa_sgui.txt line: 6792 (DI_tear_sailors_effect:effect)"
