"Line","Time","Component","Message","Category","Owner","Files","Key","FirstFile","SecondFile"
"1","11:20:48","dlc_descriptor.cpp:70","Invalid supported_version in file: mod/ugc_2261468688.mod line: 6","Mod descriptor warning","","","","",""
"2","11:20:53","pdx_localize.cpp:279","Duplicate localization key. Key 'PORTRAIT_MODIFIER_custom_cloaks_female_cloak_asoiaf_nights_watch_cloak_1' is defined in both 'localization/russian/asoiaf_barbershop_l_russian.yml' and 'localization/russian/asoiaf_barbershop_l_russian.yml'.","Identical localization definitions","AGOT+ rus","localization/russian/asoiaf_barbershop_l_russian.yml | localization/russian/asoiaf_barbershop_l_russian.yml","PORTRAIT_MODIFIER_custom_cloaks_female_cloak_asoiaf_nights_watch_cloak_1","localization/russian/asoiaf_barbershop_l_russian.yml","localization/russian/asoiaf_barbershop_l_russian.yml"
"3","11:20:54","localization_reader.cpp:535","Missing quoted string value for key 'lmf_address_cousin' at line 119 and column 20 in localization/russian/agot/00_agot_lmf_l_russian.yml","Localization / dynamic text error","A Game of Thrones | Русификатор","localization/russian/agot/00_agot_lmf_l_russian.yml","","",""
"4","11:20:54","localization_reader.cpp:111","Illegal localization break character (`�`) at line 3541 and column 302 in localization/russian/agot/00_agot_lmf_l_russian.yml","Localization / dynamic text error","A Game of Thrones | Русификатор","localization/russian/agot/00_agot_lmf_l_russian.yml","","",""
"5","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_dragon_laid_clutch_1' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_dragon_laid_clutch_1","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"6","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_laid_clutch_desc_1' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_laid_clutch_desc_1","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"7","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_laid_clutch_desc_second_perspective_1' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_laid_clutch_desc_second_perspective_1","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"8","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_laid_clutch_desc_third_perspective_1' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_laid_clutch_desc_third_perspective_1","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"9","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_dragon_laid_clutch_2' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_dragon_laid_clutch_2","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"10","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_laid_clutch_desc_2' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_laid_clutch_desc_2","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
