"Count","Category","Owner","Files","FirstLogLine"
"2092","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_valyrian.txt","6960"
"1457","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_north.txt","3017"
"953","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_reach.txt","4474"
"762","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_stormlands.txt","5883"
"720","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_westerlands.txt","9086"
"636","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_crownlands.txt","1511"
"488","Script / database error","AGOT+","common/scripted_effects/asoiaf_canon_children_effects.txt","10702"
"456","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_riverlands.txt","5427"
"423","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_dornish.txt","2147"
"392","Localization / dynamic text error","","","9852"
"315","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_vale.txt","6645"
"300","Script / database error","","","9842"
"230","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_essos.txt","2620"
"177","Graphics / portrait source error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt","9854"
"167","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_iron_isles.txt","2850"
"145","Script / database error","AGOT+","common/scripted_effects/asoiaf_setup_effects.txt","10562"
"130","Graphics / portrait source error","","","1200"
"96","Script / database error","AGOT+","history/characters/asoiaf_char_vanity.txt","28568"
"95","History / title / faith reference error","","","28777"
"50","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_easter_eggs.txt","2570"
"48","Script / database error","AGOT+","common/scripted_effects/asoiaf_scripted_effects_artifacts.txt","10556"
"34","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_vanity.txt","9052"
"31","Script / database error","AGOT+","common/on_action/asoiaf_yearly_on_actions.txt","10139"
"26","Localization / dynamic text error","Divine Intervention AGOT Cheat Menu","common/scripted_guis/DI_army_spawner_maa_sgui.txt","9812"
"26","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/05_clothes_situational.txt","17885"
"21","Graphics / portrait source error","AGOT+","gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh","1425"
"20","Script / database error","Legacy Of The Dragon","common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt","16137"
"20","Graphics / portrait source error","AGOT+","common/dna_data/test_dna_beyond_the_wall.txt","1491"
"17","Script / database error","AGOT Submod Core","common/scripted_triggers/tgc_loaded_trigger.txt","10739"
