"Catalog","File","Line","Key","Text"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","615","building_type_agot_duskendale_01","Сумеречный Дол"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","616","building_type_agot_duskendale_01_desc","Родовой замок дома Дарклин, из которого они правили как мелкие короли."
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","617","building_agot_duskendale_01","Зал Белых мечей"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","618","building_agot_duskendale_01_desc","Из дома Дарклин происходили рыцари Королевской гвардии со времён основания ордена, что является поводом гордости для дома."
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","661","building_type_agot_rooks_rest_01","Грачиный Приют"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","662","building_type_agot_rooks_rest_01_desc","Древняя вотчина дома Стонтон, Грачиный Приют, всегда служила щитом для более цивилизованных земель от злых болотных жителей Клешни."
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","663","building_agot_rooks_rest_01","Обугленные останки"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","664","building_agot_rooks_rest_01_desc","Танец был, пожалуй, самой жестокой войной в истории Железного трона. В ней погибли драконы, родичи и король, а битва у Грачиного Приюта была одной из самых жестоких. В конце концов, Эйгон II и Солнечный Огонь были искалечены, а Рейнис, «Почти королева», и Мелеис, «Красная королева», погибли, их изуродованные тела обуглились. Хотя голову Мелеис вернули в Королевскую Гавань, её тело по сей день лежит за пределами замка."
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","845","building_type_agot_dunstonbury_01","Данстонбери"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","846","building_type_agot_dunstonbury_01_desc","Родовой замок дома Мандерли."
