"Key","MainFile","MainLine","TranslationFile","TranslationLine","English","Russian","BuiltinRussian"
"aegon_variant_1_description","localization/replace/english/ntc_artifacts_l_english.yml","425","localization/russian/ntc_artifacts_l_russian.yml","383","A silver brand encircled by numerous sapphire stones, this icy crown mimics the style of the Conqueror.","Серебряная корона, украшенная многочисленными сапфирами, выполнена в ледяном стиле и повторяет дизайн короны Завоевателя.",
"aegon_variant_1_name","localization/replace/english/ntc_artifacts_l_english.yml","424","localization/russian/ntc_artifacts_l_russian.yml","382","Conqueror's Silver and Sapphire Crown","Серебряная и сапфировая корона Завоевателя",
"aegon_variant_2_description","localization/replace/english/ntc_artifacts_l_english.yml","428","localization/russian/ntc_artifacts_l_russian.yml","386","A golden brand encircled by numerous emerald jewels, this beautiful crown mimics the style of the Conqueror.","Золотая корона, украшенная многочисленными изумрудами; этот прекрасный венец повторяет стиль короны Завоевателя.",
"aegon_variant_2_name","localization/replace/english/ntc_artifacts_l_english.yml","427","localization/russian/ntc_artifacts_l_russian.yml","385","Conqueror's Gold and Emerald Crown","Золотая и изумрудная корона Завоевателя",
"aegon_variant_3_description","localization/replace/english/ntc_artifacts_l_english.yml","431","localization/russian/ntc_artifacts_l_russian.yml","388","A bronze brand encircled by numerous rubies, this furious crown mimics the style of the Conqueror.","Бронзовая корона, украшенная многочисленными рубинами; этот яростный венец повторяет стиль короны Завоевателя.",
"aegon_variant_3_name","localization/replace/english/ntc_artifacts_l_english.yml","430","localization/russian/ntc_artifacts_l_russian.yml","387","Conqueror's Bronze and Ruby Crown","Бронзовая и рубиновая корона Завоевателя",
"aegon_variant_4_description","localization/replace/english/ntc_artifacts_l_english.yml","434","localization/russian/ntc_artifacts_l_russian.yml","390","A gold brand encircled by numerous multi-colored, this wise crown mimics the style of the Conqueror and his grandson the Conciliator.","Золотой венец, окружённый множеством разноцветных камней; эта мудрая корона соединяет стиль Завоевателя и его внука Примирителя.",
"aegon_variant_4_name","localization/replace/english/ntc_artifacts_l_english.yml","433","localization/russian/ntc_artifacts_l_russian.yml","389","Conqueror's Gold and Multi-Gem Crown","Золотая и многоцветная корона Завоевателя",
"aegonblackfyre_crown_description","localization/replace/english/ntc_artifacts_l_english.yml","141","localization/russian/ntc_artifacts_l_russian.yml","132","A crown made for Aegon Blackfyre if he conquered Westeros and became king. Made of red-gold steel, it features two dragons coming together to the center of the crown, which is marked by a black ruby.","Корона, сделанная для Эйгона Блэкфайра на случай, если бы он покорил Вестерос и стал королём. Она изготовлена из красно-золотой стали и украшена двумя драконами, сходящимися к центру короны, где помещён чёрный рубин.",
"aegonblackfyre_crown_name","localization/replace/english/ntc_artifacts_l_english.yml","140","localization/russian/ntc_artifacts_l_russian.yml","131","Crown of Aegon Blackfyre","Корона Эйгона Блэкфайра",
"aegonsonofjaehaerys_crown_description","localization/replace/english/ntc_artifacts_l_english.yml","174","localization/russian/ntc_artifacts_l_russian.yml","157","A simplistic golden crown made in the shape of dragon wings made for Aegon Targaryen, the unborn son of King Jaehaerys I Targaryen, if he had not been stillborn, lived, and become king.","Простая золотая корона в форме драконьих крыльев, созданная для Эйгона Таргариена, нерождённого сына короля Джейхейриса I, на случай, если бы он не родился мёртвым, выжил и стал королём.",
"aegonsonofjaehaerys_crown_name","localization/replace/english/ntc_artifacts_l_english.yml","173","localization/russian/ntc_artifacts_l_russian.yml","156","Crown of Aegon, Son of Jaehaerys I","Корона Эйгона Таргариена, сына Джейхейриса I",
"aegontheuncrowned_crown_description","localization/replace/english/ntc_artifacts_l_english.yml","144","localization/russian/ntc_artifacts_l_russian.yml","134","A crown made for Aegon the Uncrowned, son of King Aenys I Targaryen, if he had become king. It features a gold band with red-gold steel flowers that are encrusted with red rubies.","Корона, сделанная для Эйгона Некоронованного, сына короля Эйниса I Таргариена, на случай, если бы он стал королём. Это золотой обруч с цветами из красно-золотой стали, инкрустированными красными рубинами.",
"aegontheuncrowned_crown_name","localization/replace/english/ntc_artifacts_l_english.yml","143","localization/russian/ntc_artifacts_l_russian.yml","133","Crown of Aegon the Uncrowned","Корона Эйгона Некоронованного",
"aegonvi_crown_description","localization/replace/english/ntc_artifacts_l_english.yml","135","localization/russian/ntc_artifacts_l_russian.yml","128","A crown made for Aegon VI Targaryen, son of Rhaegar and Elia Martell, if he had become king. Made of black iron, it features two dragons coming together to the center of the crown, which is marked by a red ruby.","Корона, сделанная для Эйгона VI Таргариена, сына Рейгара и Элии Мартелл, на случай, если бы он стал королём. Она изготовлена из чёрного железа и украшена двумя драконами, сходящимися к центру короны, где помещён красный рубин.",
"aegonvi_crown_name","localization/replace/english/ntc_artifacts_l_english.yml","134","localization/russian/ntc_artifacts_l_russian.yml","127","Crown of Aegon VI Targaryen","Корона Эйгона VI Таргариена",
"aemma_tiara_description","localization/replace/english/ntc_artifacts_l_english.yml","234","localization/russian/ntc_artifacts_l_russian.yml","217","Forged in silver with gold filigree, the tiara bears a proud falcon flanked by curling drakes, a reminder of Aemma Arryn’s place between sky and dragon's flame.","Выкованная из серебра с золотой филигранью, эта тиара несёт гордого сокола, окружённого извивающимися дракончиками, напоминая о месте Эйммы Аррен между небом и драконьим пламенем.",
"aemma_tiara_generic_description","localization/replace/english/ntc_artifacts_l_english.yml","237","localization/russian/ntc_artifacts_l_russian.yml","220","A crown made to represent the union of House Targaryen and House Arryn, this tiara, forged in silver with gold filigree, bears a proud falcon flanked by curling drakes.","Эта тиара, выкованная из серебра с золотой филигранью, создана как знак союза домов Таргариенов и Арренов. На ней изображён гордый сокол, окружённый извивающимися дракончиками.",
"aemma_tiara_generic_name","localization/replace/english/ntc_artifacts_l_english.yml","236","localization/russian/ntc_artifacts_l_russian.yml","219","Tiara of the Moondrake","Тиара Лунного Дракона",
